#																	
#  DigitalQuiz_Levels.tsv																	
#  TodoSchool on Nov 1, 2016																	
#																	
#  Copyright (c) 2016 Enuma, Inc. All rights reserved.																	
#  See LICENSE.md for more details.																	
#																	
																	
# 레벨 데이터를 변경하려면:																	
#     우선 Google Spreadsheet상에서 이 파일을 수정한 후에																	
#     File > Download as > Tab-separated values (.tsv) 를 선택합니다.																	
#     다운로드한 파일 이름을 WordTrace_Levels.tsv으로 변경합니다.																	
#     "${XPRIZE_PATH}/Resources/Games/DigitalQuiz"에 tsv 파일을 복사해 넣습니다.																	
#     "${XPRIZE_PATH}/Resources/Games/DigitalQuiz/QuizImages/"에는 이미지를,																	
#     "${XPRIZE_PATH}/Resources/Games/DigitalQuiz/QuizSounds/"에는 소리를 복사해 넣습니다.																	
#																	
																	
# LanguageTag	# Level	# Worksheet	# Problem	# IND	# GameType	# Instruction	# Question	# OpeningDuration	# OpeningSound	# ButtonSound	# Text	# Answer	# Choice (1)	# Choice (2)	# Choice (3)	# Choice (4)	# Choice (5)
# 1.IMAGE_DUMMY																	
sw-TZ	1	1	1	L0:1/3	IMAGE_DUMMY	Choose/Select	cow moo	2	cow_moo.m4a	cow_moo.m4a	-	cow.png	cow.png	dog.png	cat.png	-	-
sw-TZ	1	1	2	L0:2/3	IMAGE_DUMMY	Choose/Select	dog bark	2	dog_bark.m4a	dog_bark.m4a	-	dog.png	cow.png	cat.png	dog.png	-	-
sw-TZ	1	1	3	L0:3/3	IMAGE_DUMMY	Choose/Select	cat meow	2	cat_meow.m4a	cat_meow.m4a	-	cat.png	cat.png	dog.png	cow.png	-	-
																	
# 2.LETTER_SOUND																	
sw-TZ	1	1	4	L1:1/10	LETTER_SOUND	Choose	m	2	chagua-m.m4a	m.wav	-	m	m	n	e	-	-
sw-TZ	1	1	5	L1:2/10	LETTER_SOUND	Choose	d	2	chagua-d.m4a	d.wav	-	d	d	b	gh	-	-
sw-TZ	1	1	6	L1:3/10	LETTER_SOUND	Choose	ch	2	chagua-ch.m4a	ch.wav	-	ch	sh	ch	k	-	-
sw-TZ	1	1	7	L1:4/10	LETTER_SOUND	Choose	e	2	chagua-e.m4a	e.wav	-	E	E	I	O	-	-
sw-TZ	1	1	8	L1:5/10	LETTER_SOUND	Choose	u	2	chagua-u.m4a	u.wav	-	u	a	e	u	-	-
sw-TZ	1	1	9	L1:6/10	LETTER_SOUND	Choose	l	2	chagua-l.m4a	l.wav	-	L	T	D	L	-	-
sw-TZ	1	1	10	L1:7/10	LETTER_SOUND	Choose	k	2	chagua-k.m4a	k.wav	-	K	K	N	Gh	-	-
sw-TZ	1	1	11	L1:8/10	LETTER_SOUND	Choose	r	2	chagua-r.m4a	r.wav	-	R	Y	Z	R	-	-
sw-TZ	1	1	12	L1:9/10	LETTER_SOUND	Choose	w	2	chagua-w.m4a	w.wav	-	w	w	l	d	-	-
sw-TZ	1	1	13	L1:10/10	LETTER_SOUND	Choose	th	2	chagua-th.m4a	th.wav	-	Th	D	Dh	Th	-	-
																	
# 3.SYLLABLES_ID																	
sw-TZ	1	1	14	L2:1/10	SYLLABLES_ID	Choose	ma	2	chagua-ma.m4a	ma.wav	-	ma	mi	ma	na	-	-
sw-TZ	1	1	15	L2:2/10	SYLLABLES_ID	Choose	ta	2	chagua-ta.m4a	ta.wav	-	ta	ta	te	da	-	-
sw-TZ	1	1	16	L2:3/10	SYLLABLES_ID	Choose	ge	2	chagua-ge.m4a	ge.wav	-	ge	ze	ge	ga	-	-
sw-TZ	1	1	17	L2:4/10	SYLLABLES_ID	Choose	ni	2	chagua-ni.m4a	ni.wav	-	ni	ni	mi	e	-	-
sw-TZ	1	1	18	L2:5/10	SYLLABLES_ID	Choose	he	2	chagua-he.m4a	he.wav	-	he	he	ha	ke	-	-
sw-TZ	1	1	19	L2:6/10	SYLLABLES_ID	Choose	no	2	chagua-no.m4a	no.wav	-	no	mo	no	u	-	-
sw-TZ	1	1	20	L2:7/10	SYLLABLES_ID	Choose	zu	2	chagua-zu.m4a	zu.wav	-	zu	nu	za	zu	-	-
sw-TZ	1	1	21	L2:8/10	SYLLABLES_ID	Choose	cho	2	chagua-cho.m4a	cho.wav	-	cho	ko	cho	sho	-	-
sw-TZ	1	1	22	L2:9/10	SYLLABLES_ID	Choose	kwa	2	chagua-kwa.m4a	kwa.wav	-	kwa	kwa	ka	kwi	-	-
sw-TZ	1	1	23	L2:10/10	SYLLABLES_ID	Choose	fo	2	chagua-fo.m4a	fo.wav	-	fo	po	fo	ho	-	-
																	
# 4.FAMILIAR_WORD																	
sw-TZ	1	1	24	L3:1/10	FAMILIAR_WORD	Choose	baba	2	chagua-baba.m4a	baba.wav	-	baba	baba	babu	bibi	-	-
sw-TZ	1	1	25	L3:2/10	FAMILIAR_WORD	Choose	mama	2	chagua-mama.m4a	mama.wav	-	mama	mimi	mama	mara	-	-
sw-TZ	1	1	26	L3:3/10	FAMILIAR_WORD	Choose	bubu	2	chagua-bubu.m4a	bubu.wav	-	bubu	baba	bibi	bubu	-	-
