no,legit words,image
1,bug,en.1_2.bug.png
2,mug,en.2.mug.png
3,hut,en.3.2.hut.png
4,sun,en.4.sun.png
5,bus,en.5.bus.png
6,run,en.6.run.png
7,net,en.7.net.png
8,bed,en.8.bed.png
9,hen,en.9.hen.png
10,red,en.10.red.png
11,man,en.11.man.png
12,gem,en.12.gem.png
13,pig,en.13.pig.png
14,kid,en.14.kid.png
15,six,en.15.six.png
16,zip,en.16.zip.png
17,rip,en.17.rip.png
18,fin,en.18.fin.png
19,dog,en.19.dog.png
20,log,en.20.log.png
21,box,en.21.box.png
22,fox,en.22.fox.png
23,mop,en.23.mop.png
24,pot,en.24.pot.png
25,cat,en.25_2.cat.png
26,bag,en.29.bag.png
27,jam,en.26.jam.png
28,ham,en.27.ham.png
29,van,en.28.van.png
30,rat,en.30.rat.png
