#							
# CurriculumData.tsv for phase 2							Video와Book은0
# KitkitSchool on Apr 30, 2018							Book 중Comprehensive는해당숫자표시
#							math Egg Quiz 넣음
# Copyright (c) 2016 Enuma, Inc. All rights reserved.							명칭은kitkit courese sep v3와CurriculumData참고하여작성
# See LICENSE.md for more details.							Book A,B,C...은게임으로인지함
#							수정사항들
게임이름 공백 삭제							
#레벨데이터를변경하려면:							게임이름 대소문자 구분
# 우선Google Spreadsheet상에서이파일을수정한후에							multitrace -> LetterTracingCard
# File > Download as > Tab-separated values (.tsv)를선택합니다.							NumberTracingExt ->NumberTracingExt
# 다운로드한파일이름을CurriculumData.tsv으로변경합니다.							swahili 3 day 30이 잘못되어 삭제함
# "${XPRIZE_PATH}/Resources/”에tsv파일을복사해넣습니다.							category M이어야하는 부분 수정(math와 preschool2)
# "${XPRIZE_PATH}/Resources/Games/AnimalPuzzle"에는이미지파일을복사해넣습니다.							preschool2 카테고리레벨 2로 수정
#							
							
#level	#LanguageTag	#levelTitle	#category	#categoryLevel	#numDays		
#test							
#day	dayOrder	#numGames					
#game	#gameName	#gameLevel	#gameParam				


level	en-US	PreSchool	L	0	5
day	1	3
game	TutorialTrace	1	x
game	LetterMatching	1	x
game	AnimalPuzzle	1	x
day	2	3
game	AnimalPuzzle	2	x
game	LetterMatching	1	x
game	TutorialTrace	2	x
day	3	3
game	TutorialTrace	1	x
game	AnimalPuzzle	3	x
game	LetterMatching	2	x
day	4	3
game	AnimalPuzzle	1	x
game	TutorialTrace	2	x
game	LetterMatching	2	x
day	5	3
game	TutorialTrace	3	x
game	AnimalPuzzle	2	x
game	LetterMatching	3	x

level	en-US	English 1	L	1	9
day	1	5
game	AlphabetPuzzle	1	x
game	Video	0	en_vdo_abc
game	LetterTrace	1	x
game	LetterMatching	4	x
game	AnimalPuzzle	5	x
day	2	5
game	AlphabetPuzzle	1	x
game	Video	0	en_vdo_vowel
game	LetterTrace	2	x
game	LetterMatching	5	x
game	AnimalPuzzle	6	x
day	3	5
game	AlphabetPuzzle	2	x
game	Video	0	en_vdo_upperlowercase
game	LetterTrace	1	x
game	LetterMatching	4	x
game	AnimalPuzzle	7	x
day	4	5
game	AlphabetPuzzle	1	x
game	Video	0	en_vdo_abc
game	LetterTrace	2	x
game	LetterMatching	5	x
game	AnimalPuzzle	8	x
day	5	5
game	AlphabetPuzzle	2	x
game	Video	0	en_vdo_uppercase
game	LetterTrace	3	x
game	LetterMatching	6	x
game	AnimalPuzzle	5	x
day	6	5
game	AlphabetPuzzle	2	x
game	Video	0	en_vdo_vowel
game	LetterTrace	4	x
game	LetterMatching	7	x
game	AnimalPuzzle	6	x
day	7	5
game	AlphabetPuzzle	1	x
game	Video	0	en_vdo_abc
game	LetterTrace	1	x
game	LetterMatching	6	x
game	AnimalPuzzle	7	x
day	8	5
game	AlphabetPuzzle	1	x
game	Video	0	en_vdo_vowel
game	LetterTrace	2	x
game	LetterMatching	7	x
game	AnimalPuzzle	8	x
day	9	1
game	EggQuizLiteracy	0	PostTest_1

level	en-US	English 2	L	2	27
day	1	4
game	Video	0	en_vdo_ub_a
game	LetterMatching	4	x
game	LetterTracingCard	a	x
game	Book	0	en_a
day	2	4
game	Video	0	en_vdo_ub_b
game	LetterMatching	5	x
game	LetterTracingCard	b	x
game	Book	0	en_b
day	3	4
game	Video	0	en_vdo_ub_c
game	AlphabetPuzzle	1	x
game	LetterTracingCard	c	x
game	Book	0	en_c
day	4	4
game	Video	0	en_vdo_ub_d
game	AlphabetPuzzle	2	x
game	LetterTracingCard	d	x
game	Book	0	en_d
day	5	4
game	Video	0	en_vdo_ub_e
game	LetterTrace	3	x
game	LetterTracingCard	e	x
game	Book	0	en_e
day	6	4
game	Video	0	en_vdo_ub_f
game	LetterTrace	4	x
game	LetterTracingCard	f	x
game	Book	0	en_f
day	7	4
game	Video	0	en_vdo_ub_g
game	LetterMatching	4	x
game	LetterTracingCard	g	x
game	Book	0	en_g
day	8	4
game	Video	0	en_vdo_ub_h
game	LetterMatching	5	x
game	LetterTracingCard	h	x
game	Book	0	en_h
day	9	4
game	Video	0	en_vdo_ub_i
game	LetterMatching	6	x
game	LetterTracingCard	i	x
game	Book	0	en_i
day	10	4
game	Video	0	en_vdo_ub_j
game	LetterMatching	7	x
game	LetterTracingCard	j	x
game	Book	0	en_j
day	11	4
game	Video	0	en_vdo_ub_k
game	AlphabetPuzzle	1	x
game	LetterTracingCard	k	x
game	Book	0	en_k
day	12	4
game	Video	0	en_vdo_ub_l
game	AlphabetPuzzle	2	x
game	LetterTracingCard	l	x
game	Book	0	en_l
day	13	4
game	Video	0	en_vdo_ub_m
game	LetterMatching	6	x
game	LetterTracingCard	m	x
game	Book	0	en_m
day	14	4
game	Video	0	en_vdo_ub_n
game	LetterMatching	7	x
game	LetterTracingCard	n	x
game	Book	0	en_n
day	15	4
game	Video	0	en_vdo_ub_o
game	LetterMatching	4	x
game	LetterTracingCard	o	x
game	Book	0	en_o
day	16	4
game	Video	0	en_vdo_p
game	LetterMatching	5	x
game	LetterTracingCard	p	x
game	Book	0	en_p
day	17	4
game	Video	0	en_vdo_q
game	AlphabetPuzzle	1	x
game	LetterTracingCard	q	x
game	Book	0	en_q
day	18	4
game	Video	0	en_vdo_r
game	AlphabetPuzzle	2	x
game	LetterTracingCard	r	x
game	Book	0	en_r
day	19	4
game	Video	0	en_vdo_s
game	LetterTrace	3	x
game	LetterTracingCard	s	x
game	Book	0	en_s
day	20	4
game	Video	0	en_vdo_t
game	LetterTrace	4	x
game	LetterTracingCard	t	x
game	Book	0	en_t
day	21	4
game	Video	0	en_vdo_u
game	AlphabetPuzzle	1	x
game	LetterTracingCard	u	x
game	Book	0	en_u
day	22	4
game	Video	0	en_vdo_v
game	AlphabetPuzzle	2	x
game	LetterTracingCard	v	x
game	Book	0	en_v
day	23	4
game	Video	0	en_vdo_w
game	LetterMatching	8	x
game	LetterTracingCard	w	x
game	Book	0	en_w
day	24	4
game	Video	0	en_vdo_x
game	LetterMatching	9	x
game	LetterTracingCard	x	x
game	Book	0	en_x
day	25	4
game	Video	0	en_vdo_y
game	LetterTrace	3	x
game	LetterTracingCard	y	x
game	Book	0	en_y
day	26	4
game	Video	0	en_vdo_z
game	LetterTrace	4	x
game	LetterTracingCard	z	x
game	Book	0	en_z
day	27	1
game	EggQuizLiteracy	0	PostTest_2

level	en-US	English 3	L	3	28
day	1	4
game	LetterTrace	5	x
game	Video	0	en_vdo_102
game	SoundTrain	1	x
game	AnimalPuzzle	9	x
day	2	4
game	LetterTrace	6	x
game	Video	0	en_vdo_103
game	SoundTrain	2	x
game	AnimalPuzzle	11	x
day	3	4
game	WordMachine	1	x
game	Video	0	en_vdo_106
game	SoundTrain	3	x
game	AnimalPuzzle	10	x
day	4	4
game	WordMachine	2	x
game	Video	0	en_vdo_112
game	SoundTrain	1	x
game	AnimalPuzzle	12	x
day	5	4
game	LetterTrace	5	x
game	Book	0	en_101
game	SoundTrain	2	x
game	AnimalPuzzle	13	x
day	6	4
game	LetterTrace	6	x
game	Book	0	en_102
game	SoundTrain	3	x
game	AnimalPuzzle	14	x
day	7	4
game	Spelling	1	x
game	Book	0	en_103
game	SoundTrain	4	x
game	AnimalPuzzle	15	x
day	8	4
game	Spelling	2	x
game	Book	0	en_104
game	SoundTrain	5	x
game	AnimalPuzzle	16	x
day	9	4
game	Spelling	3	x
game	Book	0	en_105
game	SoundTrain	6	x
game	AnimalPuzzle	17	x
day	10	4
game	Spelling	4	x
game	Book	0	en_106
game	SoundTrain	7	x
game	AnimalPuzzle	18	x
day	11	4
game	Spelling	5	x
game	Book	0	en_107
game	SoundTrain	8	x
game	AnimalPuzzle	19	x
day	12	4
game	Spelling	6	x
game	Book	0	en_108
game	SoundTrain	9	x
game	AnimalPuzzle	20	x
day	13	4
game	Spelling	7	x
game	Book	0	en_109
game	SoundTrain	10	x
game	AnimalPuzzle	9	x
day	14	4
game	WordMachine	1	x
game	Book	0	en_111
game	SoundTrain	11	x
game	AnimalPuzzle	11	x
day	15	4
game	WordMachine	2	x
game	Book	0	en_112
game	SoundTrain	12	x
game	AnimalPuzzle	10	x
day	16	1
game	EggQuizLiteracy	0	MiniTest_3_1
day	17	5
game	Spelling	1	x
game	Book	0	en_101
game	Comprehension	1	en_101
game	SoundTrain	4	x
game	AnimalPuzzle	12	x
day	18	5
game	Spelling	2	x
game	Book	0	en_102
game	Comprehension	1	en_102
game	SoundTrain	5	x
game	AnimalPuzzle	13	x
day	19	5
game	Spelling	3	x
game	Book	0	en_103
game	Comprehension	1	en_103
game	SoundTrain	6	x
game	AnimalPuzzle	14	x
day	20	5
game	Spelling	4	x
game	Book	0	en_104
game	Comprehension	1	en_104
game	SoundTrain	7	x
game	AnimalPuzzle	15	x
day	21	5
game	Spelling	5	x
game	Book	0	en_105
game	Comprehension	1	en_105
game	SoundTrain	8	x
game	AnimalPuzzle	16	x
day	22	5
game	Spelling	6	x
game	Book	0	en_106
game	Comprehension	1	en_106
game	SoundTrain	9	x
game	AnimalPuzzle	17	x
day	23	5
game	Spelling	7	x
game	Book	0	en_107
game	Comprehension	1	en_107
game	SoundTrain	10	x
game	AnimalPuzzle	18	x
day	24	5
game	LetterTrace	5	x
game	Book	0	en_108
game	Comprehension	1	en_108
game	SoundTrain	11	x
game	AnimalPuzzle	19	x
day	25	5
game	LetterTrace	6	x
