# LanguageTag	# Level	# Worksheet	# Key		# Motif(0)	# X_POS(1)	# Y_POS(2)	# FaceImg(3)	# DepthImg(4)	# ShadowImg(5)	# SlotImg(6)
en-US	1	1	__GAME_ID__		OrderedPuzzle	Latin_Capital	_wp_alphabetboard.png	-	-	-	-
en-US	1	1	1		A	279	1511	a_1.png	a_2.png	a_3.png	a_4.png
en-US	1	1	2		B	633	1512	b_1.png	b_2.png	b_3.png	b_4.png
en-US	1	1	3		C	986	1518	c_1.png	c_2.png	c_3.png	c_4.png
en-US	1	1	4		D	1354	1513	d_1.png	d_2.png	d_3.png	d_4.png
en-US	1	1	5		E	1676	1512	e_1.png	e_2.png	e_3.png	e_4.png
en-US	1	1	6		F	244	1182	f_1.png	f_2.png	f_3.png	f_4.png
en-US	1	1	7		G	535	1187	g_1.png	g_2.png	g_3.png	g_4.png
en-US	1	1	8		H	860.5	1183	h_1.png	h_2.png	h_3.png	h_4.png
en-US	1	1	9		I	1100	1184	i_1.png	i_2.png	i_3.png	i_4.png
en-US	1	1	10		J	1307	1187	j_1.png	j_2.png	j_3.png	j_4.png
en-US	1	1	11		K	1624	1184	k_1.png	k_2.png	k_3.png	k_4.png
en-US	1	1	12		L	263	858	l_1.png	l_2.png	l_3.png	l_4.png
en-US	1	1	13		M	583	858	m_1.png	m_2.png	m_3.png	m_4.png
en-US	1	1	14		N	951	859	n_1.png	n_2.png	n_3.png	n_4.png
en-US	1	1	15		O	1301	864	o_1.png	o_2.png	o_3.png	o_4.png
en-US	1	1	16		P	1638	860	p_1.png	p_2.png	p_3.png	p_4.png
en-US	1	1	17		Q	287	536	q_1.png	q_2.png	q_3.png	q_4.png
en-US	1	1	18		R	646	529	r_1.png	r_2.png	r_3.png	r_4.png
en-US	1	1	19		S	969	533.5	s_1.png	s_2.png	s_3.png	s_4.png
en-US	1	1	20		T	1300	529	t_1.png	t_2.png	t_3.png	t_4.png
en-US	1	1	21		U	1639	531	u_1.png	u_2.png	u_3.png	u_4.png
en-US	1	1	22		V	267	203	v_1.png	v_2.png	v_3.png	v_4.png
en-US	1	1	23		W	640	202	w_1.png	w_2.png	w_3.png	w_4.png
en-US	1	1	24		X	1038	202	x_1.png	x_2.png	x_3.png	x_4.png
en-US	1	1	25		Y	1355	202	y_1.png	y_2.png	y_3.png	y_4.png
en-US	1	1	26		Z	1662	203	z_1.png	z_2.png	z_3.png	z_4.png
en-US	2	1	__GAME_ID__		OrderedPuzzle	Latin_Small	_wp_alphabetboard.png	-	-	-	-
en-US	2	1	1		a	277	1494	lowercase_a_1.png	lowercase_a_2.png	lowercase_a_3.png	lowercase_a_4.png
en-US	2	1	2		b	621	1516	lowercase_b_1.png	lowercase_b_2.png	lowercase_b_3.png	lowercase_b_4.png
en-US	2	1	3		c	963	1495	lowercase_c_1.png	lowercase_c_2.png	lowercase_c_3.png	lowercase_c_4.png
en-US	2	1	4		d	1289	1520	lowercase_d_1.png	lowercase_d_2.png	lowercase_d_3.png	lowercase_d_4.png
en-US	2	1	5		e	1610	1495	lowercase_e_1.png	lowercase_e_2.png	lowercase_e_3.png	lowercase_e_4.png
en-US	2	1	6		f	242	1192	lowercase_f_1.png	lowercase_f_2.png	lowercase_f_3.png	lowercase_f_4.png
en-US	2	1	7		g	537	1158	lowercase_g_1.png	lowercase_g_2.png	lowercase_g_3.png	lowercase_g_4.png
en-US	2	1	8		h	852	1192	lowercase_h_1.png	lowercase_h_2.png	lowercase_h_3.png	lowercase_h_4.png
en-US	2	1	9		i	1116	1189	lowercase_i_1.png	lowercase_i_2.png	lowercase_i_3.png	lowercase_i_4.png
en-US	2	1	10		j	1337	1168	lowercase_j_1.png	lowercase_j_2.png	lowercase_j_3.png	lowercase_j_4.png
en-US	2	1	11		k	1608	1197	lowercase_k_1.png	lowercase_k_2.png	lowercase_k_3.png	lowercase_k_4.png
en-US	2	1	12		l	243	861	lowercase_l_1.png	lowercase_l_2.png	lowercase_l_3.png	lowercase_l_4.png
en-US	2	1	13		m	564	851	lowercase_m_1.png	lowercase_m_2.png	lowercase_m_3.png	lowercase_m_4.png
