# LanguageTag	#Level	#Puzzle	#Text	#foldername	#Background	#Pieces	#mask	#sound
#Piece	#filename prefix	#posX	#posY	#depth	#shadow			
en-US	1	1	Bird	level_pre/level1/puzzle1_bird/	ap2_puzzle1_background.jpg	1	x	bird
1	ap2_puzzle1_bird_puzzle	825	95	x	x			
en-US	1	2	Lizard	level_pre/level1/puzzle2_lizard/	ap2_puzzle2_background.jpg	1	x	lizard
1	ap2_puzzle2_lizard_puzzle	340	250	x	x			
en-US	2	1	Lizard	level_pre/level1/puzzle2_lizard/	ap2_puzzle2_background.jpg	1	x	lizard
1	ap2_puzzle2_lizard_puzzle	340	250	x	x			
en-US	2	2	Bird	level_pre/level1/puzzle1_bird/	ap2_puzzle1_background.jpg	1	x	bird
1	ap2_puzzle1_bird_puzzle	825	95	x	x			
en-US	3	1	Turtle	level_pre/level1/puzzle3_turtle/	ap2_puzzle3_background.jpg	1	x	turtle
1	ap2_puzzle3_turtle_puzzle	548	156	x	x			
en-US	3	2	Mouse	level_pre/level1/puzzle4_mouse/	ap2_puzzle4_background.jpg	1	x	mouse
1	ap2_puzzle4_mouse_puzzle	428	56	x	x			
en-US	4	1	Mouse	level_pre/level1/puzzle4_mouse/	ap2_puzzle4_background.jpg	1	x	mouse
1	ap2_puzzle4_mouse_puzzle	428	56	x	x			
en-US	4	2	Turtle	level_pre/level1/puzzle3_turtle/	ap2_puzzle3_background.jpg	1	x	turtle
1	ap2_puzzle3_turtle_puzzle	548	156	x	x			
en-US	5	1	Ball and Dog	level_pre/level2/puzzle5_ball_dog/	ap2_puzzle5_background.jpg	2	x	ball and dog
1	ap2_puzzle5_ball_puzzle	154	78	x	x			
2	ap2_puzzle5_dog_puzzle	906	78	x	x			
en-US	5	2	Mom Penguin and Baby Penguin	level_pre/level2/puzzle6_mom_babypenguin/	ap2_puzzle6_background.jpg	2	x	mom penguin and baby penguin
1	ap2_puzzle6_baby_puzzle	1444	88	x	x			
2	ap2_puzzle6_mom_puzzle	374	30	x	x			
en-US	6	1	Mom Penguin and Baby Penguin	level_pre/level2/puzzle6_mom_babypenguin/	ap2_puzzle6_background.jpg	2	x	mom penguin and baby penguin
1	ap2_puzzle6_baby_puzzle	1444	88	x	x			
2	ap2_puzzle6_mom_puzzle	374	30	x	x			
en-US	6	2	Ball and Dog	level_pre/level2/puzzle5_ball_dog/	ap2_puzzle5_background.jpg	2	x	ball and dog
1	ap2_puzzle5_ball_puzzle	154	78	x	x			
2	ap2_puzzle5_dog_puzzle	906	78	x	x			
en-US	7	1	Cat and Butterfly	level_pre/level2/puzzle7_cat_butterfly/	ap2_puzzle7_background.jpg	2	x	cat and butterfly
1	ap2_puzzle7_butterfly_puzzle	1280	698	x	x			
2	ap2_puzzle7_cat_puzzle	72	54	x	x			
en-US	7	2	Rabbit and Flower	level_pre/level2/puzzle8_rabbit_flower/	ap2_puzzle8_background.jpg	2	x	rabbit and flower
1	ap2_puzzle8_flower_puzzle	572	106	x	x			
2	ap2_puzzle8_rabbit_puzzle	1228	66	x	x			
en-US	8	1	Rabbit and Flower	level_pre/level2/puzzle8_rabbit_flower/	ap2_puzzle8_background.jpg	2	x	rabbit and flower
1	ap2_puzzle8_flower_puzzle	572	106	x	x			
2	ap2_puzzle8_rabbit_puzzle	1228	66	x	x			
en-US	8	2	Cat and Butterfly	level_pre/level2/puzzle7_cat_butterfly/	ap2_puzzle7_background.jpg	2	x	cat and butterfly
1	ap2_puzzle7_butterfly_puzzle	1280	698	x	x			
2	ap2_puzzle7_cat_puzzle	72	54	x	x			
en-US	9	1	Pig	level_pre/level3/puzzle9_pig/	ap2_puzzle9_background.jpg	2	_ap2_puzzle9_mask.png	pig
1	ap2_puzzle9_pig1_puzzle	635	250	x	x			
2	ap2_puzzle9_pig2_puzzle	1118	165	x	x			
en-US	9	2	Goat	level_pre/level3/puzzle10_goat/	ap2_puzzle10_background.jpg	2	_ap2_puzzle10_mask.png	goat
1	ap2_puzzle10_goat1_puzzle	590	154	x	x			
2	ap2_puzzle10_goat2_puzzle	1345	110	x	x			
en-US	10	1	Goat	level_pre/level3/puzzle10_goat/	ap2_puzzle10_background.jpg	2	_ap2_puzzle10_mask.png	goat
1	ap2_puzzle10_goat1_puzzle	590	154	x	x			
2	ap2_puzzle10_goat2_puzzle	1345	110	x	x			
en-US	10	2	Pig	level_pre/level3/puzzle9_pig/	ap2_puzzle9_background.jpg	2	_ap2_puzzle9_mask.png	pig
1	ap2_puzzle9_pig1_puzzle	635	250	x	x			
2	ap2_puzzle9_pig2_puzzle	1118	165	x	x			
en-US	11	1	Gazelle	level_pre/level3/puzzle11_gazelle/	ap2_puzzle11_background.jpg	2	_ap2_puzzle11_mask.png	gazelle
1	ap2_puzzle11_gazelle1_puzzle	726	566	x	x			
2	ap2_puzzle11_gazelle2_puzzle	690	0	x	x			
en-US	11	2	Zebra	level_pre/level3/puzzle12_zebra/	ap2_puzzle12_background.jpg	2	_ap2_puzzle12_mask.png	zebra
1	ap2_puzzle12_zebra1_puzzle	570	98	x	x			
2	ap2_puzzle12_zebra2_puzzle	1030	98	x	x			
en-US	12	1	Zebra	level_pre/level3/puzzle12_zebra/	ap2_puzzle12_background.jpg	2	_ap2_puzzle12_mask.png	zebra
1	ap2_puzzle12_zebra1_puzzle	570	98	x	x			
2	ap2_puzzle12_zebra2_puzzle	1030	98	x	x			
en-US	12	2	Gazelle	level_pre/level3/puzzle11_gazelle/	ap2_puzzle11_background.jpg	2	_ap2_puzzle11_mask.png	gazelle
1	ap2_puzzle11_gazelle1_puzzle	726	566	x	x			
2	ap2_puzzle11_gazelle2_puzzle	690	0	x	x			
en-US	13	1	Meerkats	level1/puzzle1/	ap_puzzle1_background.jpg	2	x	meerkats
1	ap_puzzle1_meerkat1_puzzle	630	168	x	x			
2	ap_puzzle1_meerkat2_puzzle	1348	110	x	x			
en-US	13	2	Bugs	level1/puzzle2/	ap_puzzle2_background.jpg	2	x	bugs
1	ap_puzzle2_ladybug1_puzzle	250	424	x	x			
2	ap_puzzle2_ladybug2_puzzle	1390	188	x	x			
en-US	14	1	Bugs	level1/puzzle2/	ap_puzzle2_background.jpg	2	x	bugs
1	ap_puzzle2_ladybug1_puzzle	250	424	x	x			
2	ap_puzzle2_ladybug2_puzzle	1390	188	x	x			
