title,Let’s Go!,book_en_201_page_0_1.m4a,book_en_201_page_0,landscape,audio,
page,1,book_en_201_page_1,wordwrap,
paragraph
sentence,book_en_201_page_1_1.m4a,0,
word,0,0.542471,How,en-uk_how.m4a,0.2,
word,0.542471,0.767055,will,en-uk_will.m4a,0.2,
word,0.767055,1.10939,I,en-uk_i.m4a,0.2,
word,1.10939,1.50219,get,en-uk_get.m4a,0.2,
word,1.50219,2.20546,home?,en-uk_home.m4a,0.2,
page,2,book_en_201_page_2,wordwrap,
paragraph
sentence,book_en_201_page_2_1.m4a,0,
word,0,0.375459,Can,en-uk_can.m4a,0.2,
word,0.375459,0.575835,I,en-uk_i.m4a,0.2,
word,0.575835,0.783955,take,en-uk_take.m4a,0.2,
word,0.783955,1.01741,a,en-uk_a.m4a,0.2,
word,1.01741,1.69973,plane?,en-uk_plane.m4a,0.2,
page,3,book_en_201_page_3,wordwrap,
paragraph
sentence,book_en_201_page_3_1.m4a,0,
word,0,0.294653,Can,en-uk_can.m4a,0.2,
word,0.294653,0.517646,I,en-uk_i.m4a,0.2,
word,0.517646,0.736212,take,en-uk_take.m4a,0.2,
word,0.736212,0.91934,a,en-uk_a.m4a,0.2,
word,0.91934,2.13704,helicopter?,en-uk_helicopter.m4a,0.2,
page,4,book_en_201_page_4,wordwrap,
paragraph
sentence,book_en_201_page_4_1.m4a,0,
word,0,0.341852,Can,en-uk_can.m4a,0.2,
word,0.341852,0.517574,I,en-uk_i.m4a,0.2,
word,0.517574,0.692384,take,en-uk_take.m4a,0.2,
word,0.692384,0.942767,a,en-uk_a.m4a,0.2,
word,0.942767,1.72719,train?,en-uk_train.m4a,0.2,
page,5,book_en_201_page_5,wordwrap,
paragraph
sentence,book_en_201_page_5_1.m4a,0,
word,0,0.349302,Can,en-uk_can.m4a,0.2,
word,0.349302,0.52444,I,en-uk_i.m4a,0.2,
word,0.52444,0.782937,take,en-uk_take.m4a,0.2,
word,0.782937,1.00846,a,en-uk_a.m4a,0.2,
word,1.00846,1.89163,bus?,en-uk_bus.m4a,0.2,
page,6,book_en_201_page_6,wordwrap,
paragraph
sentence,book_en_201_page_6_1.m4a,0,
word,0,0.392017,Can,en-uk_can.m4a,0.2,
word,0.392017,0.599705,I,en-uk_i.m4a,0.2,
word,0.599705,1.00782,take,en-uk_take.m4a,0.2,
word,1.00782,1.4432,a,en-uk_a.m4a,0.2,
word,1.4432,2.1659,truck?,en-uk_truck.m4a,0.2,
page,7,book_en_201_page_7,wordwrap,
paragraph
sentence,book_en_201_page_7_1.m4a,0,
word,0,0.362186,Can,en-uk_can.m4a,0.2,
word,0.362186,0.558934,I,en-uk_i.m4a,0.2,
word,0.558934,0.817838,take,en-uk_take.m4a,0.2,
word,0.817838,1.09259,a,en-uk_a.m4a,0.2,
word,1.09259,1.74351,bike?,en-uk_bike.m4a,0.2,
page,8,book_en_201_page_8,wordwrap,
paragraph
sentence,book_en_201_page_8_1.m4a,0,
word,0,0.384524,Can,en-uk_can.m4a,0.2,
word,0.384524,0.608591,I,en-uk_i.m4a,0.2,
word,0.608591,0.984998,take,en-uk_take.m4a,0.2,
word,0.984998,1.41849,a,en-uk_a.m4a,0.2,
word,1.41849,2.24392,boat?,en-uk_boat.m4a,0.2,
page,9,book_en_201_page_9,wordwrap,
paragraph
sentence,book_en_201_page_9_1.m4a,0,
word,0,0.375679,I,en-uk_i.m4a,0.2,
word,0.375679,0.751355,will,en-uk_will.m4a,0.2,
word,0.751355,1.11718,take,en-uk_take.m4a,0.2,
word,1.11718,1.72577,a,en-uk_a.m4a,0.2,
word,1.72577,2.97717,motorcycle!,en-uk_motorcycle.m4a,0.2,
