title,We Can Make Friends!,book_en_218_page_0_1.m4a,book_en_218_page_0,landscape,audio,
page,1,book_en_218_page_1,wordwrap,
paragraph
sentence,book_en_218_page_1_1.m4a,0,
word,0,0.351906,I,en-uk_i.m4a,0.2,
word,0.351906,0.585416,can,en-uk_can.m4a,0.2,
word,0.585416,1.16949,make,en-uk_make.m4a,0.2,
word,1.16949,2.06785,shapes.,en-uk_shapes.m4a,0.2,
page,2,book_en_218_page_2,wordwrap,
paragraph
sentence,book_en_218_page_2_1.m4a,0,
word,0,0.364837,I,en-uk_i.m4a,0.2,
word,0.364837,0.607233,can,en-uk_can.m4a,0.2,
word,0.607233,1.14193,make,en-uk_make.m4a,0.2,
word,1.14193,1.40016,a,en-uk_a.m4a,0.2,
word,1.40016,2.10884,boat!,en-uk_boat.m4a,0.2,
page,3,book_en_218_page_3,wordwrap,
paragraph
sentence,book_en_218_page_3_1.m4a,0,
word,0,0.418144,I,en-uk_i.m4a,0.2,
word,0.418144,0.74213,can,en-uk_can.m4a,0.2,
word,0.74213,1.47509,make,en-uk_make.m4a,0.2,
word,1.47509,2.39349,candy.,en-uk_candy.m4a,0.2,
page,4,book_en_218_page_4,wordwrap,
paragraph
sentence,book_en_218_page_4_1.m4a,0,
word,0,0.502085,We,en-uk_we.m4a,0.2,
word,0.502085,0.776573,can,en-uk_can.m4a,0.2,
word,0.776573,1.39413,make,en-uk_make.m4a,0.2,
word,1.39413,2.33666,anything!,en-uk_anything.m4a,0.2,
page,5,book_en_218_page_5,wordwrap,
paragraph
sentence,book_en_218_page_5_1.m4a,0,
word,0,0.381227,I,en-uk_i.m4a,0.2,
word,0.381227,0.717116,can,en-uk_can.m4a,0.2,
word,0.717116,1.30901,make,en-uk_make.m4a,0.2,
word,1.30901,1.56818,a,en-uk_a.m4a,0.2,
word,1.56818,2.11866,hole.,en-uk_hole.m4a,0.2,
page,6,book_en_218_page_6,wordwrap,
paragraph
sentence,book_en_218_page_6_1.m4a,0,
word,0,0.400528,We,en-uk_we.m4a,0.2,
word,0.400528,0.66711,can,en-uk_can.m4a,0.2,
word,0.66711,1.30861,make,en-uk_make.m4a,0.2,
word,1.30861,2.30438,friends!,en-uk_friends.m4a,0.2,
