title,Sleepyhead,book_en_220_page_0_1.m4a,book_en_220_page_0,portrait,audio,
page,1,book_en_220_page_1,wordwrap,
paragraph
sentence,book_en_220_page_1_1.m4a,0,
word,0,0.523597,I,en-uk_i.m4a,0.2,
word,0.523597,1.13243,am,en-uk_am.m4a,0.2,
word,1.13243,1.98271,sleepy.,en-uk_sleepy.m4a,0.2,
page,2,book_en_220_page_2,wordwrap,
paragraph
sentence,book_en_220_page_2_1.m4a,0,
word,0,0.416818,I,en-uk_i.m4a,0.2,
word,0.416818,0.841143,need,en-uk_need.m4a,0.2,
word,0.841143,1.18281,to,en-uk_to.m4a,0.2,
word,1.18281,1.59157,do,en-uk_do.m4a,0.2,
word,1.59157,2.01635,my,en-uk_my.m4a,0.2,
word,2.01635,2.50265,job.,en-uk_job.m4a,0.2,
page,3,book_en_220_page_3,wordwrap,
paragraph
sentence,book_en_220_page_3_1.m4a,0,
word,0,0.924805,Crow,en-uk_crow.m4a,0.2,
word,0.924805,1.41948,says,en-uk_says.m4a,0.2,
word,1.41948,1.63374,to,en-uk_to.m4a,0.2,
word,1.63374,1.92933,wake,en-uk_wake.m4a,0.2,
word,1.92933,2.21837,up.,en-uk_up.m4a,0.2,
page,4,book_en_220_page_4,wordwrap,
paragraph
sentence,book_en_220_page_4_1.m4a,0,
word,0,0.742901,Cow,en-uk_cow.m4a,0.2,
word,0.742901,1.36861,cannot,en-uk_cannot.m4a,0.2,
word,1.36861,1.84422,wake,en-uk_wake.m4a,0.2,
word,1.84422,2.05237,me,en-uk_me.m4a,0.2,
word,2.05237,2.332,up.,en-uk_up.m4a,0.2,
page,5,book_en_220_page_5,wordwrap,
paragraph
sentence,book_en_220_page_5_1.m4a,0,
word,0,0.842502,Cock,en-uk_cock.m4a,0.2,
word,0.842502,1.48483,cannot,en-uk_cannot.m4a,0.2,
word,1.48483,1.97721,wake,en-uk_wake.m4a,0.2,
word,1.97721,2.14406,me,en-uk_me.m4a,0.2,
word,2.14406,2.41094,up.,en-uk_up.m4a,0.2,
page,6,book_en_220_page_6,wordwrap,
paragraph
sentence,book_en_220_page_6_1.m4a,0,
word,0,0.751991,Can,en-uk_can.m4a,0.2,
word,0.751991,1.71982,Fly,en-uk_fly.m4a,0.2,
word,1.71982,1.97806,wake,en-uk_wake.m4a,0.2,
word,1.97806,2.19467,me,en-uk_me.m4a,0.2,
word,2.19467,2.41374,up?,en-uk_up.m4a,0.2,
page,7,book_en_220_page_7,wordwrap,
paragraph
sentence,book_en_220_page_7_1.m4a,0,
word,0,0.784004,Now,en-uk_now.m4a,0.2,
word,0.784004,1.19943,I,en-uk_i.m4a,0.2,
word,1.19943,1.60309,am,en-uk_am.m4a,0.2,
word,1.60309,2.52113,awake!,en-uk_awake.m4a,0.2,
