title,Who Wants to Play?,book_en_222_page_0_1.m4a,book_en_222_page_0,portrait,audio,
page,1,book_en_222_page_1,wordwrap,
paragraph
sentence,book_en_222_page_1_1.m4a,0,
word,0,0.300516,Do,en-uk_do.m4a,0.2,
word,0.300516,0.817713,you,en-uk_you.m4a,0.2,
word,0.817713,1.33505,want,en-uk_want.m4a,0.2,
word,1.33505,1.56833,to,en-uk_to.m4a,0.2,
word,1.56833,1.97612,play?,en-uk_play.m4a,0.2,
page,2,book_en_222_page_2,wordwrap,
paragraph
sentence,book_en_222_page_2_1.m4a,0,
word,0,0.436765,I,en-uk_i.m4a,0.2,
word,0.436765,1.01888,want,en-uk_want.m4a,0.2,
word,1.01888,1.21914,to,en-uk_to.m4a,0.2,
word,1.21914,1.75271,play,en-uk_play.m4a,0.2,
word,1.75271,2.01957,near,en-uk_near.m4a,0.2,
word,2.01957,2.18457,the,en-uk_the.m4a,0.2,
word,2.18457,2.80628,car.,en-uk_car.m4a,0.2,
page,3,book_en_222_page_3,wordwrap,
paragraph
sentence,book_en_222_page_3_1.m4a,0,
word,0,0.434649,I,en-uk_i.m4a,0.2,
word,0.434649,1.00753,want,en-uk_want.m4a,0.2,
word,1.00753,1.18494,to,en-uk_to.m4a,0.2,
word,1.18494,1.71872,play,en-uk_play.m4a,0.2,
word,1.71872,2.25215,at,en-uk_at.m4a,0.2,
word,2.25215,2.74302,home.,en-uk_home.m4a,0.2,
page,4,book_en_222_page_4,wordwrap,
paragraph
sentence,book_en_222_page_4_1.m4a,0,
word,0,0.413914,I,en-uk_i.m4a,0.2,
word,0.413914,0.814052,want,en-uk_want.m4a,0.2,
word,0.814052,1.02336,to,en-uk_to.m4a,0.2,
word,1.02336,1.63947,play,en-uk_play.m4a,0.2,
word,1.63947,2.11552,near,en-uk_near.m4a,0.2,
word,2.11552,2.29109,the,en-uk_the.m4a,0.2,
word,2.29109,2.88066,tree.,en-uk_tree.m4a,0.2,
page,5,book_en_222_page_5,wordwrap,
paragraph
sentence,book_en_222_page_5_1.m4a,0,
word,0,0.411495,I,en-uk_i.m4a,0.2,
word,0.411495,0.953356,want,en-uk_want.m4a,0.2,
word,0.953356,1.12851,to,en-uk_to.m4a,0.2,
word,1.12851,1.67084,play,en-uk_play.m4a,0.2,
word,1.67084,1.96274,in,en-uk_in.m4a,0.2,
word,1.96274,2.11262,the,en-uk_the.m4a,0.2,
word,2.11262,2.83726,tent.,en-uk_tent.m4a,0.2,
