title,We Say It Every Day!,book_en_230_page_0_1.m4a,book_en_230_page_0,landscape,audio,
page,1,book_en_230_page_1,wordwrap,
paragraph
sentence,book_en_230_page_1_1.m4a,0,
word,0,0.6645,We,en-uk_we.m4a,0.2,
word,0.6645,1.22127,"said,",en-uk_said.m4a,0.2,
word,1.22127,2.11304,“Hello.”,en-uk_hello.m4a,0.2,
page,2,book_en_230_page_2,wordwrap,
paragraph
sentence,book_en_230_page_2_1.m4a,0,
word,0,0.618899,I,en-uk_i.m4a,0.2,
word,0.618899,1.72215,"asked,",en-uk_asked.m4a,0.2,
word,1.72215,1.88558,“Can,en-uk_can.m4a,0.2,
word,1.88558,2.10525,I,en-uk_i.m4a,0.2,
word,2.10525,2.3183,help,en-uk_help.m4a,0.2,
word,2.3183,2.70132,you?”,en-uk_you.m4a,0.2,
page,3,book_en_230_page_3,wordwrap,
paragraph
sentence,book_en_230_page_3_1.m4a,0,
word,0,0.584428,She,en-uk_she.m4a,0.2,
word,0.584428,1.43754,"said,",en-uk_said.m4a,0.2,
word,1.43754,1.80138,“Yes,en-uk_yes.m4a,0.56384,
word,1.80138,2.55356,please.,en-uk_please.m4a,0.2,
sentence,book_en_230_page_3_2.m4a,3.55356,
word,0,0.442597,Thank,en-uk_thank.m4a,0.2,
word,0.442597,1.05483,you.”,en-uk_you.m4a,0.2,
page,4,book_en_230_page_4,wordwrap,
paragraph
sentence,book_en_230_page_4_1.m4a,0,
word,0,0.468098,I,en-uk_i.m4a,0.2,
word,0.468098,1.31112,"said,",en-uk_said.m4a,0.2,
word,1.31112,1.65226,“You,en-uk_you.m4a,0.2,
word,1.65226,1.99674,are,en-uk_are.m4a,0.2,
word,1.99674,2.9124,welcome.”,en-uk_welcome.m4a,0.2,
page,5,book_en_230_page_5,wordwrap,
paragraph
sentence,book_en_230_page_5_1.m4a,0,
word,0,0.535147,We,en-uk_we.m4a,0.2,
word,0.535147,1.16842,"said,",en-uk_said.m4a,0.2,
word,1.16842,2.44803,“Goodbye.”,en-uk_goodbye.m4a,0.2,
