title,Priya's Day,book_en_231_page_0_1.m4a,book_en_231_page_0,landscape,audio
page,1,book_en_231_page_1,wordwrap,,
paragraph,,,,,
sentence,book_en_231_page_1_1.m4a,0,,,
word,0,0.595788,This,en-uk_this.m4a,0.2
word,0.595788,1.0151,is,en-uk_is.m4a,0.2
word,1.0151,1.7291,Priya's,en-uk_neema's.m4a,0.2
word,1.7291,2.49027,day.,en-uk_day.m4a,0.2
page,2,book_en_231_page_2,wordwrap,,
paragraph,,,,,
sentence,book_en_231_page_2_1.m4a,0,,,
word,0,1.06001,Priya,en-uk_neema.m4a,0.2
word,1.06001,1.381,wakes,en-uk_wakes.m4a,0.2
word,1.381,2.23694,up.,en-uk_up.m4a,0.2
page,3,book_en_231_page_3,wordwrap,,
paragraph,,,,,
sentence,book_en_231_page_3_1.m4a,0,,,
word,0,0.902569,Priya,en-uk_neema.m4a,0.2
word,0.902569,1.92032,washes.,en-uk_washes.m4a,0.2
page,4,book_en_231_page_4,wordwrap,,
paragraph,,,,,
sentence,book_en_231_page_4_1.m4a,0,,,
word,0,0.788,Priya,en-uk_neema.m4a,0.2
word,0.788,1.53673,eats,en-uk_eats.m4a,0.2
word,1.53673,2.27914,porridge.,en-uk_porridge.m4a,0.2
page,5,book_en_231_page_5,wordwrap,,
paragraph,,,,,
sentence,book_en_231_page_5_1.m4a,0,,,
word,0,0.856681,Priya,en-uk_neema.m4a,0.2
word,0.856681,1.37696,goes,en-uk_goes.m4a,0.2
word,1.37696,1.63371,to,en-uk_to.m4a,0.2
word,1.63371,2.53245,school.,en-uk_school.m4a,0.2
page,6,book_en_231_page_6,wordwrap,,
paragraph,,,,,
sentence,book_en_231_page_6_1.m4a,0,,,
word,0,0.878597,Priya,en-uk_neema.m4a,0.2
word,0.878597,1.38234,helps,en-uk_helps.m4a,0.2
word,1.38234,1.60314,her,en-uk_her.m4a,0.2
word,1.60314,2.25805,mom.,en-uk_mom.m4a,0.2
page,7,book_en_231_page_7,wordwrap,,
paragraph,,,,,
sentence,book_en_231_page_7_1.m4a,0,,,
word,0,0.878304,Priya,en-uk_neema.m4a,0.2
word,0.878304,1.62631,eats,en-uk_eats.m4a,0.2
word,1.62631,2.19474,dinner.,en-uk_dinner.m4a,0.2
