title,Akash’s Bicycle,book_en_232_page_0_1.m4a,book_en_232_page_0,landscape,audio
page,1,book_en_232_page_1,wordwrap,,
paragraph,,,,,
sentence,book_en_232_page_1_1.m4a,0,,,
word,0,0.920137,Akash,en-uk_Akash.m4a,0.2
word,0.920137,1.30706,has,en-uk_has.m4a,0.2
word,1.30706,1.65314,a,en-uk_a.m4a,0.2
word,1.65314,2.65311,bicycle.,en-uk_bicycle.m4a,0.2
page,2,book_en_232_page_2,wordwrap,,
paragraph,,,,,
sentence,book_en_232_page_2_1.m4a,0,,,
word,0,0.857654,Akash,en-uk_Akash.m4a,0.2
word,0.857654,1.60235,rides,en-uk_rides.m4a,0.2
word,1.60235,1.8909,his,en-uk_his.m4a,0.2
word,1.8909,2.67424,bicycle,en-uk_bicycle.m4a,0.2
word,2.67424,2.92572,to,en-uk_to.m4a,0.2
word,2.92572,3.58603,school.,en-uk_school.m4a,0.2
page,3,book_en_232_page_3,wordwrap,,
paragraph,,,,,
sentence,book_en_232_page_3_1.m4a,0,,,
word,0,1.03597,Akash,en-uk_Akash.m4a,0.2
word,1.03597,1.67881,rides,en-uk_rides.m4a,0.2
word,1.67881,1.95165,his,en-uk_his.m4a,0.2
word,1.95165,2.60277,bicycle,en-uk_bicycle.m4a,0.2
word,2.60277,2.85512,to,en-uk_to.m4a,0.2
word,2.85512,3.0196,the,en-uk_the.m4a,0.2
word,3.0196,3.64823,store.,en-uk_store.m4a,0.2
page,4,book_en_232_page_4,wordwrap,,
paragraph,,,,,
sentence,book_en_232_page_4_1.m4a,0,,,
word,0,0.891974,Akash,en-uk_Akash.m4a,0.2
word,0.891974,1.62528,rides,en-uk_rides.m4a,0.2
word,1.62528,1.89603,his,en-uk_his.m4a,0.2
word,1.89603,2.49414,bicycle,en-uk_bicycle.m4a,0.2
word,2.49414,2.75857,to,en-uk_to.m4a,0.2
word,2.75857,3.03527,the,en-uk_the.m4a,0.2
word,3.03527,3.83481,market.,en-uk_market.m4a,0.2
page,5,book_en_232_page_5,wordwrap,,
paragraph,,,,,
sentence,book_en_232_page_5_1.m4a,0,,,
word,0,0.821549,Akash,en-uk_Akash.m4a,0.2
word,0.821549,1.43678,rides,en-uk_rides.m4a,0.2
word,1.43678,1.7066,his,en-uk_his.m4a,0.2
word,1.7066,2.30214,bicycle,en-uk_bicycle.m4a,0.2
word,2.30214,2.70652,on,en-uk_on.m4a,0.2
word,2.70652,2.93677,the,en-uk_the.m4a,0.2
word,2.93677,3.66898,street.,en-uk_street.m4a,0.2
page,6,book_en_232_page_6,wordwrap,,
paragraph,,,,,
sentence,book_en_232_page_6_1.m4a,0,,,
word,0,0.850889,Akash,en-uk_Akash.m4a,0.2
word,0.850889,1.66767,loves,en-uk_loves.m4a,0.2
word,1.66767,1.95106,his,en-uk_his.m4a,0.2
word,1.95106,2.81893,bicycle.,en-uk_bicycle.m4a,0.2
