title,Squirrel and Seed,book_en_233_page_0_1.m4a,book_en_233_page_0,landscape,audio,
page,1,book_en_233_page_1,wordwrap,
paragraph
sentence,book_en_233_page_1_1.m4a,0,
word,0,0.847286,Squirrel,en-uk_squirrel.m4a,0.2,
word,0.847286,1.29986,dropped,en-uk_dropped.m4a,0.2,
word,1.29986,1.59554,a,en-uk_a.m4a,0.2,
word,1.59554,2.48723,seed.,en-uk_seed.m4a,0.2,
page,2,book_en_233_page_2,wordwrap,
paragraph
sentence,book_en_233_page_2_1.m4a,0,
word,0,0.585476,The,en-uk_the.m4a,0.2,
word,0.585476,1.13833,seed,en-uk_seed.m4a,0.2,
word,1.13833,1.82955,landed,en-uk_landed.m4a,0.2,
word,1.82955,2.11876,in,en-uk_in.m4a,0.2,
word,2.11876,2.88113,soil.,en-uk_soil.m4a,0.2,
page,3,book_en_233_page_3,wordwrap,
paragraph
sentence,book_en_233_page_3_1.m4a,0,
word,0,0.768184,Rain,en-uk_rain.m4a,0.2,
word,0.768184,1.66371,fell,en-uk_fell.m4a,0.2,
word,1.66371,1.85149,on,en-uk_on.m4a,0.2,
word,1.85149,2.15529,the,en-uk_the.m4a,0.2,
word,2.15529,2.67383,seed.,en-uk_seed.m4a,0.2,
page,4,book_en_233_page_4,wordwrap,
paragraph
sentence,book_en_233_page_4_1.m4a,0,
word,0,0.806065,Sun,en-uk_sun.m4a,0.2,
word,0.806065,1.46476,shined,en-uk_shined.m4a,0.2,
word,1.46476,1.773,on,en-uk_on.m4a,0.2,
word,1.773,2.01685,the,en-uk_the.m4a,0.2,
word,2.01685,2.69456,seed.,en-uk_seed.m4a,0.2,
page,5,book_en_233_page_5,wordwrap,
paragraph
sentence,book_en_233_page_5_1.m4a,0,
word,0,0.492081,The,en-uk_the.m4a,0.2,
word,0.492081,1.08884,seed,en-uk_seed.m4a,0.2,
word,1.08884,1.63222,began,en-uk_began.m4a,0.2,
word,1.63222,1.93819,to,en-uk_to.m4a,0.2,
word,1.93819,2.79821,grow.,en-uk_grow.m4a,0.2,
page,6,book_en_233_page_6,wordwrap,
paragraph
sentence,book_en_233_page_6_1.m4a,0,
word,0,0.620264,“Where,en-uk_where.m4a,0.2,
word,0.620264,0.873269,is,en-uk_is.m4a,0.2,
word,0.873269,1.10522,my,en-uk_my.m4a,0.2,
word,1.10522,1.86528,seed?”,en-uk_seed.m4a,0.2,
sentence,book_en_233_page_6_2.m4a,2.86528,
word,0,0.544725,asks,en-uk_asks.m4a,0.2,
word,0.544725,1.31204,Squirrel.,en-uk_squirrel.m4a,0.2,
