title,My Ball,book_en_303_page_0_1.m4a,book_en_303_page_0,portrait,audio,
page,1,book_en_303_page_1,wordwrap,
paragraph
sentence,book_en_303_page_1_1.m4a,0,
word,0,0.584891,I,en-uk_i.m4a,0.2,
word,0.584891,0.908277,have,en-uk_have.m4a,0.2,
word,0.908277,1.15831,a,en-uk_a.m4a,0.2,
word,1.15831,1.71404,ball.,en-uk_ball.m4a,0.2,
page,2,book_en_303_page_2,wordwrap,
paragraph
sentence,book_en_303_page_2_1.m4a,0,
word,0,0.49992,I,en-uk_i.m4a,0.2,
word,0.49992,1.41605,love,en-uk_love.m4a,0.2,
word,1.41605,1.66619,my,en-uk_my.m4a,0.2,
word,1.66619,2.25385,ball.,en-uk_ball.m4a,0.2,
page,3,book_en_303_page_3,wordwrap,
paragraph
sentence,book_en_303_page_3_1.m4a,0,
word,0,0.595143,I,en-uk_i.m4a,0.2,
word,0.595143,1.21388,love,en-uk_love.m4a,0.2,
word,1.21388,1.44565,to,en-uk_to.m4a,0.2,
word,1.44565,1.91275,kick,en-uk_kick.m4a,0.2,
word,1.91275,2.09629,my,en-uk_my.m4a,0.2,
word,2.09629,2.66249,ball.,en-uk_ball.m4a,0.2,
page,4,book_en_303_page_4,wordwrap,
paragraph
sentence,book_en_303_page_4_1.m4a,0,
word,0,0.469639,I,en-uk_i.m4a,0.2,
word,0.469639,1.1692,love,en-uk_love.m4a,0.2,
word,1.1692,1.38615,to,en-uk_to.m4a,0.2,
word,1.38615,1.70309,kick,en-uk_kick.m4a,0.2,
word,1.70309,1.92001,my,en-uk_my.m4a,0.2,
word,1.92001,2.55041,ball.,en-uk_ball.m4a,0.2,
sentence,book_en_303_page_4_2.m4a,3.55041,
word,0,0.482478,I,en-uk_i.m4a,0.2,
word,0.482478,0.931818,can,en-uk_can.m4a,0.2,
word,0.931818,1.16657,kick,en-uk_kick.m4a,0.2,
word,1.16657,1.53234,it,en-uk_it.m4a,0.2,
word,1.53234,2.14467,far.,en-uk_far.m4a,0.2,
page,5,book_en_303_page_5,wordwrap,
paragraph
sentence,book_en_303_page_5_1.m4a,0,
word,0,0.531076,Where,en-uk_where.m4a,0.2,
word,0.531076,0.999118,is,en-uk_is.m4a,0.2,
word,0.999118,1.25059,my,en-uk_my.m4a,0.2,
word,1.25059,1.86091,ball?,en-uk_ball.m4a,0.2,
page,6,book_en_303_page_6,wordwrap,
paragraph
sentence,book_en_303_page_6_1.m4a,0,
word,0,0.487021,I,en-uk_i.m4a,0.2,
word,0.487021,0.737415,do,en-uk_do.m4a,0.2,
word,0.737415,1.13707,not,en-uk_not.m4a,0.2,
word,1.13707,1.53646,see,en-uk_see.m4a,0.2,
word,1.53646,1.73595,my,en-uk_my.m4a,0.2,
word,1.73595,2.2283,ball.,en-uk_ball.m4a,0.2,
page,7,book_en_303_page_7,wordwrap,
paragraph
sentence,book_en_303_page_7_1.m4a,0,
word,0,0.551148,Where,en-uk_where.m4a,0.2,
word,0.551148,0.835111,did,en-uk_did.m4a,0.2,
word,0.835111,1.08525,my,en-uk_my.m4a,0.2,
word,1.08525,1.33616,ball,en-uk_ball.m4a,0.2,
word,1.33616,2.09091,go?,en-uk_go.m4a,0.2,
page,8,book_en_303_page_8,wordwrap,
paragraph
sentence,book_en_303_page_8_1.m4a,0,
word,0,0.484756,I,en-uk_i.m4a,0.2,
word,0.484756,0.951774,see,en-uk_see.m4a,0.2,
word,0.951774,1.18464,my,en-uk_my.m4a,0.2,
word,1.18464,1.99231,ball!,en-uk_ball.m4a,0.2,
sentence,book_en_303_page_8_2.m4a,2.99231,
word,0,0.257222,It,en-uk_it.m4a,0.2,
word,0.257222,0.626158,is,en-uk_is.m4a,0.2,
word,0.626158,1.19447,high,en-uk_high.m4a,0.2,
word,1.19447,1.4282,in,en-uk_in.m4a,0.2,
word,1.4282,1.63004,the,en-uk_the.m4a,0.2,
word,1.63004,2.31492,sky!,en-uk_sky.m4a,0.2,
page,9,book_en_303_page_9,wordwrap,
paragraph
sentence,book_en_303_page_9_1.m4a,0,
word,0,0.431872,It,en-uk_it.m4a,0.2,
word,0.431872,0.683362,is,en-uk_is.m4a,0.2,
word,0.683362,1.3321,flying,en-uk_flying.m4a,0.2,
word,1.3321,1.85064,through,en-uk_through.m4a,0.2,
word,1.85064,2.03336,the,en-uk_the.m4a,0.2,
word,2.03336,2.7839,clouds!,en-uk_clouds.m4a,0.2,
page,10,book_en_303_page_10,wordwrap,
paragraph
sentence,book_en_303_page_10_1.m4a,0,
word,0,0.483463,It,en-uk_it.m4a,0.2,
word,0.483463,0.733329,is,en-uk_is.m4a,0.2,
word,0.733329,1.25209,flying,en-uk_flying.m4a,0.2,
word,1.25209,1.76458,into,en-uk_into.m4a,0.2,
