title,Where is My Bat?,book_en_305_page_0_1.m4a,book_en_305_page_0.png,landscape,audio,
page,1,book_en_305_page_1.png,wordwrap,
paragraph
sentence,book_en_305_page_1_1.m4a,0,
word,0,0.728023,Bill,en-uk_bill.m4a,1.163,
word,0.728023,1.1935,is,en-uk_is.m4a,0.587,
word,1.1935,1.61835,looking,en-uk_looking.m4a,1.131,
word,1.61835,2.03485,for,en-uk_for.m4a,0.827,
word,2.03485,2.25635,his,en-uk_his.m4a,0.503,
word,2.25635,2.67664,sports,en-uk_sports.m4a,1.11,
word,2.67664,3.22769,bat.,en-uk_bat.m4a,0.901,
page,2,book_en_305_page_2.png,wordwrap,
paragraph
sentence,book_en_305_page_2_1.m4a,0,
word,0,0.417151,Is,en-uk_is.m4a,1.022,
word,0.417151,0.708176,it,en-uk_it.m4a,0.84,
word,0.708176,1.13192,behind,en-uk_behind.m4a,1.284,
word,1.13192,1.42763,the,en-uk_the.m4a,0.719,
word,1.42763,1.81966,door?,en-uk_door.m4a,0.921,
sentence,book_en_305_page_2_2.m4a,5.555,
word,0,0.76602,Let's,en-uk_let1s.m4a,1.299,
word,0.76602,1.26862,see.,en-uk_see.m4a,1.03,
page,3,book_en_305_page_3.png,wordwrap,
paragraph
sentence,book_en_305_page_3_1.m4a,0,
word,0,0.494071,Is,en-uk_is.m4a,0.646,
word,0.494071,0.683126,it,en-uk_it.m4a,0.811,
word,0.683126,1.00206,on,en-uk_on.m4a,0.776,
word,1.00206,1.19954,top,en-uk_top.m4a,1.116,
word,1.19954,1.43519,of,en-uk_of.m4a,0.576,
word,1.43519,1.65698,the,en-uk_the.m4a,0.435,
word,1.65698,2.1581,shelf?,en-uk_shelf.m4a,1.057,
sentence,book_en_305_page_3_2.m4a,4.888,
word,0,1.05118,Hmm.,en-uk_hmm.m4a,1.159,
sentence,book_en_305_page_3_3.m4a,5.847,
word,0,1.007,No.,en-uk_no.m4a,1.207,
page,4,book_en_305_page_4.png,wordwrap,
paragraph
sentence,book_en_305_page_4_1.m4a,0,
word,0,0.44356,Is,en-uk_is.m4a,0.629,
word,0.44356,0.633491,it,en-uk_it.m4a,0.813,
word,0.633491,1.10049,under,en-uk_under.m4a,0.966,
word,1.10049,1.31888,the,en-uk_the.m4a,0.672,
word,1.31888,1.67118,bed?,en-uk_bed.m4a,0.825,
sentence,book_en_305_page_4_2.m4a,4.3,
word,0,0.711012,"Oh,",en-uk_oh.m4a,1,
word,0.711012,1.54338,no.,en-uk_no.m4a,1.306,
page,5,book_en_305_page_5.png,wordwrap,
paragraph
sentence,book_en_305_page_5_1.m4a,0,
word,0,0.425977,Is,en-uk_is.m4a,0.752,
word,0.425977,0.566736,it,en-uk_it.m4a,0.81,
word,0.566736,0.772023,in,en-uk_in.m4a,0.786,
word,0.772023,1.05809,the,en-uk_the.m4a,0.502,
word,1.05809,1.65687,trunk?,en-uk_trunk.m4a,1.145,
sentence,book_en_305_page_5_2.m4a,4.25,
word,0,0.651891,"Oh,",en-uk_oh.m4a,1.058,
word,0.651891,1.47063,dear.,en-uk_dear.m4a,0.928,
page,6,book_en_305_page_6.png,wordwrap,
paragraph
sentence,book_en_305_page_6_1.m4a,0,
word,0,0.400341,Is,en-uk_is.m4a,0.782,
word,0.400341,0.672021,it,en-uk_it.m4a,0.782,
word,0.672021,1.65744,upstairs?,en-uk_upstairs.m4a,1.685,
sentence,book_en_305_page_6_2.m4a,3.5,
word,0,0.592983,Uh,en-uk_uh.m4a,0.749,
word,0.592983,1.01785,oh.,en-uk_oh.m4a,0.998,
page,7,book_en_305_page_7.png,wordwrap,
paragraph
sentence,book_en_305_page_7_1.m4a,0,
word,0,0.749989,Bill,en-uk_bill.m4a,1.079,
word,0.749989,1.14084,is,en-uk_is.m4a,0.503,
word,1.14084,1.81648,really,en-uk_really.m4a,1.138,
word,1.81648,2.7139,confused.,en-uk_confused.m4a,1.446,
sentence,book_en_305_page_7_2.m4a,3.999,
word,0,0.925026,Where,en-uk_where.m4a,1.387,
word,0.925026,1.2118,is,en-uk_is.m4a,1.282,
word,1.2118,1.53789,his,en-uk_his.m4a,0.722,
word,1.53789,2.04814,sports,en-uk_sports.m4a,1.35,
word,2.04814,2.47585,bat?,en-uk_bat.m4a,1.073,
page,8,book_en_305_page_8.png,wordwrap,
paragraph
sentence,book_en_305_page_8_1.m4a,0,
word,0,0.833143,That,en-uk_that.m4a,1.556,
word,0.833143,1.08645,is,en-uk_is.m4a,0.829,
word,1.08645,1.66999,Bill's,en-uk_bill1s.m4a,1.2,
word,1.66999,2.16222,sister.,en-uk_sister.m4a,1.284,
sentence,book_en_305_page_8_2.m4a,4.9,
word,0,0.493005,It,en-uk_it.m4a,0.724,
word,0.493005,1.01233,looks,en-uk_looks.m4a,1.192,
word,1.01233,1.30636,like,en-uk_like.m4a,0.601,
word,1.30636,1.73205,she,en-uk_she.m4a,0.591,
word,1.73205,1.95417,had,en-uk_had.m4a,0.772,
word,1.95417,2.20667,the,en-uk_the.m4a,0.648,
word,2.20667,2.52727,bat,en-uk_bat.m4a,0.944,
word,2.52727,2.82143,all,en-uk_all.m4a,0.867,
word,2.82143,3.38497,along!,en-uk_along.m4a,1.258,
