title,I Can Do It,book_en_306_page_0_1.m4a,book_en_306_page_0,landscape,audio,
page,1,book_en_306_page_1,wordwrap,
paragraph
sentence,book_en_306_page_1_1.m4a,0,
word,0,0.681058,I,en-uk_i.m4a,0.2,
word,0.681058,1.09768,can,en-uk_can.m4a,0.2,
word,1.09768,1.90678,walk.,en-uk_walk.m4a,0.2,
sentence,book_en_306_page_1_2.m4a,2.90678,
word,0,0.483446,I,en-uk_i.m4a,0.2,
word,0.483446,0.827488,can,en-uk_can.m4a,0.2,
word,0.827488,1.82928,walk,en-uk_walk.m4a,0.2,
word,1.82928,2.36125,all,en-uk_all.m4a,0.2,
word,2.36125,2.83465,day.,en-uk_day.m4a,0.2,
page,2,book_en_306_page_2,wordwrap,
paragraph
sentence,book_en_306_page_2_1.m4a,0,
word,0,0.843849,I,en-uk_i.m4a,0.2,
word,0.843849,1.40421,can,en-uk_can.m4a,0.2,
word,1.40421,1.85195,jump.,en-uk_jump.m4a,0.2,
sentence,book_en_306_page_2_2.m4a,2.85195,
word,0,0.573988,I,en-uk_i.m4a,0.2,
word,0.573988,0.894117,can,en-uk_can.m4a,0.2,
word,0.894117,1.85718,jump,en-uk_jump.m4a,0.2,
word,1.85718,2.31195,high.,en-uk_high.m4a,0.2,
page,3,book_en_306_page_3,wordwrap,
paragraph
sentence,book_en_306_page_3_1.m4a,0,
word,0,0.762048,I,en-uk_i.m4a,0.2,
word,0.762048,1.26356,can,en-uk_can.m4a,0.2,
word,1.26356,2.03714,run.,en-uk_run.m4a,0.2,
sentence,book_en_306_page_3_2.m4a,3.03714,
word,0,0.304213,I,en-uk_i.m4a,0.2,
word,0.304213,0.541216,can,en-uk_can.m4a,0.2,
word,0.541216,1.61994,run,en-uk_run.m4a,0.2,
word,1.61994,2.26601,fast.,en-uk_fast.m4a,0.2,
page,4,book_en_306_page_4,wordwrap,
paragraph
sentence,book_en_306_page_4_1.m4a,0,
word,0,0.380367,I,en-uk_i.m4a,0.2,
word,0.380367,0.672485,can,en-uk_can.m4a,0.2,
word,0.672485,1.34051,kick,en-uk_kick.m4a,0.2,
word,1.34051,1.75905,this,en-uk_this.m4a,0.2,
word,1.75905,2.24279,ball.,en-uk_ball.m4a,0.2,
sentence,book_en_306_page_4_2.m4a,3.24279,
word,0,0.523793,I,en-uk_i.m4a,0.2,
word,0.523793,0.975574,can,en-uk_can.m4a,0.2,
word,0.975574,1.71657,kick,en-uk_kick.m4a,0.2,
word,1.71657,1.91889,it,en-uk_it.m4a,0.2,
word,1.91889,2.54492,far.,en-uk_far.m4a,0.2,
page,5,book_en_306_page_5,wordwrap,
paragraph
sentence,book_en_306_page_5_1.m4a,0,
word,0,0.518869,I,en-uk_i.m4a,0.2,
word,0.518869,0.828185,can,en-uk_can.m4a,0.2,
word,0.828185,1.72649,dance.,en-uk_dance.m4a,0.2,
sentence,book_en_306_page_5_2.m4a,2.72649,
word,0,0.817161,I,en-uk_i.m4a,0.2,
word,0.817161,1.59198,love,en-uk_love.m4a,0.2,
word,1.59198,1.74168,to,en-uk_to.m4a,0.2,
word,1.74168,2.47921,dance.,en-uk_dance.m4a,0.2,
page,6,book_en_306_page_6,wordwrap,
paragraph
sentence,book_en_306_page_6_1.m4a,0,
word,0,0.481768,I,en-uk_i.m4a,0.2,
word,0.481768,0.825116,can,en-uk_can.m4a,0.2,
word,0.825116,1.47857,swim.,en-uk_swim.m4a,0.2,
sentence,book_en_306_page_6_2.m4a,2.47857,
word,0,0.383591,I,en-uk_i.m4a,0.2,
word,0.383591,0.600777,can,en-uk_can.m4a,0.2,
word,0.600777,1.34166,swim,en-uk_swim.m4a,0.2,
word,1.34166,2.19358,across,en-uk_across.m4a,0.2,
word,2.19358,2.37621,the,en-uk_the.m4a,0.2,
word,2.37621,2.90286,lake.,en-uk_lake.m4a,0.2,
page,7,book_en_306_page_7,wordwrap,
paragraph
sentence,book_en_306_page_7_1.m4a,0,
word,0.0665551,0.454406,Can,en-uk_can.m4a,0.2,
word,0.454406,0.789377,I,en-uk_i.m4a,0.2,
word,0.789377,1.50116,fly?,en-uk_fly.m4a,0.2,
sentence,book_en_306_page_7_2.m4a,2.50116,
word,0,0.885896,No.,en-uk_no.m4a,0.2,
sentence,book_en_306_page_7_3.m4a,4.38705,
word,0,0.710034,I,en-uk_i.m4a,0.2,
word,0.710034,1.25941,cannot,en-uk_cannot.m4a,0.2,
word,1.25941,1.78134,fly.,en-uk_fly.m4a,0.2,
