title,Cats are Friends,book_en_311_page_0_1.m4a,book_en_311_page_0,landscape,audio,
page,1,book_en_311_page_1,wordwrap,
paragraph
sentence,book_en_311_page_1_1.m4a,0,
word,0,0.357463,A,en-uk_a.m4a,0.2,
word,0.357463,1.16009,cat,en-uk_cat.m4a,0.2,
word,1.16009,1.65342,needs,en-uk_needs.m4a,0.2,
word,1.65342,1.93986,help.,en-uk_help.m4a,0.2,
page,2,book_en_311_page_2,wordwrap,
paragraph
sentence,book_en_311_page_2_1.m4a,0,
word,0,0.400034,The,en-uk_the.m4a,0.2,
word,0.400034,0.840594,boy,en-uk_boy.m4a,0.2,
word,0.840594,1.06658,and,en-uk_and.m4a,0.2,
word,1.06658,1.58801,girl,en-uk_girl.m4a,0.2,
word,1.58801,2.0044,ask,en-uk_ask.m4a,0.2,
sentence,book_en_311_page_2_2.m4a,3.0044,
word,0,0.413906,“What's,en-uk_what's.m4a,0.2,
word,0.413906,0.88077,"wrong,",en-uk_wrong.m4a,0.2,
word,0.88077,1.49558,cat?”,en-uk_cat.m4a,0.2,
page,3,book_en_311_page_3,wordwrap,
paragraph
sentence,book_en_311_page_3_1.m4a,0,
word,0,0.175262,The,en-uk_the.m4a,0.2,
word,0.175262,1.18334,cat,en-uk_cat.m4a,0.2,
word,1.18334,1.41714,is,en-uk_is.m4a,0.2,
word,1.41714,2.04099,all,en-uk_all.m4a,0.2,
word,2.04099,2.7098,alone.,en-uk_alone.m4a,0.2,
sentence,book_en_311_page_3_2.m4a,3.7098,
word,0,0.314471,The,en-uk_the.m4a,0.2,
word,0.314471,1.20896,cat,en-uk_cat.m4a,0.2,
word,1.20896,1.69782,wants,en-uk_wants.m4a,0.2,
word,1.69782,1.84018,a,en-uk_a.m4a,0.2,
word,1.84018,2.46868,friend.,en-uk_friend.m4a,0.2,
page,4,book_en_311_page_4,wordwrap,
paragraph
sentence,book_en_311_page_4_1.m4a,0,
word,0,0.481051,Two,en-uk_two.m4a,0.2,
word,0.481051,1.22785,cats,en-uk_cats.m4a,0.2,
word,1.22785,1.43899,can,en-uk_can.m4a,0.2,
word,1.43899,1.70952,be,en-uk_be.m4a,0.2,
word,1.70952,2.47422,friends.,en-uk_friends.m4a,0.2,
page,5,book_en_311_page_5,wordwrap,
paragraph
sentence,book_en_311_page_5_1.m4a,0,
word,0,0.278317,The,en-uk_the.m4a,0.2,
word,0.278317,0.949478,cats,en-uk_cats.m4a,0.2,
word,0.949478,1.48306,live,en-uk_live.m4a,0.2,
word,1.48306,2.17304,together.,en-uk_together.m4a,0.2,
page,6,book_en_311_page_6,wordwrap,
paragraph
sentence,book_en_311_page_6_1.m4a,0,
word,0,0.984415,Mice,en-uk_mice.m4a,0.2,
word,0.984415,1.35491,come,en-uk_come.m4a,0.2,
word,1.35491,1.54825,to,en-uk_to.m4a,0.2,
word,1.54825,1.88644,our,en-uk_our.m4a,0.2,
word,1.88644,2.56136,village.,en-uk_village.m4a,0.2,
page,7,book_en_311_page_7,wordwrap,
paragraph
sentence,book_en_311_page_7_1.m4a,0,
word,0,0.550395,More,en-uk_more.m4a,0.2,
word,0.550395,1.23576,cats,en-uk_cats.m4a,0.2,
word,1.23576,1.50201,come,en-uk_come.m4a,0.2,
word,1.50201,1.91849,to,en-uk_to.m4a,0.2,
word,1.91849,2.27447,help,en-uk_help.m4a,0.2,
word,2.27447,2.70946,catch,en-uk_catch.m4a,0.2,
word,2.70946,2.86824,the,en-uk_the.m4a,0.2,
word,2.86824,3.44499,mice.,en-uk_mice.m4a,0.2,
page,8,book_en_311_page_8,wordwrap,
paragraph
sentence,book_en_311_page_8_1.m4a,0,
word,0,0.358368,Good,en-uk_good.m4a,0.2,
word,0.358368,1.21425,"job,",en-uk_job.m4a,0.2,
word,1.21425,1.7561,cats!,en-uk_cats.m4a,0.2,
