title,Where are the Shapes? ,book_en_313_page_0_1.m4a,book_en_313_page_0.jpg,landscape,audio,
page,1,book_en_313_page_1.jpg,wordwrap,
paragraph
sentence,book_en_313_page_1_1.m4a,0,
word,0,0.45901,The,en-uk_the.m4a,0.264,
word,0.45901,1.24318,square,en-uk_square.m4a,0.912,
word,1.24318,1.5791,is,en-uk_is.m4a,0.397,
word,1.5791,2.06773,next,en-uk_next.m4a,0.636,
word,2.06773,2.25812,to,en-uk_to.m4a,0.343,
word,2.25812,2.47984,the,en-uk_the.m4a,0.486,
word,2.47984,3.17361,circle.,en-uk_circle.m4a,0.747,
page,2,book_en_313_page_2.jpg,wordwrap,
paragraph
sentence,book_en_313_page_2_1.m4a,0,
word,0,0.611609,The,en-uk_the.m4a,0.3,
word,0.611609,1.23368,circle,en-uk_circle.m4a,0.867,
word,1.23368,1.80867,is,en-uk_is.m4a,0.349,
word,1.80867,2.16401,next,en-uk_next.m4a,0.516,
word,2.16401,2.36586,to,en-uk_to.m4a,0.306,
word,2.36586,2.58348,the,en-uk_the.m4a,0.287,
word,2.58348,3.11857,square. ,en-uk_square.m4a,0.85,
page,3,book_en_313_page_3.jpg,wordwrap,
paragraph
sentence,book_en_313_page_3_1.m4a,0,
word,0,0.419695,The,en-uk_the.m4a,0.304,
word,0.419695,1.26916,triangle,en-uk_triangle.m4a,1.008,
word,1.26916,1.83724,is ,en-uk_is.m4a,0.374,
word,1.83724,2.21351,on,en-uk_on.m4a,0.409,
word,2.21351,2.48859,top ,en-uk_top.m4a,0.532,
word,2.48859,2.66432,of ,en-uk_of.m4a,0.375,
word,2.66432,2.82867,the,en-uk_the.m4a,0.34,
word,2.82867,3.61154,circle.,en-uk_circle.m4a,0.725,
page,4,book_en_313_page_4.jpg,wordwrap,
paragraph
sentence,book_en_313_page_4_1.m4a,0,
word,0,0.617558,The ,en-uk_the.m4a,0.274,
word,0.617558,1.35037,triangle,en-uk_triangle.m4a,0.828,
word,1.35037,1.80044,is,en-uk_is.m4a,0.326,
word,1.80044,2.61625,above,en-uk_above.m4a,0.515,
word,2.61625,2.83894,the,en-uk_the.m4a,0.378,
word,2.83894,3.26923,square.,en-uk_square.m4a,0.755,
page,5,book_en_313_page_5.jpg,wordwrap,
paragraph
sentence,book_en_313_page_5_1.m4a,0,
word,0,0.475423,The,en-uk_the.m4a,0.372,
word,0.475423,1.38398,rectangle,en-uk_rectangle.m4a,0.957,
word,1.38398,1.75389,is,en-uk_is.m4a,0.378,
word,1.75389,2.17733,in,en-uk_in.m4a,0.362,
word,2.17733,2.37566,the,en-uk_the.m4a,0.329,
word,2.37566,2.77512,middle.,en-uk_middle.m4a,0.748,
page,6,book_en_313_page_6.jpg,wordwrap,
paragraph
sentence,book_en_313_page_6_1.m4a,0,
word,0,0.553186,The,en-uk_the.m4a,0.32,
word,0.553186,1.33502,rectangle,en-uk_rectangle.m4a,0.831,
word,1.33502,1.70837,is,en-uk_is.m4a,0.378,
word,1.70837,2.39391,below,en-uk_below.m4a,0.592,
word,2.39391,2.61683,the,en-uk_the.m4a,0.375,
word,2.61683,3.30565,star.,en-uk_star.m4a,0.647,
page,7,book_en_313_page_7.jpg,wordwrap,
paragraph
sentence,book_en_313_page_7_1.m4a,0,
word,0,0.533443,The,en-uk_the.m4a,0.251,
word,0.533443,1.04703,shapes,en-uk_shapes.m4a,0.646,
word,1.04703,1.51673,are,en-uk_are.m4a,0.317,
word,1.51673,1.86454,in,en-uk_in.m4a,0.273,
word,1.86454,2.03575,a,en-uk_a.m4a,0.301,
word,2.03575,2.61315,circle.,en-uk_circle.m4a,0.849,
page,8,book_en_313_page_8.jpg,wordwrap,
paragraph
sentence,book_en_313_page_8_1.m4a,0,
word,0,0.473745,The,en-uk_the.m4a,0.311,
word,0.473745,0.993318,shapes,en-uk_shapes.m4a,0.71,
word,0.993318,1.25125,are,en-uk_are.m4a,0.479,
word,1.25125,1.76305,all,en-uk_all.m4a,0.515,
word,1.76305,2.52599,inside,en-uk_inside.m4a,0.587,
word,2.52599,2.73512,the,en-uk_the.m4a,0.465,
word,2.73512,3.38893,square. ,en-uk_square.m4a,0.836,
