title,Our Cow,book_en_314_page_0_1.m4a,book_en_314_page_0,portrait,audio,
page,1,book_en_314_page_1,wordwrap,
paragraph
sentence,book_en_314_page_1_1.m4a,0,
word,0,1.004,This,en-uk_this.m4a,0.2,
word,1.004,1.21559,is,en-uk_is.m4a,0.2,
word,1.21559,1.64948,my,en-uk_my.m4a,0.2,
word,1.64948,2.3227,village.,en-uk_village.m4a,0.2,
page,2,book_en_314_page_2,wordwrap,
paragraph
sentence,book_en_314_page_2_1.m4a,0,
word,0,0.972228,This,en-uk_this.m4a,0.2,
word,0.972228,1.25584,is,en-uk_is.m4a,0.2,
word,1.25584,1.84043,our,en-uk_our.m4a,0.2,
word,1.84043,2.36571,cow.,en-uk_cow.m4a,0.2,
page,3,book_en_314_page_3,wordwrap,
paragraph
sentence,book_en_314_page_3_1.m4a,0,
word,0,0.466158,I,en-uk_i.m4a,0.2,
word,0.466158,0.883888,take,en-uk_take.m4a,0.2,
word,0.883888,1.56822,care,en-uk_care.m4a,0.2,
word,1.56822,1.73534,of,en-uk_of.m4a,0.2,
word,1.73534,2.03332,our,en-uk_our.m4a,0.2,
word,2.03332,2.53345,cow.,en-uk_cow.m4a,0.2,
page,4,book_en_314_page_4,wordwrap,
paragraph
sentence,book_en_314_page_4_1.m4a,0,
word,0,0.700589,Father,en-uk_father.m4a,0.2,
word,0.700589,0.99002,and,en-uk_and.m4a,0.2,
word,0.99002,1.60239,I,en-uk_i.m4a,0.2,
word,1.60239,2.13457,feed,en-uk_feed.m4a,0.2,
word,2.13457,2.48477,our,en-uk_our.m4a,0.2,
word,2.48477,3.05392,cow.,en-uk_cow.m4a,0.2,
page,5,book_en_314_page_5,wordwrap,
paragraph
sentence,book_en_314_page_5_1.m4a,0,
word,0,0.43398,I,en-uk_i.m4a,0.2,
word,0.43398,0.875188,give,en-uk_give.m4a,0.2,
word,0.875188,1.25916,our,en-uk_our.m4a,0.2,
word,1.25916,1.75939,cow,en-uk_cow.m4a,0.2,
word,1.75939,2.49043,water.,en-uk_water.m4a,0.2,
page,6,book_en_314_page_6,wordwrap,
paragraph
sentence,book_en_314_page_6_1.m4a,0,
word,0,0.367578,I,en-uk_i.m4a,0.2,
word,0.367578,0.951867,give,en-uk_give.m4a,0.2,
word,0.951867,1.27923,our,en-uk_our.m4a,0.2,
word,1.27923,1.73467,cow,en-uk_cow.m4a,0.2,
word,1.73467,2.64957,treats.,en-uk_treats.m4a,0.2,
sentence,book_en_314_page_6_2.m4a,3.64957,
word,0,0.499728,She,en-uk_she.m4a,0.2,
word,0.499728,1.14171,likes,en-uk_likes.m4a,0.2,
word,1.14171,1.85385,carrots.,en-uk_carrots.m4a,0.2,
page,7,book_en_314_page_7,wordwrap,
paragraph
sentence,book_en_314_page_7_1.m4a,0,
word,0,0.933927,Father,en-uk_father.m4a,0.2,
word,0.933927,1.38453,milks,en-uk_milks.m4a,0.2,
word,1.38453,1.62043,our,en-uk_our.m4a,0.2,
word,1.62043,2.24459,cow,en-uk_cow.m4a,0.2,
word,2.24459,2.73427,every,en-uk_every.m4a,0.2,
word,2.73427,3.30766,day.,en-uk_day.m4a,0.2,
page,8,book_en_314_page_8,wordwrap,
paragraph
sentence,book_en_314_page_8_1.m4a,0,
word,0,1.02308,Father,en-uk_father.m4a,0.2,
word,1.02308,1.39153,pours,en-uk_pours.m4a,0.2,
word,1.39153,1.55933,the,en-uk_the.m4a,0.2,
word,1.55933,2.06721,milk,en-uk_milk.m4a,0.2,
word,2.06721,2.3964,into,en-uk_into.m4a,0.2,
word,2.3964,3.08255,bottles,en-uk_bottles.m4a,0.2,
word,3.08255,3.30957,and,en-uk_and.m4a,0.2,
word,3.30957,4.09338,pails.,en-uk_pails.m4a,0.2,
page,9,book_en_314_page_9,wordwrap,
paragraph
sentence,book_en_314_page_9_1.m4a,0,
word,0,0.448504,We,en-uk_we.m4a,0.2,
word,0.448504,0.876286,sell,en-uk_sell.m4a,0.2,
word,0.876286,1.20793,some,en-uk_some.m4a,0.2,
word,1.20793,1.34191,of,en-uk_of.m4a,0.2,
word,1.34191,1.4348,the,en-uk_the.m4a,0.2,
word,1.4348,1.90907,milk,en-uk_milk.m4a,0.2,
word,1.90907,2.1803,for,en-uk_for.m4a,0.2,
word,2.1803,2.80299,money.,en-uk_money.m4a,0.2,
page,10,book_en_314_page_10,wordwrap,
paragraph
sentence,book_en_314_page_10_1.m4a,0,
word,0,0.408351,I,en-uk_i.m4a,0.2,
word,0.408351,0.822972,get,en-uk_get.m4a,0.2,
word,0.822972,0.974932,to,en-uk_to.m4a,0.2,
word,0.974932,1.53991,drink,en-uk_drink.m4a,0.2,
word,1.53991,1.76748,some,en-uk_some.m4a,0.2,
word,1.76748,2.17525,"milk,",en-uk_milk.m4a,0.2,
word,2.17525,2.75526,too.,en-uk_too.m4a,0.2,
page,11,book_en_314_page_11,wordwrap,
paragraph
sentence,book_en_314_page_11_1.m4a,0,
word,0,0.41372,We,en-uk_we.m4a,0.2,
word,0.41372,0.859509,buy,en-uk_buy.m4a,0.2,
word,0.859509,1.63567,books,en-uk_books.m4a,0.2,
word,1.63567,1.8156,with,en-uk_with.m4a,0.2,
word,1.8156,1.98463,the,en-uk_the.m4a,0.2,
word,1.98463,2.44685,money.,en-uk_money.m4a,0.2,
sentence,book_en_314_page_11_2.m4a,3.44685,
word,0,0.381622,I,en-uk_i.m4a,0.2,
word,0.381622,0.614925,like,en-uk_like.m4a,0.2,
word,0.614925,0.842327,to,en-uk_to.m4a,0.2,
word,0.842327,1.33832,read,en-uk_read.m4a,0.2,
word,1.33832,2.08037,books,en-uk_books.m4a,0.2,
word,2.08037,2.56586,about,en-uk_about.m4a,0.2,
word,2.56586,3.35991,cows.,en-uk_cows.m4a,0.2,
