title,Learn About Lions!,book_en_316_page_0_1.m4a,book_en_316_page_0,landscape,audio,
page,1,book_en_316_page_1,wordwrap,
paragraph
sentence,book_en_316_page_1_1.m4a,0,
word,0,1.02855,Lions,en-uk_lions.m4a,0.2,
word,1.02855,1.38421,are,en-uk_are.m4a,0.2,
word,1.38421,1.88939,big,en-uk_big.m4a,0.2,
word,1.88939,2.58077,cats.,en-uk_cats.m4a,0.2,
sentence,book_en_316_page_1_2.m4a,3.58077,
word,0,0.674608,Most,en-uk_most.m4a,0.2,
word,0.674608,1.425,lions,en-uk_lions.m4a,0.2,
word,1.425,2.00917,live,en-uk_live.m4a,0.2,
word,2.00917,2.24962,in,en-uk_in.m4a,0.2,
word,2.24962,2.98939,Africa.,en-uk_africa.m4a,0.2,
page,2,book_en_316_page_2,wordwrap,
paragraph
sentence,book_en_316_page_2_1.m4a,0,
word,0,0.627062,Baby,en-uk_baby.m4a,0.2,
word,0.627062,1.39573,lions,en-uk_lions.m4a,0.2,
word,1.39573,1.63586,are,en-uk_are.m4a,0.2,
word,1.63586,2.13555,called,en-uk_called.m4a,0.2,
word,2.13555,2.71258,cubs.,en-uk_cubs.m4a,0.2,
sentence,book_en_316_page_2_2.m4a,3.71258,
word,0,0.376706,They,en-uk_they.m4a,0.2,
word,0.376706,0.958318,drink,en-uk_drink.m4a,0.2,
word,0.958318,1.16412,their,en-uk_their.m4a,0.2,
word,1.16412,1.685,mother’s,en-uk_mother1s.m4a,0.2,
word,1.685,2.05506,milk.,en-uk_milk.m4a,0.2,
page,3,book_en_316_page_3,wordwrap,
paragraph
sentence,book_en_316_page_3_1.m4a,0,
word,0,0.978606,Lions,en-uk_lions.m4a,0.2,
word,0.978606,1.23526,learn,en-uk_learn.m4a,0.2,
word,1.23526,1.45992,to,en-uk_to.m4a,0.2,
word,1.45992,1.94422,hunt,en-uk_hunt.m4a,0.2,
word,1.94422,2.17748,when,en-uk_when.m4a,0.2,
word,2.17748,2.37776,they,en-uk_they.m4a,0.2,
word,2.37776,2.57757,are,en-uk_are.m4a,0.2,
word,2.57757,3.30063,cubs.,en-uk_cubs.m4a,0.2,
page,4,book_en_316_page_4,wordwrap,
paragraph
sentence,book_en_316_page_4_1.m4a,0,
word,0,0.893129,Listen!,en-uk_listen.m4a,0.2,
sentence,book_en_316_page_4_2.m4a,1.89313,
word,0,0.368135,Can,en-uk_can.m4a,0.2,
word,0.368135,0.5904,you,en-uk_you.m4a,0.2,
word,0.5904,1.15871,hear,en-uk_hear.m4a,0.2,
word,1.15871,1.30512,the,en-uk_the.m4a,0.2,
word,1.30512,1.85207,lion,en-uk_lion.m4a,0.2,
word,1.85207,2.43442,roar?,en-uk_roar.m4a,0.2,
