title,Up and Down,book_en_318_page_0_1.m4a,book_en_318_page_0,landscape,audio,
page,1,book_en_318_page_1,wordwrap,
paragraph
sentence,book_en_318_page_1_1.m4a,0,
word,0,0.933187,Musa,en-uk_musa.m4a,0.2,
word,0.933187,1.41861,climbs,en-uk_climbs.m4a,0.2,
word,1.41861,1.77084,down,en-uk_down.m4a,0.2,
word,1.77084,2.09426,the,en-uk_the.m4a,0.2,
word,2.09426,2.71515,stairs.,en-uk_stairs.m4a,0.2,
page,2,book_en_318_page_2,wordwrap,
paragraph
sentence,book_en_318_page_2_1.m4a,0,
word,0,0.39905,He,en-uk_he.m4a,0.2,
word,0.39905,0.830948,goes,en-uk_goes.m4a,0.2,
word,0.830948,1.02827,to,en-uk_to.m4a,0.2,
word,1.02827,1.25208,the,en-uk_the.m4a,0.2,
word,1.25208,2.08791,playground.,en-uk_playground.m4a,0.2,
sentence,book_en_318_page_2_2.m4a,3.08791,
word,0,0.366625,He,en-uk_he.m4a,0.2,
word,0.366625,0.602743,can,en-uk_can.m4a,0.2,
word,0.602743,1.15204,climb,en-uk_climb.m4a,0.2,
word,1.15204,1.47477,up,en-uk_up.m4a,0.2,
word,1.47477,1.66767,the,en-uk_the.m4a,0.2,
word,1.66767,2.31143,slide!,en-uk_slide.m4a,0.2,
page,3,book_en_318_page_3,wordwrap,
paragraph
sentence,book_en_318_page_3_1.m4a,0,
word,0,1.02574,Musa,en-uk_musa.m4a,0.2,
word,1.02574,1.22787,can,en-uk_can.m4a,0.2,
word,1.22787,1.80224,climb,en-uk_climb.m4a,0.2,
word,1.80224,2.07437,up,en-uk_up.m4a,0.2,
word,2.07437,2.318,the,en-uk_the.m4a,0.2,
word,2.318,3.08501,stairs,en-uk_stairs.m4a,0.2,
word,3.08501,3.24542,to,en-uk_to.m4a,0.2,
word,3.24542,3.41915,their,en-uk_their.m4a,0.2,
word,3.41915,4.04986,house.,en-uk_house.m4a,0.2,
page,4,book_en_318_page_4,wordwrap,
paragraph
sentence,book_en_318_page_4_1.m4a,0,
word,0,0.917332,Musa,en-uk_musa.m4a,0.2,
word,0.917332,1.16693,can,en-uk_can.m4a,0.2,
word,1.16693,1.68404,climb,en-uk_climb.m4a,0.2,
word,1.68404,2.02266,up,en-uk_up.m4a,0.2,
word,2.02266,2.17726,on,en-uk_on.m4a,0.2,
word,2.17726,2.3109,the,en-uk_the.m4a,0.2,
word,2.3109,2.92646,chair,en-uk_chair.m4a,0.2,
word,2.92646,3.06829,to,en-uk_to.m4a,0.2,
word,3.06829,3.32522,get,en-uk_get.m4a,0.2,
word,3.32522,3.55022,his,en-uk_his.m4a,0.2,
word,3.55022,4.15546,car.,en-uk_car.m4a,0.2,
page,5,book_en_318_page_5,wordwrap,
paragraph
sentence,book_en_318_page_5_1.m4a,0,
word,0,0.83396,Musa,en-uk_musa.m4a,0.2,
word,0.83396,1.09217,can,en-uk_can.m4a,0.2,
word,1.09217,1.63363,climb,en-uk_climb.m4a,0.2,
word,1.63363,1.9415,up,en-uk_up.m4a,0.2,
word,1.9415,2.49456,onto,en-uk_onto.m4a,0.2,
word,2.49456,2.65725,the,en-uk_the.m4a,0.2,
word,2.65725,3.28186,table.,en-uk_table.m4a,0.2,
page,6,book_en_318_page_6,wordwrap,
paragraph
sentence,book_en_318_page_6_1.m4a,0,
word,0,0.830208,But,en-uk_but.m4a,0.2,
word,0.830208,1.50497,how,en-uk_how.m4a,0.2,
word,1.50497,1.64843,will,en-uk_will.m4a,0.2,
word,1.64843,1.86072,he,en-uk_he.m4a,0.2,
word,1.86072,2.21238,climb,en-uk_climb.m4a,0.2,
word,2.21238,2.83909,down?,en-uk_down.m4a,0.2,
page,7,book_en_318_page_7,wordwrap,
paragraph
sentence,book_en_318_page_7_1.m4a,0,
word,0,0.425633,His,en-uk_his.m4a,0.2,
word,0.425633,1.36706,father,en-uk_father.m4a,0.2,
word,1.36706,1.84252,finds,en-uk_finds.m4a,0.2,
word,1.84252,2.36285,Musa,en-uk_musa.m4a,0.2,
word,2.36285,2.63441,on,en-uk_on.m4a,0.2,
word,2.63441,2.81981,the,en-uk_the.m4a,0.2,
word,2.81981,3.3851,table.,en-uk_table.m4a,0.2,
sentence,book_en_318_page_7_2.m4a,4.3851,
word,0,0.385809,He,en-uk_he.m4a,0.2,
word,0.385809,0.852517,"says,",en-uk_says.m4a,0.2,
sentence,book_en_318_page_7_3.m4a,6.23762,
word,0,0.417089,“Be,en-uk_be.m4a,0.2,
word,0.417089,1.16005,careful,en-uk_careful.m4a,0.2,
word,1.16005,1.37447,where,en-uk_where.m4a,0.2,
word,1.37447,1.57738,you,en-uk_you.m4a,0.2,
word,1.57738,2.24098,climb.”,en-uk_climb.m4a,0.2,
page,8,book_en_318_page_8,wordwrap,
paragraph
sentence,book_en_318_page_8_1.m4a,0,
word,0,0.976186,Musa,en-uk_musa.m4a,0.2,
word,0.976186,1.4931,slowly,en-uk_slowly.m4a,0.2,
word,1.4931,1.99539,climbs,en-uk_climbs.m4a,0.2,
word,1.99539,2.7201,down,en-uk_down.m4a,0.2,
word,2.7201,2.89085,from,en-uk_from.m4a,0.2,
word,2.89085,3.05799,the,en-uk_the.m4a,0.2,
word,3.05799,3.61719,table.,en-uk_table.m4a,0.2,
page,9,book_en_318_page_9,wordwrap,
paragraph
sentence,book_en_318_page_9_1.m4a,0,
word,0,0.8785,Musa,en-uk_musa.m4a,0.2,
word,0.8785,1.09062,can,en-uk_can.m4a,0.2,
word,1.09062,1.59209,climb,en-uk_climb.m4a,0.2,
word,1.59209,2.50392,up,en-uk_up.m4a,0.2,
word,2.50392,2.89652,and,en-uk_and.m4a,0.2,
word,2.89652,3.55605,down!,en-uk_down.m4a,0.2,
