title,Lost Crocodile,book_en_319_page_0_1.m4a,book_en_319_page_0,landscape,audio,
page,1,book_en_319_page_1,wordwrap,
paragraph
sentence,book_en_319_page_1_1.m4a,0,
word,0,0.286239,A,en-uk_a.m4a,0.2,
word,0.286239,1.18593,crocodile,en-uk_crocodile.m4a,0.2,
word,1.18593,1.36808,and,en-uk_and.m4a,0.2,
word,1.36808,1.56368,her,en-uk_her.m4a,0.2,
word,1.56368,2.29586,children,en-uk_children.m4a,0.2,
word,2.29586,2.47984,were,en-uk_were.m4a,0.2,
word,2.47984,3.17991,playing.,en-uk_playing.m4a,0.2,
page,2,book_en_319_page_2,wordwrap,
paragraph
sentence,book_en_319_page_2_1.m4a,0,
word,0,0.52537,They,en-uk_they.m4a,0.2,
word,0.52537,1.16568,decided,en-uk_decided.m4a,0.2,
word,1.16568,1.40623,to,en-uk_to.m4a,0.2,
word,1.40623,1.82609,swim,en-uk_swim.m4a,0.2,
word,1.82609,2.56383,together.,en-uk_together.m4a,0.2,
page,3,book_en_319_page_3,wordwrap,
paragraph
sentence,book_en_319_page_3_1.m4a,0,
word,0,0.36963,It,en-uk_it.m4a,0.2,
word,0.36963,0.924274,got,en-uk_got.m4a,0.2,
word,0.924274,1.75279,dark.,en-uk_dark.m4a,0.2,
sentence,book_en_319_page_3_2.m4a,2.75279,
word,0,0.374018,But,en-uk_but.m4a,0.2,
word,0.374018,0.872244,one,en-uk_one.m4a,0.2,
word,0.872244,1.55148,child,en-uk_child.m4a,0.2,
word,1.55148,1.90016,swam,en-uk_swam.m4a,0.2,
word,1.90016,2.44208,away,en-uk_away.m4a,0.2,
word,2.44208,2.58996,from,en-uk_from.m4a,0.2,
word,2.58996,2.82649,her,en-uk_her.m4a,0.2,
word,2.82649,3.43091,family.,en-uk_family.m4a,0.2,
page,4,book_en_319_page_4,wordwrap,
paragraph
sentence,book_en_319_page_4_1.m4a,0,
word,0,0.622939,She,en-uk_she.m4a,0.2,
word,0.622939,1.05763,kept,en-uk_kept.m4a,0.2,
word,1.05763,1.64993,swimming,en-uk_swimming.m4a,0.2,
word,1.64993,2.1237,and,en-uk_and.m4a,0.2,
word,2.1237,3.14043,swimming.,en-uk_swimming.m4a,0.2,
page,5,book_en_319_page_5,wordwrap,
paragraph
sentence,book_en_319_page_5_1.m4a,0,
word,0,0.433075,It,en-uk_it.m4a,0.2,
word,0.433075,0.816713,got,en-uk_got.m4a,0.2,
word,0.816713,1.45886,very,en-uk_very.m4a,0.2,
word,1.45886,1.96426,dark.,en-uk_dark.m4a,0.2,
sentence,book_en_319_page_5_2.m4a,2.96426,
word,0,0.458771,She,en-uk_she.m4a,0.2,
word,0.458771,0.92511,lost,en-uk_lost.m4a,0.2,
word,0.92511,1.20052,her,en-uk_her.m4a,0.2,
word,1.20052,1.86796,family.,en-uk_family.m4a,0.2,
page,6,book_en_319_page_6,wordwrap,
paragraph
sentence,book_en_319_page_6_1.m4a,0,
word,0,0.575491,She,en-uk_she.m4a,0.2,
word,0.575491,0.905773,met,en-uk_met.m4a,0.2,
word,0.905773,1.11033,a,en-uk_a.m4a,0.2,
word,1.11033,1.88898,dolphin.,en-uk_dolphin.m4a,0.2,
sentence,book_en_319_page_6_2.m4a,2.88898,
word,0,0.425431,She,en-uk_she.m4a,0.2,
word,0.425431,0.929796,"asked,",en-uk_asked.m4a,0.2,
sentence,book_en_319_page_6_3.m4a,4.81878,
word,0.00110351,0.294471,“Have,en-uk_have.m4a,0.2,
word,0.294471,0.540259,you,en-uk_you.m4a,0.2,
word,0.540259,0.985886,seen,en-uk_seen.m4a,0.2,
word,0.985886,1.23461,my,en-uk_my.m4a,0.2,
word,1.23461,1.86195,family?”,en-uk_family.m4a,0.2,
sentence,book_en_319_page_6_4.m4a,7.68073,
word,0,0.302178,The,en-uk_the.m4a,0.2,
word,0.302178,1.12576,dolphin,en-uk_dolphin.m4a,0.2,
word,1.12576,1.47678,"said,",en-uk_said.m4a,0.2,
sentence,book_en_319_page_6_5.m4a,10.1575,
word,0,0.611723,“No.”,en-uk_no.m4a,0.2,
page,7,book_en_319_page_7,wordwrap,
paragraph
sentence,book_en_319_page_7_1.m4a,0,
word,0,0.41744,She,en-uk_she.m4a,0.2,
word,0.41744,0.739333,met,en-uk_met.m4a,0.2,
word,0.739333,0.97422,a,en-uk_a.m4a,0.2,
word,0.97422,1.65599,snail.,en-uk_snail.m4a,0.2,
sentence,book_en_319_page_7_2.m4a,2.65599,
word,0,0.37537,She,en-uk_she.m4a,0.2,
word,0.37537,0.993946,"asked,",en-uk_asked.m4a,0.2,
sentence,book_en_319_page_7_3.m4a,4.64993,
word,0,0.281457,“Have,en-uk_have.m4a,0.2,
word,0.281457,0.649145,you,en-uk_you.m4a,0.2,
word,0.649145,0.97346,seen,en-uk_seen.m4a,0.2,
word,0.97346,1.2097,my,en-uk_my.m4a,0.2,
word,1.2097,1.87898,family?”,en-uk_family.m4a,0.2,
sentence,book_en_319_page_7_4.m4a,7.52891,
word,0,0.342543,The,en-uk_the.m4a,0.2,
word,0.342543,0.890674,snail,en-uk_snail.m4a,0.2,
word,0.890674,1.23596,"said,",en-uk_said.m4a,0.2,
sentence,book_en_319_page_7_5.m4a,9.76488,
word,0,0.62059,“No.”,en-uk_no.m4a,0.2,
page,8,book_en_319_page_8,wordwrap,
paragraph
sentence,book_en_319_page_8_1.m4a,0,
word,0,0.770229,Then,en-uk_then.m4a,0.2,
word,0.770229,1.26706,she,en-uk_she.m4a,0.2,
word,1.26706,1.52483,heard,en-uk_heard.m4a,0.2,
word,1.52483,1.73211,a,en-uk_a.m4a,0.2,
word,1.73211,2.39583,noise.,en-uk_noise.m4a,0.2,
page,9,book_en_319_page_9,wordwrap,
paragraph
sentence,book_en_319_page_9_1.m4a,0,
word,0,0.418457,She,en-uk_she.m4a,0.2,
word,0.418457,1.06767,found,en-uk_found.m4a,0.2,
word,1.06767,1.29531,her,en-uk_her.m4a,0.2,
word,1.29531,2.0515,family!,en-uk_family.m4a,0.2,
page,10,book_en_319_page_10,wordwrap,
paragraph
sentence,book_en_319_page_10_1.m4a,0,
word,0,0.468722,She,en-uk_she.m4a,0.2,
word,0.468722,0.876119,sat,en-uk_sat.m4a,0.2,
word,0.876119,1.12576,on,en-uk_on.m4a,0.2,
word,1.12576,1.37831,her,en-uk_her.m4a,0.2,
word,1.37831,1.88778,mom.,en-uk_mom.m4a,0.2,
sentence,book_en_319_page_10_2.m4a,2.88778,
word,0,0.52743,She,en-uk_she.m4a,0.2,
word,0.52743,1.16308,likes,en-uk_likes.m4a,0.2,
word,1.16308,1.38018,her,en-uk_her.m4a,0.2,
word,1.38018,1.83655,mom’s,en-uk_mom1s.m4a,0.2,
word,1.83655,2.55905,nose.,en-uk_nose.m4a,0.2,
page,11,book_en_319_page_11,wordwrap,
paragraph
sentence,book_en_319_page_11_1.m4a,0,
word,0,0.286213,She,en-uk_she.m4a,0.2,
word,0.286213,0.568589,was,en-uk_was.m4a,0.2,
word,0.568589,1.32421,happy,en-uk_happy.m4a,0.2,
word,1.32421,1.5687,to,en-uk_to.m4a,0.2,
word,1.5687,1.9416,find,en-uk_find.m4a,0.2,
word,1.9416,2.32574,her,en-uk_her.m4a,0.2,
word,2.32574,3.00193,family.,en-uk_family.m4a,0.2,
