title,Come Fishing,book_en_320_page_0_1.m4a,book_en_320_page_0,portrait,audio,
page,1,book_en_320_page_1,wordwrap,
paragraph
sentence,book_en_320_page_1_1.m4a,0,
word,0,0.985612,Vishal,en-uk_simon.m4a,0.2,
word,0.985612,1.24246,and,en-uk_and.m4a,0.2,
word,1.24246,2.0593,Piyush,en-uk_george.m4a,0.2,
word,2.0593,2.54416,like,en-uk_like.m4a,0.2,
word,2.54416,2.76816,to,en-uk_to.m4a,0.2,
word,2.76816,3.36061,fish.,en-uk_fish.m4a,0.2,
sentence,book_en_320_page_1_2.m4a,4.36061,
word,0,0.311767,They,en-uk_they.m4a,0.2,
word,0.311767,0.921902,walk,en-uk_walk.m4a,0.2,
word,0.921902,1.05271,to,en-uk_to.m4a,0.2,
word,1.05271,1.21338,the,en-uk_the.m4a,0.2,
word,1.21338,1.80964,pond.,en-uk_pond.m4a,0.2,
page,2,book_en_320_page_2,wordwrap,
paragraph
sentence,book_en_320_page_2_1.m4a,0,
word,0.0787286,0.701328,Vishal,en-uk_simon.m4a,0.2,
word,0.701328,1.25025,"says,",en-uk_says.m4a,0.2,
sentence,book_en_320_page_2_2.m4a,2.25025,
word,0,0.427489,“Come,en-uk_come.m4a,0.2,
word,0.427489,1.1446,"fishing,",en-uk_fishing.m4a,0.2,
word,1.1446,1.5119,Shreya.”,en-uk_ruth.m4a,0.2,
page,3,book_en_320_page_3,wordwrap,
paragraph
sentence,book_en_320_page_3_1.m4a,0,
word,0,0.867136,Shreya,en-uk_ruth.m4a,0.2,
word,0.867136,1.1076,does,en-uk_does.m4a,0.2,
word,1.1076,1.41325,not,en-uk_not.m4a,0.2,
word,1.41325,1.79061,want,en-uk_want.m4a,0.2,
word,1.79061,2.00228,to,en-uk_to.m4a,0.2,
word,2.00228,2.70621,fish.,en-uk_fish.m4a,0.2,
page,4,book_en_320_page_4,wordwrap,
paragraph
sentence,book_en_320_page_4_1.m4a,0,
word,0,0.426112,She,en-uk_she.m4a,0.2,
word,0.426112,0.894478,tries,en-uk_tries.m4a,0.2,
word,0.894478,1.14295,to,en-uk_to.m4a,0.2,
word,1.14295,1.56843,stop,en-uk_stop.m4a,0.2,
word,1.56843,1.76852,the,en-uk_the.m4a,0.2,
word,1.76852,2.41261,boys.,en-uk_boys.m4a,0.2,
sentence,book_en_320_page_4_2.m4a,3.41261,
word,0,0.491988,She,en-uk_she.m4a,0.2,
word,0.491988,0.843881,doesn’t,en-uk_doesn1t.m4a,0.2,
word,0.843881,1.23877,want,en-uk_want.m4a,0.2,
word,1.23877,1.49258,them,en-uk_them.m4a,0.2,
word,1.49258,1.82225,to,en-uk_to.m4a,0.2,
word,1.82225,2.21624,hurt,en-uk_hurt.m4a,0.2,
word,2.21624,2.40273,the,en-uk_the.m4a,0.2,
word,2.40273,3.04884,fish.,en-uk_fish.m4a,0.2,
page,5,book_en_320_page_5,wordwrap,
paragraph
sentence,book_en_320_page_5_1.m4a,0,
word,0,0.692179,Shreya,en-uk_ruth.m4a,0.2,
word,0.692179,1.76772,worries,en-uk_worries.m4a,0.2,
word,1.76772,2.14465,about,en-uk_about.m4a,0.2,
word,2.14465,2.32629,the,en-uk_the.m4a,0.2,
word,2.32629,2.91977,fish.,en-uk_fish.m4a,0.2,
sentence,book_en_320_page_5_2.m4a,3.91977,
word,0,0.336235,Will,en-uk_will.m4a,0.2,
word,0.336235,0.517843,the,en-uk_the.m4a,0.2,
word,0.517843,1.10979,boys,en-uk_boys.m4a,0.2,
word,1.10979,1.50805,catch,en-uk_catch.m4a,0.2,
word,1.50805,1.82456,them?,en-uk_them.m4a,0.2,
page,6,book_en_320_page_6,wordwrap,
paragraph
sentence,book_en_320_page_6_1.m4a,0,
word,0,1.00944,Vishal,en-uk_simon.m4a,0.2,
word,1.00944,1.45443,feels,en-uk_feels.m4a,0.2,
word,1.45443,1.73734,a,en-uk_a.m4a,0.2,
word,1.73734,2.22531,tug.,en-uk_tug.m4a,0.2,
sentence,book_en_320_page_6_2.m4a,3.22531,
word,0,0.787318,Piyush,en-uk_george.m4a,0.2,
word,0.787318,1.33596,feels,en-uk_feels.m4a,0.2,
word,1.33596,1.5883,a,en-uk_a.m4a,0.2,
word,1.5883,2.00449,"tug,",en-uk_tug.m4a,0.2,
word,2.00449,2.49413,too.,en-uk_too.m4a,0.2,
page,7,book_en_320_page_7,wordwrap,
paragraph
sentence,book_en_320_page_7_1.m4a,0,
word,0,0.334659,They,en-uk_they.m4a,0.2,
word,0.334659,0.850638,try,en-uk_try.m4a,0.2,
word,0.850638,1.06022,to,en-uk_to.m4a,0.2,
word,1.06022,1.51874,land,en-uk_land.m4a,0.2,
word,1.51874,1.85088,the,en-uk_the.m4a,0.2,
word,1.85088,2.41946,fish.,en-uk_fish.m4a,0.2,
page,8,book_en_320_page_8,wordwrap,
paragraph
sentence,book_en_320_page_8_1.m4a,0,
word,0,0.310541,The,en-uk_the.m4a,0.2,
word,0.310541,0.82787,fishing,en-uk_fishing.m4a,0.2,
word,0.82787,1.29414,rods,en-uk_rods.m4a,0.2,
word,1.29414,2.12007,break.,en-uk_break.m4a,0.2,
page,9,book_en_320_page_9,wordwrap,
paragraph
sentence,book_en_320_page_9_1.m4a,0,
word,0,0.273832,The,en-uk_the.m4a,0.2,
word,0.273832,1.08419,fish,en-uk_fish.m4a,0.2,
word,1.08419,1.47589,tricked,en-uk_tricked.m4a,0.2,
word,1.47589,1.734,the,en-uk_the.m4a,0.2,
word,1.734,2.41871,boys!,en-uk_boys.m4a,0.2,
