title,Some Fruits Grow on Trees,book_en_321_page_0_1.m4a,book_en_321_page_0,portrait,audio,
page,1,book_en_321_page_1,wordwrap,
paragraph
sentence,book_en_321_page_1_1.m4a,0,
word,0,0.686305,Some,en-uk_some.m4a,0.2,
word,0.686305,1.4622,fruit,en-uk_fruit.m4a,0.2,
word,1.4622,1.87915,grow,en-uk_grow.m4a,0.2,
word,1.87915,2.18793,on,en-uk_on.m4a,0.2,
word,2.18793,2.97864,trees.,en-uk_trees.m4a,0.2,
sentence,book_en_321_page_1_2.m4a,3.97864,
word,0,1.13877,Oranges,en-uk_oranges.m4a,0.2,
word,1.13877,1.63756,grow,en-uk_grow.m4a,0.2,
word,1.63756,2.04075,on,en-uk_on.m4a,0.2,
word,2.04075,2.69778,trees.,en-uk_trees.m4a,0.2,
page,2,book_en_321_page_2,wordwrap,
paragraph
sentence,book_en_321_page_2_1.m4a,0,
word,0,1.16779,Oranges,en-uk_oranges.m4a,0.2,
word,1.16779,1.96805,ripen,en-uk_ripen.m4a,0.2,
word,1.96805,2.18989,in,en-uk_in.m4a,0.2,
word,2.18989,2.38454,the,en-uk_the.m4a,0.2,
word,2.38454,3.00825,winter.,en-uk_winter.m4a,0.2,
page,3,book_en_321_page_3,wordwrap,
paragraph
sentence,book_en_321_page_3_1.m4a,0,
word,0,1.27099,Pomegranates,en-uk_pomegranates.m4a,0.2,
word,1.27099,1.57299,are,en-uk_are.m4a,0.2,
word,1.57299,2.09617,red.,en-uk_red.m4a,0.2,
sentence,book_en_321_page_3_2.m4a,3.09617,
word,0,0.3684,They,en-uk_they.m4a,0.2,
word,0.3684,0.615819,are,en-uk_are.m4a,0.2,
word,0.615819,1.07479,full,en-uk_full.m4a,0.2,
word,1.07479,1.37917,of,en-uk_of.m4a,0.2,
word,1.37917,1.97521,seeds,en-uk_seeds.m4a,0.2,
word,1.97521,2.20121,that,en-uk_that.m4a,0.2,
word,2.20121,2.88573,taste,en-uk_taste.m4a,0.2,
word,2.88573,3.7188,sweet.,en-uk_sweet.m4a,0.2,
page,4,book_en_321_page_4,wordwrap,
paragraph
sentence,book_en_321_page_4_1.m4a,0,
word,0,1.10815,Papayas,en-uk_papayas.m4a,0.2,
word,1.10815,1.37811,are,en-uk_are.m4a,0.2,
word,1.37811,2.07692,also,en-uk_also.m4a,0.2,
word,2.07692,2.41146,filled,en-uk_filled.m4a,0.2,
word,2.41146,2.63311,with,en-uk_with.m4a,0.2,
word,2.63311,3.33299,seeds.,en-uk_seeds.m4a,0.2,
page,5,book_en_321_page_5,wordwrap,
paragraph
sentence,book_en_321_page_5_1.m4a,0,
word,0,1.23627,Jackfruits,en-uk_jackfruits.m4a,0.2,
word,1.23627,1.6864,have,en-uk_have.m4a,0.2,
word,1.6864,2.40366,prickly,en-uk_prickly.m4a,0.2,
word,2.40366,3.09651,skin.,en-uk_skin.m4a,0.2,
page,6,book_en_321_page_6,wordwrap,
paragraph
sentence,book_en_321_page_6_1.m4a,0,
word,0,1.2029,Bananas,en-uk_bananas.m4a,0.2,
word,1.2029,1.71271,grow,en-uk_grow.m4a,0.2,
word,1.71271,2.08776,in,en-uk_in.m4a,0.2,
word,2.08776,3.02433,bunches!,en-uk_bunches.m4a,0.2,
page,7,book_en_321_page_7,wordwrap,
paragraph
sentence,book_en_321_page_7_1.m4a,0,
word,0,1.12466,Guavas,en-uk_guavas.m4a,0.2,
word,1.12466,1.47712,are,en-uk_are.m4a,0.2,
word,1.47712,2.26764,green.,en-uk_green.m4a,0.2,
sentence,book_en_321_page_7_2.m4a,3.26764,
word,0,0.702493,Some,en-uk_some.m4a,0.2,
word,0.702493,1.44355,guavas,en-uk_guavas.m4a,0.2,
word,1.44355,1.75886,are,en-uk_are.m4a,0.2,
word,1.75886,2.25224,pink,en-uk_pink.m4a,0.2,
word,2.25224,2.96211,too.,en-uk_too.m4a,0.2,
page,8,book_en_321_page_8,wordwrap,
paragraph
sentence,book_en_321_page_8_1.m4a,0,
word,0,1.05095,Coconuts,en-uk_coconuts.m4a,0.2,
word,1.05095,1.40906,have,en-uk_have.m4a,0.2,
word,1.40906,1.63997,a,en-uk_a.m4a,0.2,
word,1.63997,2.1421,green,en-uk_green.m4a,0.2,
word,2.1421,3.03372,shell,en-uk_shell.m4a,0.2,
word,3.03372,3.19524,that,en-uk_that.m4a,0.2,
word,3.19524,3.37898,is,en-uk_is.m4a,0.2,
word,3.37898,3.7738,hard,en-uk_hard.m4a,0.2,
word,3.7738,3.9952,to,en-uk_to.m4a,0.2,
word,3.9952,4.43819,break!,en-uk_break.m4a,0.2,
page,9,book_en_321_page_9,wordwrap,
paragraph
sentence,book_en_321_page_9_1.m4a,0,
word,0,1.18427,Mangoes,en-uk_mangoes.m4a,0.2,
word,1.18427,1.38955,can,en-uk_can.m4a,0.2,
word,1.38955,1.58634,be,en-uk_be.m4a,0.2,
word,1.58634,2.53421,"orange,",en-uk_orange.m4a,0.2,
word,2.53421,3.65083,"yellow,",en-uk_yellow.m4a,0.2,
word,3.65083,4.88415,"red,",en-uk_red.m4a,0.2,
word,4.88415,5.1508,or,en-uk_or.m4a,0.2,
word,5.1508,5.90007,green!,en-uk_green.m4a,0.2,
