title,Big Elephant and Small Rabbit,book_en_323_page_0_1.m4a,book_en_323_page_0,landscape,audio,
page,1,book_en_323_page_1,wordwrap,
paragraph
sentence,book_en_323_page_1_1.m4a,0,
word,0,1.09251,Elephant,en-uk_elephant.m4a,0.2,
word,1.09251,1.29406,and,en-uk_and.m4a,0.2,
word,1.29406,2.03672,Rabbit,en-uk_rabbit.m4a,0.2,
word,2.03672,2.24296,were,en-uk_were.m4a,0.2,
word,2.24296,2.80658,best,en-uk_best.m4a,0.2,
word,2.80658,3.58896,friends.,en-uk_friends.m4a,0.2,
sentence,book_en_323_page_1_2.m4a,4.58896,
word,0,0.467763,They,en-uk_they.m4a,0.2,
word,0.467763,1.05913,loved,en-uk_loved.m4a,0.2,
word,1.05913,1.33423,to,en-uk_to.m4a,0.2,
word,1.33423,1.79429,play,en-uk_play.m4a,0.2,
word,1.79429,2.47753,together.,en-uk_together.m4a,0.2,
page,2,book_en_323_page_2,wordwrap,
paragraph
sentence,book_en_323_page_2_1.m4a,0,
word,0,0.486425,One,en-uk_one.m4a,0.2,
word,0.486425,1.28251,"day,",en-uk_day.m4a,0.2,
word,1.28251,1.68272,Rabbit,en-uk_rabbit.m4a,0.2,
word,1.68272,2.06587,"said,",en-uk_said.m4a,0.2,
sentence,book_en_323_page_2_2.m4a,3.06587,
word,0,0.75362,“Let’s,en-uk_let1s.m4a,0.2,
word,0.75362,1.23537,play,en-uk_play.m4a,0.2,
word,1.23537,1.42784,a,en-uk_a.m4a,0.2,
word,1.42784,2.07592,game.,en-uk_game.m4a,0.2,
sentence,book_en_323_page_2_3.m4a,6.14179,
word,0,0.384468,I,en-uk_i.m4a,0.2,
word,0.384468,0.657545,will,en-uk_will.m4a,0.2,
word,0.657545,1.43309,jump,en-uk_jump.m4a,0.2,
word,1.43309,1.7618,on,en-uk_on.m4a,0.2,
word,1.7618,1.99902,your,en-uk_your.m4a,0.2,
word,1.99902,2.50549,back!”,en-uk_back.m4a,0.2,
page,3,book_en_323_page_3,wordwrap,
paragraph
sentence,book_en_323_page_3_1.m4a,0,
word,0,0.873509,Rabbit,en-uk_rabbit.m4a,0.2,
word,0.873509,1.25903,jumped,en-uk_jumped.m4a,0.2,
word,1.25903,2.00134,high,en-uk_high.m4a,0.2,
word,2.00134,2.38265,onto,en-uk_onto.m4a,0.2,
word,2.38265,3.06861,elephant’s,en-uk_elephant1s.m4a,0.2,
word,3.06861,3.5678,back.,en-uk_back.m4a,0.2,
sentence,book_en_323_page_3_2.m4a,4.5678,
word,0,0.475649,“That,en-uk_that.m4a,0.2,
word,0.475649,0.701158,was,en-uk_was.m4a,0.2,
word,0.701158,1.40016,fun!”,en-uk_fun.m4a,0.2,
sentence,book_en_323_page_3_3.m4a,6.96796,
word,0,0.500438,said,en-uk_said.m4a,0.2,
word,0.500438,1.01435,Rabbit.,en-uk_rabbit.m4a,0.2,
page,4,book_en_323_page_4,wordwrap,
paragraph
sentence,book_en_323_page_4_1.m4a,0,
word,0,0.658228,“Now,en-uk_now.m4a,0.2,
word,0.658228,0.87704,it,en-uk_it.m4a,0.2,
word,0.87704,1.14878,is,en-uk_is.m4a,0.2,
word,1.14878,1.83502,my,en-uk_my.m4a,0.2,
word,1.83502,2.42279,turn!”,en-uk_turn.m4a,0.2,
sentence,book_en_323_page_4_2.m4a,3.42279,
word,0,0.614564,said,en-uk_said.m4a,0.2,
word,0.614564,1.18651,Elephant.,en-uk_elephant.m4a,0.2,
sentence,book_en_323_page_4_3.m4a,5.6093,
word,0,0.350175,“I,en-uk_i.m4a,0.2,
word,0.350175,0.629284,will,en-uk_will.m4a,0.2,
word,0.629284,1.15899,jump,en-uk_jump.m4a,0.2,
word,1.15899,1.36831,on,en-uk_on.m4a,0.2,
