title,Can We Be Friends?,book_en_324_page_0_1.m4a,book_en_324_page_0,portrait,audio,
page,1,book_en_324_page_1,wordwrap,
paragraph
sentence,book_en_324_page_1_1.m4a,0,
word,0,0.341886,I,en-uk_i.m4a,0.2,
word,0.341886,0.625409,am,en-uk_am.m4a,0.2,
word,0.625409,1.2742,all,en-uk_all.m4a,0.2,
word,1.2742,2.12483,alone.,en-uk_alone.m4a,0.2,
page,2,book_en_324_page_2,wordwrap,
paragraph
sentence,book_en_324_page_2_1.m4a,0,
word,0,0.463283,Why,en-uk_why.m4a,0.2,
word,0.463283,0.763639,am,en-uk_am.m4a,0.2,
word,0.763639,1.12212,I,en-uk_i.m4a,0.2,
word,1.12212,1.91193,alone?,en-uk_alone.m4a,0.2,
page,3,book_en_324_page_3,wordwrap,
paragraph
sentence,book_en_324_page_3_1.m4a,0,
word,0,0.45909,Can,en-uk_can.m4a,0.2,
word,0.45909,1.08439,anyone,en-uk_anyone.m4a,0.2,
word,1.08439,1.45977,hear,en-uk_hear.m4a,0.2,
word,1.45977,1.75492,me?,en-uk_me.m4a,0.2,
page,4,book_en_324_page_4,wordwrap,
paragraph
sentence,book_en_324_page_4_1.m4a,0,
word,0,0.530019,I,en-uk_i.m4a,0.2,
word,0.530019,0.917111,don't,en-uk_don1t.m4a,0.2,
word,0.917111,1.60309,care,en-uk_care.m4a,0.2,
word,1.60309,1.73941,if,en-uk_if.m4a,0.2,
word,1.73941,1.91845,you,en-uk_you.m4a,0.2,
word,1.91845,2.15785,are,en-uk_are.m4a,0.2,
word,2.15785,2.61209,big,en-uk_big.m4a,0.2,
word,2.61209,3.02105,or,en-uk_or.m4a,0.2,
word,3.02105,3.66469,small.,en-uk_small.m4a,0.2,
sentence,book_en_324_page_4_2.m4a,4.66469,
word,0,0.366717,I,en-uk_i.m4a,0.2,
word,0.366717,0.641465,want,en-uk_want.m4a,0.2,
word,0.641465,0.889348,to,en-uk_to.m4a,0.2,
word,0.889348,1.14193,be,en-uk_be.m4a,0.2,
word,1.14193,1.3998,your,en-uk_your.m4a,0.2,
word,1.3998,1.97009,friend.,en-uk_friend.m4a,0.2,
page,5,book_en_324_page_5,wordwrap,
paragraph
sentence,book_en_324_page_5_1.m4a,0,
word,0,0.292036,I,en-uk_i.m4a,0.2,
word,0.292036,1.02644,hear,en-uk_hear.m4a,0.2,
word,1.02644,1.24781,the,en-uk_the.m4a,0.2,
word,1.24781,1.69344,other,en-uk_other.m4a,0.2,
word,1.69344,2.42793,animals,en-uk_animals.m4a,0.2,
word,2.42793,2.98508,laugh.,en-uk_laugh.m4a,0.2,
page,6,book_en_324_page_6,wordwrap,
paragraph
sentence,book_en_324_page_6_1.m4a,0,
word,0,0.300374,I,en-uk_i.m4a,0.2,
word,0.300374,0.893918,call,en-uk_call.m4a,0.2,
word,0.893918,1.15911,to,en-uk_to.m4a,0.2,
word,1.15911,1.34397,the,en-uk_the.m4a,0.2,
word,1.34397,1.69923,other,en-uk_other.m4a,0.2,
word,1.69923,2.59726,animals.,en-uk_animals.m4a,0.2,
page,7,book_en_324_page_7,wordwrap,
paragraph
sentence,book_en_324_page_7_1.m4a,0,
word,0,0.410834,“Let,en-uk_let.m4a,0.2,
word,0.410834,0.725747,us,en-uk_us.m4a,0.2,
word,0.725747,1.18532,play,en-uk_play.m4a,0.2,
word,1.18532,1.82304,"together,”",en-uk_together.m4a,0.2,
sentence,book_en_324_page_7_2.m4a,2.82304,
word,0,0.400714,I,en-uk_i.m4a,0.2,
word,0.400714,0.853878,say.,en-uk_say.m4a,0.2,
page,8,book_en_324_page_8,wordwrap,
paragraph
sentence,book_en_324_page_8_1.m4a,0,
word,0,0.317185,I,en-uk_i.m4a,0.2,
word,0.317185,0.693395,do,en-uk_do.m4a,0.2,
word,0.693395,0.952281,not,en-uk_not.m4a,0.2,
word,0.952281,1.51899,want,en-uk_want.m4a,0.2,
word,1.51899,1.85125,to,en-uk_to.m4a,0.2,
word,1.85125,2.10977,eat,en-uk_eat.m4a,0.2,
word,2.10977,2.72712,alone.,en-uk_alone.m4a,0.2,
page,9,book_en_324_page_9,wordwrap,
paragraph
sentence,book_en_324_page_9_1.m4a,0,
word,0,0.311655,I,en-uk_i.m4a,0.2,
word,0.311655,0.602928,do,en-uk_do.m4a,0.2,
word,0.602928,0.84631,not,en-uk_not.m4a,0.2,
word,0.84631,1.23826,want,en-uk_want.m4a,0.2,
word,1.23826,1.61384,to,en-uk_to.m4a,0.2,
word,1.61384,2.12084,play,en-uk_play.m4a,0.2,
word,2.12084,2.75701,alone.,en-uk_alone.m4a,0.2,
page,10,book_en_324_page_10,wordwrap,
paragraph
sentence,book_en_324_page_10_1.m4a,0,
word,0,0.333561,I,en-uk_i.m4a,0.2,
word,0.333561,0.625667,look,en-uk_look.m4a,0.2,
word,0.625667,0.90597,for,en-uk_for.m4a,0.2,
word,0.90597,1.80084,friends,en-uk_friends.m4a,0.2,
word,1.80084,2.75401,everywhere.,en-uk_everywhere.m4a,0.2,
page,11,book_en_324_page_11,wordwrap,
paragraph
sentence,book_en_324_page_11_1.m4a,0,
word,0,0.358134,Will,en-uk_will.m4a,0.2,
word,0.358134,0.816533,you,en-uk_you.m4a,0.2,
word,0.816533,1.03842,be,en-uk_be.m4a,0.2,
word,1.03842,1.28443,my,en-uk_my.m4a,0.2,
word,1.28443,1.90689,friends?,en-uk_friends.m4a,0.2,
page,12,book_en_324_page_12,wordwrap,
paragraph
sentence,book_en_324_page_12_1.m4a,0,
word,0,0.458181,I,en-uk_i.m4a,0.2,
word,0.458181,0.749996,do,en-uk_do.m4a,0.2,
word,0.749996,1.03346,not,en-uk_not.m4a,0.2,
word,1.03346,1.55037,want,en-uk_want.m4a,0.2,
word,1.55037,1.85981,to,en-uk_to.m4a,0.2,
word,1.85981,2.20062,be,en-uk_be.m4a,0.2,
word,2.20062,3.02163,alone.,en-uk_alone.m4a,0.2,
page,13,book_en_324_page_13,wordwrap,
paragraph
sentence,book_en_324_page_13_1.m4a,0,
word,0,0.298719,It,en-uk_it.m4a,0.2,
word,0.298719,0.55392,is,en-uk_is.m4a,0.2,
word,0.55392,0.957772,more,en-uk_more.m4a,0.2,
word,0.957772,1.66027,fun,en-uk_fun.m4a,0.2,
word,1.66027,1.86805,with,en-uk_with.m4a,0.2,
word,1.86805,2.68113,friends.,en-uk_friends.m4a,0.2,
sentence,book_en_324_page_13_2.m4a,3.68113,
word,0,0.369676,Thank,en-uk_thank.m4a,0.2,
word,0.369676,0.902501,you,en-uk_you.m4a,0.2,
word,0.902501,1.16249,for,en-uk_for.m4a,0.2,
word,1.16249,1.61515,being,en-uk_being.m4a,0.2,
word,1.61515,2.0113,my,en-uk_my.m4a,0.2,
word,2.0113,2.83168,friend!,en-uk_friend.m4a,0.2,
