title,Little Painters,book_en_325_page_0_1.m4a,book_en_325_page_0,portrait,audio,
page,1,book_en_325_page_1,wordwrap,
paragraph
sentence,book_en_325_page_1_1.m4a,0,
word,0,0.909591,Sister,en-uk_sister.m4a,0.2,
word,0.909591,1.22823,and,en-uk_and.m4a,0.2,
word,1.22823,1.99447,brother,en-uk_brother.m4a,0.2,
word,1.99447,2.42878,find,en-uk_find.m4a,0.2,
word,2.42878,2.76054,some,en-uk_some.m4a,0.2,
word,2.76054,3.32454,paint.,en-uk_paint.m4a,0.2,
page,2,book_en_325_page_2,wordwrap,
paragraph
sentence,book_en_325_page_2_1.m4a,0,
word,0,0.697563,Green,en-uk_green.m4a,0.2,
word,0.697563,1.18882,paint.,en-uk_paint.m4a,0.2,
sentence,book_en_325_page_2_2.m4a,2.18882,
word,0,0.669929,Blue,en-uk_blue.m4a,0.2,
word,0.669929,1.1739,paint.,en-uk_paint.m4a,0.2,
sentence,book_en_325_page_2_3.m4a,4.36272,
word,0,0.819895,Yellow,en-uk_yellow.m4a,0.2,
word,0.819895,1.41585,paint.,en-uk_paint.m4a,0.2,
sentence,book_en_325_page_2_4.m4a,6.77857,
word,0,0.789325,Red,en-uk_red.m4a,0.2,
word,0.789325,1.44571,paint.,en-uk_paint.m4a,0.2,
page,3,book_en_325_page_3,wordwrap,
paragraph
sentence,book_en_325_page_3_1.m4a,0,
word,0,0.609657,Dad,en-uk_dad.m4a,0.2,
word,0.609657,0.871365,and,en-uk_and.m4a,0.2,
word,0.871365,1.567,uncle,en-uk_uncle.m4a,0.2,
word,1.567,1.95015,paint,en-uk_paint.m4a,0.2,
word,1.95015,2.18607,the,en-uk_the.m4a,0.2,
word,2.18607,2.76571,house.,en-uk_house.m4a,0.2,
page,4,book_en_325_page_4,wordwrap,
paragraph
sentence,book_en_325_page_4_1.m4a,0,
word,0,1.00183,Sister,en-uk_sister.m4a,0.2,
word,1.00183,1.5266,asks,en-uk_asks.m4a,0.2,
word,1.5266,1.74493,to,en-uk_to.m4a,0.2,
word,1.74493,2.0302,help.,en-uk_help.m4a,0.2,
page,5,book_en_325_page_5,wordwrap,
paragraph
sentence,book_en_325_page_5_1.m4a,0,
word,0,0.459064,Dad,en-uk_dad.m4a,0.2,
word,0.459064,1.09054,says,en-uk_says.m4a,0.2,
word,1.09054,1.26317,to,en-uk_to.m4a,0.2,
word,1.26317,1.59365,paint,en-uk_paint.m4a,0.2,
word,1.59365,1.81586,the,en-uk_the.m4a,0.2,
word,1.81586,2.32698,gate.,en-uk_gate.m4a,0.2,
page,6,book_en_325_page_6,wordwrap,
paragraph
sentence,book_en_325_page_6_1.m4a,0,
word,0,0.42038,Paint,en-uk_paint.m4a,0.2,
word,0.42038,1.12761,it,en-uk_it.m4a,0.2,
word,1.12761,1.90562,green.,en-uk_green.m4a,0.2,
sentence,book_en_325_page_6_2.m4a,2.90562,
word,0,0.465698,Paint,en-uk_paint.m4a,0.2,
word,0.465698,1.19939,it,en-uk_it.m4a,0.2,
word,1.19939,1.85385,red.,en-uk_red.m4a,0.2,
page,7,book_en_325_page_7,wordwrap,
paragraph
sentence,book_en_325_page_7_1.m4a,0,
word,0,0.542203,Time,en-uk_time.m4a,0.2,
word,0.542203,0.942151,to,en-uk_to.m4a,0.2,
word,0.942151,1.34732,clean,en-uk_clean.m4a,0.2,
word,1.34732,1.66889,up!,en-uk_up.m4a,0.2,
page,8,book_en_325_page_8,wordwrap,
paragraph
sentence,book_en_325_page_8_1.m4a,0,
word,0,0.515191,Wash,en-uk_wash.m4a,0.2,
word,0.515191,0.771943,your,en-uk_your.m4a,0.2,
word,0.771943,1.6259,hands.,en-uk_hands.m4a,0.2,
sentence,book_en_325_page_8_2.m4a,2.6259,
word,0,0.497629,Wash,en-uk_wash.m4a,0.2,
word,0.497629,1.06455,your,en-uk_your.m4a,0.2,
word,1.06455,1.71621,face.,en-uk_face.m4a,0.2,
page,9,book_en_325_page_9.png,wordwrap,
paragraph
sentence,book_en_325_page_9_1.m4a,0,
word,0,0.718866,Sister,en-uk_sister.m4a,0.2,
word,0.718866,1.32417,says,en-uk_says.m4a,0.2,
word,1.32417,1.47833,the,en-uk_the.m4a,0.2,
word,1.47833,1.76927,gate,en-uk_gate.m4a,0.2,
word,1.76927,2.105,is,en-uk_is.m4a,0.2,
word,2.105,3.03671,red!,en-uk_red.m4a,0.2,
page,10,book_en_325_page_10,wordwrap,
paragraph
sentence,book_en_325_page_10_1.m4a,0,
word,0,0.590981,Brother,en-uk_brother.m4a,0.2,
word,0.590981,1.2354,says,en-uk_says.m4a,0.2,
word,1.2354,1.44941,the,en-uk_the.m4a,0.2,
word,1.44941,1.8838,gate,en-uk_gate.m4a,0.2,
word,1.8838,2.32414,is,en-uk_is.m4a,0.2,
word,2.32414,3.16145,green!,en-uk_green.m4a,0.2,
page,11,book_en_325_page_11,wordwrap,
paragraph
sentence,book_en_325_page_11_1.m4a,0,
word,0,0.666701,Mother,en-uk_mother.m4a,0.2,
word,0.666701,1.32603,says,en-uk_says.m4a,0.2,
word,1.32603,1.48578,the,en-uk_the.m4a,0.2,
word,1.48578,1.82642,gate,en-uk_gate.m4a,0.2,
word,1.82642,2.41813,is,en-uk_is.m4a,0.2,
word,2.41813,2.81895,red,en-uk_red.m4a,0.2,
word,2.81895,3.49229,and,en-uk_and.m4a,0.2,
word,3.49229,4.30558,green!,en-uk_green.m4a,0.2,
sentence,book_en_325_page_11_2.m4a,5.30558,
word,0,0.690754,Good,en-uk_good.m4a,0.2,
word,0.690754,1.42635,"painting,",en-uk_painting.m4a,0.2,
word,1.42635,1.94458,children!,en-uk_children.m4a,0.2,
