title,Little Sock Finds Home,book_en_326_page_0_1.m4a,book_en_326_page_0,landscape,audio,
page,1,book_en_326_page_1,wordwrap,
paragraph
sentence,book_en_326_page_1_1.m4a,0,
word,0,0.383771,All,en-uk_all.m4a,0.2,
word,0.383771,0.575166,of,en-uk_of.m4a,0.2,
word,0.575166,0.775133,the,en-uk_the.m4a,0.2,
word,0.775133,1.3259,Socks,en-uk_socks.m4a,0.2,
word,1.3259,1.70255,got,en-uk_got.m4a,0.2,
word,1.70255,2.19108,washed,en-uk_washed.m4a,0.2,
word,2.19108,2.78426,today.,en-uk_today.m4a,0.2,
page,2,book_en_326_page_2,wordwrap,
paragraph
sentence,book_en_326_page_2_1.m4a,0,
word,0,1.01895,Then,en-uk_then.m4a,0.2,
word,1.01895,1.63639,Little,en-uk_little.m4a,0.2,
word,1.63639,2.16808,Sock,en-uk_sock.m4a,0.2,
word,2.16808,2.51921,falls,en-uk_falls.m4a,0.2,
word,2.51921,2.83621,out,en-uk_out.m4a,0.2,
word,2.83621,3.18602,of,en-uk_of.m4a,0.2,
word,3.18602,3.35356,the,en-uk_the.m4a,0.2,
word,3.35356,3.95333,basket!,en-uk_basket.m4a,0.2,
sentence,book_en_326_page_2_2.m4a,4.95333,
word,0,0.733907,Little,en-uk_little.m4a,0.2,
word,0.733907,1.26749,Sock,en-uk_sock.m4a,0.2,
word,1.26749,1.63555,gets,en-uk_gets.m4a,0.2,
word,1.63555,2.09342,left,en-uk_left.m4a,0.2,
word,2.09342,2.94637,behind!,en-uk_behind.m4a,0.2,
page,3,book_en_326_page_3,wordwrap,
paragraph
sentence,book_en_326_page_3_1.m4a,0,
word,0,0.585644,Little,en-uk_little.m4a,0.2,
word,0.585644,1.2027,Sock,en-uk_sock.m4a,0.2,
word,1.2027,1.53396,needs,en-uk_needs.m4a,0.2,
word,1.53396,2.25219,help,en-uk_help.m4a,0.2,
word,2.25219,2.56911,getting,en-uk_getting.m4a,0.2,
word,2.56911,3.16469,home.,en-uk_home.m4a,0.2,
page,4,book_en_326_page_4,wordwrap,
paragraph
sentence,book_en_326_page_4_1.m4a,0,
word,0,0.433143,“Will,en-uk_will.m4a,0.2,
word,0.433143,0.807365,you,en-uk_you.m4a,0.2,
word,0.807365,1.12358,help,en-uk_help.m4a,0.2,
word,1.12358,1.41536,me,en-uk_me.m4a,0.2,
word,1.41536,1.65716,get,en-uk_get.m4a,0.2,
word,1.65716,2.216,"home,",en-uk_home.m4a,0.2,
word,2.216,2.92061,Robot?”,en-uk_robot.m4a,0.2,
sentence,book_en_326_page_4_2.m4a,3.92061,
word,0,0.575831,Little,en-uk_little.m4a,0.2,
word,0.575831,1.04176,Sock,en-uk_sock.m4a,0.2,
word,1.04176,1.70923,asks.,en-uk_asks.m4a,0.2,
page,5,book_en_326_page_5,wordwrap,
paragraph
sentence,book_en_326_page_5_1.m4a,0,
word,0,0.854626,"“Yes,”",en-uk_yes.m4a,0.2,
sentence,book_en_326_page_5_2.m4a,1.85463,
word,0,0.776162,says,en-uk_says.m4a,0.2,
word,0.776162,1.27188,Robot.,en-uk_robot.m4a,0.2,
