title,In The Forest,book_en_327_page_0_1.m4a,book_en_327_page_0,portrait,audio,
page,1,book_en_327_page_1,wordwrap,
paragraph
sentence,book_en_327_page_1_1.m4a,0,
word,0,0.917329,Halima,en-uk_halima.m4a,0.2,
word,0.917329,1.35919,used,en-uk_used.m4a,0.2,
word,1.35919,2.21148,balloons,en-uk_balloons.m4a,0.2,
word,2.21148,2.38084,to,en-uk_to.m4a,0.2,
word,2.38084,3.00997,float,en-uk_float.m4a,0.2,
word,3.00997,3.39436,up,en-uk_up.m4a,0.2,
word,3.39436,3.56248,to,en-uk_to.m4a,0.2,
word,3.56248,3.76869,the,en-uk_the.m4a,0.2,
word,3.76869,4.4239,sky.,en-uk_sky.m4a,0.2,
page,2,book_en_327_page_2,wordwrap,
paragraph
sentence,book_en_327_page_2_1.m4a,0,
word,0,0.893335,Halima,en-uk_halima.m4a,0.2,
word,0.893335,1.10772,and,en-uk_and.m4a,0.2,
word,1.10772,1.31767,her,en-uk_her.m4a,0.2,
word,1.31767,2.0191,balloons,en-uk_balloons.m4a,0.2,
word,2.0191,2.86605,scared,en-uk_scared.m4a,0.2,
word,2.86605,3.03363,a,en-uk_a.m4a,0.2,
word,3.03363,3.68644,squirrel.,en-uk_squirrel.m4a,0.2,
sentence,book_en_327_page_2_2.m4a,4.68644,
word,0,0.331378,The,en-uk_the.m4a,0.2,
word,0.331378,1.05036,squirrel,en-uk_squirrel.m4a,0.2,
word,1.05036,1.69187,lost,en-uk_lost.m4a,0.2,
word,1.69187,1.94038,its,en-uk_its.m4a,0.2,
word,1.94038,2.47673,book.,en-uk_book.m4a,0.2,
page,3,book_en_327_page_3,wordwrap,
paragraph
sentence,book_en_327_page_3_1.m4a,0,
word,0,1.0162,Halima,en-uk_halima.m4a,0.2,
word,1.0162,1.76879,landed,en-uk_landed.m4a,0.2,
word,1.76879,2.03988,on,en-uk_on.m4a,0.2,
word,2.03988,2.24255,the,en-uk_the.m4a,0.2,
word,2.24255,2.88993,ground.,en-uk_ground.m4a,0.2,
sentence,book_en_327_page_3_2.m4a,3.88993,
word,0,0.51404,She,en-uk_she.m4a,0.2,
word,0.51404,0.757462,was,en-uk_was.m4a,0.2,
word,0.757462,1.3217,sad,en-uk_sad.m4a,0.2,
word,1.3217,1.51418,to,en-uk_to.m4a,0.2,
word,1.51418,1.97441,scare,en-uk_scare.m4a,0.2,
word,1.97441,2.13291,the,en-uk_the.m4a,0.2,
word,2.13291,2.76796,squirrel.,en-uk_squirrel.m4a,0.2,
page,4,book_en_327_page_4,wordwrap,
paragraph
sentence,book_en_327_page_4_1.m4a,0,
word,0,0.550567,She,en-uk_she.m4a,0.2,
word,0.550567,0.885321,gave,en-uk_gave.m4a,0.2,
word,0.885321,1.13532,a,en-uk_a.m4a,0.2,
word,1.13532,1.53423,hair,en-uk_hair.m4a,0.2,
word,1.53423,2.05956,tie,en-uk_tie.m4a,0.2,
word,2.05956,2.20141,to,en-uk_to.m4a,0.2,
word,2.20141,2.38471,the,en-uk_the.m4a,0.2,
word,2.38471,2.82016,squirrel.,en-uk_squirrel.m4a,0.2,
sentence,book_en_327_page_4_2.m4a,3.82016,
word,0,0.489371,They,en-uk_they.m4a,0.2,
word,0.489371,1.25203,became,en-uk_became.m4a,0.2,
word,1.25203,2.13029,friends.,en-uk_friends.m4a,0.2,
page,5,book_en_327_page_5,wordwrap,
paragraph
sentence,book_en_327_page_5_1.m4a,0,
word,0,0.39295,They,en-uk_they.m4a,0.2,
word,0.39295,1.15077,played,en-uk_played.m4a,0.2,
word,1.15077,1.44362,and,en-uk_and.m4a,0.2,
word,1.44362,2.16782,climbed,en-uk_climbed.m4a,0.2,
word,2.16782,2.41462,on,en-uk_on.m4a,0.2,
word,2.41462,2.59846,the,en-uk_the.m4a,0.2,
word,2.59846,3.34066,trees.,en-uk_trees.m4a,0.2,
page,6,book_en_327_page_6,wordwrap,
paragraph
sentence,book_en_327_page_6_1.m4a,0,
word,0,0.483773,They,en-uk_they.m4a,0.2,
word,0.483773,1.48385,surprised,en-uk_surprised.m4a,0.2,
word,1.48385,1.67663,a,en-uk_a.m4a,0.2,
word,1.67663,2.22566,frog,en-uk_frog.m4a,0.2,
word,2.22566,3.20159,resting,en-uk_resting.m4a,0.2,
word,3.20159,3.41195,on,en-uk_on.m4a,0.2,
word,3.41195,3.59792,the,en-uk_the.m4a,0.2,
word,3.59792,4.102,tree.,en-uk_tree.m4a,0.2,
page,7,book_en_327_page_7,wordwrap,
paragraph
sentence,book_en_327_page_7_1.m4a,0,
word,0,1.12563,"Later,",en-uk_later.m4a,0.2,
word,1.12563,1.35831,they,en-uk_they.m4a,0.2,
word,1.35831,1.78575,sat,en-uk_sat.m4a,0.2,
word,1.78575,1.94773,on,en-uk_on.m4a,0.2,
word,1.94773,2.09957,the,en-uk_the.m4a,0.2,
word,2.09957,2.70766,branch,en-uk_branch.m4a,0.2,
word,2.70766,2.89326,to,en-uk_to.m4a,0.2,
word,2.89326,3.52619,rest.,en-uk_rest.m4a,0.2,
page,8,book_en_327_page_8,wordwrap,
paragraph
sentence,book_en_327_page_8_1.m4a,0,
word,0,0.920864,Halima,en-uk_halima.m4a,0.2,
word,0.920864,1.33669,became,en-uk_became.m4a,0.2,
word,1.33669,2.01297,friends,en-uk_friends.m4a,0.2,
word,2.01297,2.1646,with,en-uk_with.m4a,0.2,
word,2.1646,2.5683,more,en-uk_more.m4a,0.2,
word,2.5683,3.39084,animals.,en-uk_animals.m4a,0.2,
sentence,book_en_327_page_8_2.m4a,4.39084,
word,0,0.376596,They,en-uk_they.m4a,0.2,
word,0.376596,1.20931,explored,en-uk_explored.m4a,0.2,
word,1.20931,1.42903,the,en-uk_the.m4a,0.2,
word,1.42903,2.29829,wonders,en-uk_wonders.m4a,0.2,
word,2.29829,2.45933,of,en-uk_of.m4a,0.2,
word,2.45933,2.62872,the,en-uk_the.m4a,0.2,
