title,The Cock and the Worm,book_en_329_page_0_1.m4a,book_en_329_page_0,portrait,audio,
page,1,book_en_329_page_1,wordwrap,
paragraph
sentence,book_en_329_page_1_1.m4a,0,
word,0,0.300992,The,en-uk_the.m4a,0.2,
word,0.300992,0.75892,cock,en-uk_cock.m4a,0.2,
word,0.75892,1.04487,was,en-uk_was.m4a,0.2,
word,1.04487,1.93676,crying.,en-uk_crying.m4a,0.2,
sentence,book_en_329_page_1_2.m4a,2.93676,
word,0,0.692055,Worm,en-uk_worm.m4a,0.2,
word,0.692055,0.943725,came,en-uk_came.m4a,0.2,
word,0.943725,1.45506,over.,en-uk_over.m4a,0.2,
page,2,book_en_329_page_2,wordwrap,
paragraph
sentence,book_en_329_page_2_1.m4a,0,
word,0,0.283704,The,en-uk_the.m4a,0.2,
word,0.283704,0.792116,cock,en-uk_cock.m4a,0.2,
word,0.792116,1.3423,said,en-uk_said.m4a,0.2,
word,1.3423,1.55371,he,en-uk_he.m4a,0.2,
word,1.55371,1.77018,is,en-uk_is.m4a,0.2,
word,1.77018,2.52537,lonely.,en-uk_lonely.m4a,0.2,
sentence,book_en_329_page_2_2.m4a,3.52537,
word,0,0.376182,He,en-uk_he.m4a,0.2,
word,0.376182,0.774576,wants,en-uk_wants.m4a,0.2,
word,0.774576,0.984604,a,en-uk_a.m4a,0.2,
word,0.984604,1.72546,friend.,en-uk_friend.m4a,0.2,
page,3,book_en_329_page_3,wordwrap,
paragraph
sentence,book_en_329_page_3_1.m4a,0,
word,0,0.343636,The,en-uk_the.m4a,0.2,
word,0.343636,0.851516,worm,en-uk_worm.m4a,0.2,
word,0.851516,1.44501,said,en-uk_said.m4a,0.2,
word,1.44501,1.59756,they,en-uk_they.m4a,0.2,
word,1.59756,1.77592,could,en-uk_could.m4a,0.2,
word,1.77592,2.18458,play,en-uk_play.m4a,0.2,
word,2.18458,2.90302,football.,en-uk_football.m4a,0.2,
page,4,book_en_329_page_4,wordwrap,
paragraph
sentence,book_en_329_page_4_1.m4a,0,
word,0.000240008,0.298323,The,en-uk_the.m4a,0.2,
word,0.298323,0.86587,cock,en-uk_cock.m4a,0.2,
word,0.86587,1.18886,and,en-uk_and.m4a,0.2,
word,1.18886,1.90315,worm,en-uk_worm.m4a,0.2,
word,1.90315,2.31772,played,en-uk_played.m4a,0.2,
word,2.31772,3.0288,football.,en-uk_football.m4a,0.2,
page,5,book_en_329_page_5,wordwrap,
paragraph
sentence,book_en_329_page_5_1.m4a,0,
word,0,0.308655,The,en-uk_the.m4a,0.2,
word,0.308655,0.822528,cock,en-uk_cock.m4a,0.2,
word,0.822528,1.63635,protected,en-uk_protected.m4a,0.2,
word,1.63635,1.83441,the,en-uk_the.m4a,0.2,
word,1.83441,2.44458,goal.,en-uk_goal.m4a,0.2,
sentence,book_en_329_page_5_2.m4a,3.44458,
word,0.0695146,0.501558,He,en-uk_he.m4a,0.2,
word,0.501558,0.736652,was,en-uk_was.m4a,0.2,
word,0.736652,1.43018,happy.,en-uk_happy.m4a,0.2,
page,6,book_en_329_page_6,wordwrap,
paragraph
sentence,book_en_329_page_6_1.m4a,0,
word,0,0.274995,The,en-uk_the.m4a,0.2,
word,0.274995,0.867343,cock,en-uk_cock.m4a,0.2,
word,0.867343,1.1965,and,en-uk_and.m4a,0.2,
word,1.1965,1.8954,worm,en-uk_worm.m4a,0.2,
word,1.8954,2.43755,tried,en-uk_tried.m4a,0.2,
word,2.43755,2.6513,to,en-uk_to.m4a,0.2,
word,2.6513,3.08533,kick,en-uk_kick.m4a,0.2,
word,3.08533,3.27166,the,en-uk_the.m4a,0.2,
word,3.27166,3.74211,ball.,en-uk_ball.m4a,0.2,
page,7,book_en_329_page_7,wordwrap,
paragraph
sentence,book_en_329_page_7_1.m4a,0,
word,0,0.30038,The,en-uk_the.m4a,0.2,
word,0.30038,0.917386,cock,en-uk_cock.m4a,0.2,
word,0.917386,1.47592,thanked,en-uk_thanked.m4a,0.2,
word,1.47592,1.89864,worm,en-uk_worm.m4a,0.2,
word,1.89864,2.07021,for,en-uk_for.m4a,0.2,
word,2.07021,2.57607,playing,en-uk_playing.m4a,0.2,
word,2.57607,2.721,with,en-uk_with.m4a,0.2,
word,2.721,3.06385,him.,en-uk_him.m4a,0.2,
page,8,book_en_329_page_8,wordwrap,
paragraph
sentence,book_en_329_page_8_1.m4a,0,
word,0,0.273802,The,en-uk_the.m4a,0.2,
word,0.273802,0.706414,cock,en-uk_cock.m4a,0.2,
word,0.706414,1.04768,and,en-uk_and.m4a,0.2,
word,1.04768,1.82754,worm,en-uk_worm.m4a,0.2,
word,1.82754,2.30978,became,en-uk_became.m4a,0.2,
word,2.30978,3.19651,friends.,en-uk_friends.m4a,0.2,
