title,Tasty Foods,book_en_330_page_0_1.m4a,book_en_330_page_0,landscape,audio,
page,1,book_en_330_page_1,wordwrap,
paragraph
sentence,book_en_330_page_1_1.m4a,0,
word,0,0.661761,Different,en-uk_different.m4a,0.2,
word,0.661761,1.19117,kinds,en-uk_kinds.m4a,0.2,
word,1.19117,1.39749,of,en-uk_of.m4a,0.2,
word,1.39749,2.0281,foods,en-uk_foods.m4a,0.2,
word,2.0281,2.27678,can,en-uk_can.m4a,0.2,
word,2.27678,2.51773,be,en-uk_be.m4a,0.2,
word,2.51773,3.24685,tasty.,en-uk_tasty.m4a,0.2,
page,2,book_en_330_page_2,wordwrap,
paragraph
sentence,book_en_330_page_2_1.m4a,0,
word,0,0.892804,Fruits,en-uk_fruits.m4a,0.2,
word,0.892804,1.13376,can,en-uk_can.m4a,0.2,
word,1.13376,1.39401,be,en-uk_be.m4a,0.2,
word,1.39401,2.09687,sweet.,en-uk_sweet.m4a,0.2,
sentence,book_en_330_page_2_2.m4a,3.09687,
word,0,0.459598,They,en-uk_they.m4a,0.2,
word,0.459598,0.633776,can,en-uk_can.m4a,0.2,
word,0.633776,0.913378,be,en-uk_be.m4a,0.2,
word,0.913378,1.46904,full,en-uk_full.m4a,0.2,
word,1.46904,1.69268,of,en-uk_of.m4a,0.2,
word,1.69268,2.66739,vitamins.,en-uk_vitamins.m4a,0.2,
page,3,book_en_330_page_3,wordwrap,
paragraph
sentence,book_en_330_page_3_1.m4a,0,
word,0,1.17562,Vegetables,en-uk_vegetables.m4a,0.2,
word,1.17562,1.38391,can,en-uk_can.m4a,0.2,
word,1.38391,1.65578,be,en-uk_be.m4a,0.2,
word,1.65578,2.52102,crunchy!,en-uk_crunchy.m4a,0.2,
page,4,book_en_330_page_4,wordwrap,
paragraph
sentence,book_en_330_page_4_1.m4a,0,
word,0,0.857574,Meat,en-uk_meat.m4a,0.2,
word,0.857574,1.4307,is,en-uk_is.m4a,0.2,
word,1.4307,2.21039,chewy.,en-uk_chewy.m4a,0.2,
sentence,book_en_330_page_4_2.m4a,3.21039,
word,0,0.37435,It,en-uk_it.m4a,0.2,
word,0.37435,0.632822,can,en-uk_can.m4a,0.2,
word,0.632822,1.00415,make,en-uk_make.m4a,0.2,
word,1.00415,1.3643,you,en-uk_you.m4a,0.2,
word,1.3643,2.19544,strong.,en-uk_strong.m4a,0.2,
page,5,book_en_330_page_5,wordwrap,
paragraph
sentence,book_en_330_page_5_1.m4a,0,
word,0,0.969629,Rice,en-uk_rice.m4a,0.2,
word,0.969629,1.22808,is,en-uk_is.m4a,0.2,
word,1.22808,1.42818,a,en-uk_a.m4a,0.2,
word,1.42818,2.12376,grain.,en-uk_grain.m4a,0.2,
sentence,book_en_330_page_5_2.m4a,3.12376,
word,0,0.974206,Grains,en-uk_grains.m4a,0.2,
word,0.974206,1.27989,are,en-uk_are.m4a,0.2,
word,1.27989,1.81686,small,en-uk_small.m4a,0.2,
word,1.81686,2.408,seeds,en-uk_seeds.m4a,0.2,
word,2.408,2.57222,that,en-uk_that.m4a,0.2,
word,2.57222,2.9992,come,en-uk_come.m4a,0.2,
word,2.9992,3.23643,from,en-uk_from.m4a,0.2,
word,3.23643,4.09816,plants.,en-uk_plants.m4a,0.2,
page,6,book_en_330_page_6,wordwrap,
paragraph
sentence,book_en_330_page_6_1.m4a,0,
word,0,0.833773,Milk,en-uk_milk.m4a,0.2,
word,0.833773,1.16368,is,en-uk_is.m4a,0.2,
word,1.16368,1.76739,good,en-uk_good.m4a,0.2,
word,1.76739,1.97616,for,en-uk_for.m4a,0.2,
word,1.97616,2.21794,your,en-uk_your.m4a,0.2,
word,2.21794,3.03778,bones.,en-uk_bones.m4a,0.2,
page,7,book_en_330_page_7,wordwrap,
paragraph
sentence,book_en_330_page_7_1.m4a,0,
word,0,0.960595,Cheese,en-uk_cheese.m4a,0.2,
word,0.960595,1.16947,is,en-uk_is.m4a,0.2,
word,1.16947,1.57554,made,en-uk_made.m4a,0.2,
word,1.57554,1.80907,from,en-uk_from.m4a,0.2,
word,1.80907,2.13272,milk.,en-uk_milk.m4a,0.2,
sentence,book_en_330_page_7_2.m4a,3.13272,
word,0,0.851865,Bread,en-uk_bread.m4a,0.2,
word,0.851865,1.1641,is,en-uk_is.m4a,0.2,
word,1.1641,1.71772,made,en-uk_made.m4a,0.2,
word,1.71772,1.91503,from,en-uk_from.m4a,0.2,
word,1.91503,2.93921,grains.,en-uk_grains.m4a,0.2,
page,8,book_en_330_page_8,wordwrap,
paragraph
sentence,book_en_330_page_8_1.m4a,0,
word,0,0.892317,Always,en-uk_always.m4a,0.2,
word,0.892317,1.2482,drink,en-uk_drink.m4a,0.2,
word,1.2482,1.76107,lots,en-uk_lots.m4a,0.2,
word,1.76107,2.00346,of,en-uk_of.m4a,0.2,
word,2.00346,2.60465,water.,en-uk_water.m4a,0.2,
