title,Priya at Home,book_en_332_page_0_1.m4a,book_en_332_page_0,landscape,audio
page,1,book_en_332_page_1,wordwrap,,
paragraph,,,,,
sentence,book_en_332_page_1_1.m4a,0,,,
word,0.016465,0.583078,Priya,en-uk_Priya.m4a,0.2
word,0.583078,1.18315,plays,en-uk_plays.m4a,0.2
word,1.18315,1.43327,with,en-uk_with.m4a,0.2
word,1.43327,1.68305,her,en-uk_her.m4a,0.2
word,1.68305,2.14977,baby,en-uk_baby.m4a,0.2
word,2.14977,2.69737,brother.,en-uk_brother.m4a,0.2
page,2,book_en_332_page_2,wordwrap,,
paragraph,,,,,
sentence,book_en_332_page_2_1.m4a,0,,,
word,0.199637,0.683264,Priya,en-uk_Priya.m4a,0.2
word,0.683264,1.21636,does,en-uk_does.m4a,0.2
word,1.21636,1.51661,her,en-uk_her.m4a,0.2
word,1.51661,1.86957,sister’s,en-uk_sister's.m4a,0.2
word,1.86957,2.45175,hair.,en-uk_hair.m4a,0.2
page,3,book_en_332_page_3,wordwrap,,
paragraph,,,,,
sentence,book_en_332_page_3_1.m4a,0,,,
word,0.0327345,0.549368,Priya,en-uk_Priya.m4a,0.2
word,0.549368,1.18312,farms,en-uk_farms.m4a,0.2
word,1.18312,1.53294,with,en-uk_with.m4a,0.2
word,1.53294,1.9327,her,en-uk_her.m4a,0.2
word,1.9327,2.40787,mom.,en-uk_mom.m4a,0.2
page,4,book_en_332_page_4,wordwrap,,
paragraph,,,,,
sentence,book_en_332_page_4_1.m4a,0,,,
word,0,0.716293,Priya,en-uk_Priya.m4a,0.2
word,0.716293,1.18299,gathers,en-uk_gathers.m4a,0.2
word,1.18299,1.64966,wood,en-uk_wood.m4a,0.2
word,1.64966,1.89986,with,en-uk_with.m4a,0.2
word,1.89986,2.16621,her,en-uk_her.m4a,0.2
word,2.16621,2.80703,dad.,en-uk_dad.m4a,0.2
page,5,book_en_332_page_5,wordwrap,,
paragraph,,,,,
sentence,book_en_332_page_5_1.m4a,0,,,
word,0,0.5833,Priya,en-uk_Priya.m4a,0.2
word,0.5833,1.04942,reads,en-uk_reads.m4a,0.2
word,1.04942,1.38299,with,en-uk_with.m4a,0.2
word,1.38299,1.68297,her,en-uk_her.m4a,0.2
word,1.68297,2.11623,big,en-uk_big.m4a,0.2
word,2.11623,2.82896,brother.,en-uk_brother.m4a,0.2
page,6,book_en_332_page_6,wordwrap,,
paragraph,,,,,
sentence,book_en_332_page_6_1.m4a,0,,,
word,0,0.766702,Priya,en-uk_Priya.m4a,0.2
word,0.766702,1.28336,eats,en-uk_eats.m4a,0.2
word,1.28336,1.54987,with,en-uk_with.m4a,0.2
word,1.54987,1.81668,her,en-uk_her.m4a,0.2
word,1.81668,2.64036,family.,en-uk_family.m4a,0.2
