title,Opposites,book_en_334_page_0_1.m4a,book_en_334_page_0,portrait,audio,
page,1,book_en_334_page_1,wordwrap,
paragraph
sentence,book_en_334_page_1_1.m4a,0,
word,0,0.283002,A,en-uk_a.m4a,0.2,
word,0.283002,0.649506,fire,en-uk_fire.m4a,0.2,
word,0.649506,0.882866,is,en-uk_is.m4a,0.2,
word,0.882866,1.51867,hot.,en-uk_hot.m4a,0.2,
sentence,book_en_334_page_1_2.m4a,2.48306,
word,0,0.31634,What,en-uk_what.m4a,0.2,
word,0.31634,0.499888,is,en-uk_is.m4a,0.2,
word,0.499888,1.08322,cold?,en-uk_cold.m4a,0.2,
page,2,book_en_334_page_2,wordwrap,
paragraph
sentence,book_en_334_page_2_1.m4a,0,
word,0,0.383539,Snow,en-uk_snow.m4a,0.2,
word,0.383539,0.599899,is,en-uk_is.m4a,0.2,
word,0.599899,1.20033,cold.,en-uk_cold.m4a,0.2,
sentence,book_en_334_page_2_2.m4a,2.22342,
word,0,0.367327,Snow,en-uk_snow.m4a,0.2,
word,0.367327,0.600495,is,en-uk_is.m4a,0.2,
word,0.600495,0.867181,not,en-uk_not.m4a,0.2,
word,0.867181,1.41757,hot.,en-uk_hot.m4a,0.2,
page,3,book_en_334_page_3,wordwrap,
paragraph
sentence,book_en_334_page_3_1.m4a,0,
word,0,0.266,An,en-uk_an.m4a,0.2,
word,0.266,0.599842,ocean,en-uk_ocean.m4a,0.2,
word,0.599842,1.03212,is,en-uk_is.m4a,0.2,
word,1.03212,1.46807,wet.,en-uk_wet.m4a,0.2,
sentence,book_en_334_page_3_2.m4a,2.46807,
word,0,0.249838,What,en-uk_what.m4a,0.2,
word,0.249838,0.433497,is,en-uk_is.m4a,0.2,
word,0.433497,1.08364,dry?,en-uk_dry.m4a,0.2,
page,4,book_en_334_page_4,wordwrap,
paragraph
sentence,book_en_334_page_4_1.m4a,0,
word,0,0.249993,A,en-uk_a.m4a,0.2,
word,0.249993,0.500298,desert,en-uk_desert.m4a,0.2,
word,0.500298,0.899664,is,en-uk_is.m4a,0.2,
word,0.899664,1.53366,dry.,en-uk_dry.m4a,0.2,
sentence,book_en_334_page_4_2.m4a,2.51304,
word,0,0.133812,A,en-uk_a.m4a,0.2,
word,0.133812,0.550339,desert,en-uk_desert.m4a,0.2,
word,0.550339,0.933714,is,en-uk_is.m4a,0.2,
word,0.933714,1.15035,not,en-uk_not.m4a,0.2,
word,1.15035,1.80088,wet.,en-uk_wet.m4a,0.2,
page,5,book_en_334_page_5,wordwrap,
paragraph
sentence,book_en_334_page_5_1.m4a,0,
word,0,0.283203,The,en-uk_the.m4a,0.2,
word,0.283203,0.616296,sky,en-uk_sky.m4a,0.2,
word,0.616296,0.883114,is,en-uk_is.m4a,0.2,
word,0.883114,1.41713,up.,en-uk_up.m4a,0.2,
sentence,book_en_334_page_5_2.m4a,2.36322,
word,0,0.283754,What,en-uk_what.m4a,0.2,
word,0.283754,0.467055,is,en-uk_is.m4a,0.2,
word,0.467055,1.00032,down?,en-uk_down.m4a,0.2,
page,6,book_en_334_page_6,wordwrap,
paragraph
sentence,book_en_334_page_6_1.m4a,0,
word,0,0.266508,The,en-uk_the.m4a,0.2,
word,0.266508,0.516885,land,en-uk_land.m4a,0.2,
word,0.516885,0.783099,is,en-uk_is.m4a,0.2,
word,0.783099,1.33401,down.,en-uk_down.m4a,0.2,
sentence,book_en_334_page_6_2.m4a,2.40816,
word,0,0.28356,The,en-uk_the.m4a,0.2,
word,0.28356,0.533798,land,en-uk_land.m4a,0.2,
word,0.533798,0.833184,is,en-uk_is.m4a,0.2,
word,0.833184,1.10019,not,en-uk_not.m4a,0.2,
word,1.10019,1.58424,up.,en-uk_up.m4a,0.2,
page,7,book_en_334_page_7,wordwrap,
paragraph
sentence,book_en_334_page_7_1.m4a,0,
word,0,0.266696,Day,en-uk_day.m4a,0.2,
word,0.266696,0.553108,is,en-uk_is.m4a,0.2,
word,0.553108,1.20019,bright.,en-uk_bright.m4a,0.2,
sentence,book_en_334_page_7_2.m4a,2.32329,
word,0,0.266313,What,en-uk_what.m4a,0.2,
word,0.266313,0.49974,is,en-uk_is.m4a,0.2,
word,0.49974,1.1502,dark?,en-uk_dark.m4a,0.2,
page,8,book_en_334_page_8,wordwrap,
paragraph
sentence,book_en_334_page_8_1.m4a,0,
word,0,0.333286,Night,en-uk_night.m4a,0.2,
word,0.333286,0.666776,is,en-uk_is.m4a,0.2,
word,0.666776,1.31625,dark.,en-uk_dark.m4a,0.2,
sentence,book_en_334_page_8_2.m4a,2.3932,
word,0,0.266618,But,en-uk_but.m4a,0.2,
word,0.266618,0.515808,not,en-uk_not.m4a,0.2,
word,0.515808,0.766586,the,en-uk_the.m4a,0.2,
word,0.766586,1.40317,stars!,en-uk_stars.m4a,0.2,
