title,Sania Goes to the Market,book_en_337_page_0_1.m4a,book_en_337_page_0,landscape,audio,
page,1,book_en_337_page_1,wordwrap,
paragraph
sentence,book_en_337_page_1_1.m4a,0,
word,0,0.5,Sania,en-uk_farida.m4a,0.2,
word,0.5,1,wants,en-uk_wants.m4a,0.2,
word,1,1.1,to,en-uk_to.m4a,0.2,
word,1.1,1.2,go,en-uk_go.m4a,0.2,
word,1.2,1.6,to,en-uk_to.m4a,0.2,
word,1.6,1.7,the,en-uk_the.m4a,0.2,
word,1.7,2,market.,en-uk_market.m4a,0.2,
page,2,book_en_337_page_2,wordwrap,
paragraph
sentence,book_en_337_page_2_1.m4a,0,
word,0,0.649801,Sania,en-uk_farida.m4a,0.2,
word,0.649801,1.03331,writes,en-uk_writes.m4a,0.2,
word,1.03331,1.23328,a,en-uk_a.m4a,0.2,
word,1.23328,1.50004,list,en-uk_list.m4a,0.2,
word,1.50004,1.71655,of,en-uk_of.m4a,0.2,
word,1.71655,2.15196,things,en-uk_things.m4a,0.2,
word,2.15196,2.36862,she,en-uk_she.m4a,0.2,
word,2.36862,2.63325,wants,en-uk_wants.m4a,0.2,
word,2.63325,2.86668,to,en-uk_to.m4a,0.2,
word,2.86668,3.18312,buy,en-uk_buy.m4a,0.2,
word,3.18312,3.46994,at,en-uk_at.m4a,0.2,
word,3.46994,3.73317,the,en-uk_the.m4a,0.2,
word,3.73317,4.31649,market.,en-uk_market.m4a,0.2,
page,3,book_en_337_page_3,wordwrap,
paragraph
sentence,book_en_337_page_3_1.m4a,0,
word,0,0.5,Sania,en-uk_farida.m4a,0.2,
word,0.5,0.9,buys,en-uk_buys.m4a,0.2,
word,0.9,1.4,rice,en-uk_rice.m4a,0.2,
word,1.4,1.7,and,en-uk_and.m4a,0.2,
word,1.7,2,flour,en-uk_flour.m4a,0.2,
word,2,2.5,at,en-uk_at.m4a,0.2,
word,2.5,2.7,the,en-uk_the.m4a,0.2,
word,2.7,3.3,market.,en-uk_market.m4a,0.2,
page,4,book_en_337_page_4,wordwrap,
paragraph
sentence,book_en_337_page_4_1.m4a,0,
word,0,0.683481,Sania,en-uk_farida.m4a,0.2,
word,0.683481,1.09992,reads,en-uk_reads.m4a,0.2,
word,1.09992,1.34991,her,en-uk_her.m4a,0.2,
word,1.34991,1.74996,list,en-uk_list.m4a,0.2,
word,1.74996,2.29999,again.,en-uk_again.m4a,0.2,
page,5,book_en_337_page_5,wordwrap,
paragraph
sentence,book_en_337_page_5_1.m4a,0,
word,0,0.6,Sania,en-uk_farida.m4a,0.2,
word,0.6,1.1,needs,en-uk_needs.m4a,0.2,
word,1.1,1.3,to,en-uk_to.m4a,0.2,
word,1.3,1.5,buy,en-uk_buy.m4a,0.2,
word,1.5,1.9,fish,en-uk_fish.m4a,0.2,
word,1.9,2.2,and,en-uk_and.m4a,0.2,
word,2.2,3.1,coconut.,en-uk_coconut.m4a,0.2,
page,6,book_en_337_page_6,wordwrap,
paragraph
sentence,book_en_337_page_6_1.m4a,0,
word,0,0.5,Sania,en-uk_farida.m4a,0.2,
word,0.5,0.8,is,en-uk_is.m4a,0.2,
word,0.8,1.3,done.,en-uk_done.m4a,0.2,
sentence,book_en_337_page_6_2.m4a,2.62392,
word,0,0.3,She,en-uk_she.m4a,0.2,
word,0.3,0.6,goes,en-uk_goes.m4a,0.2,
word,0.6,0.9,back,en-uk_back.m4a,0.2,
word,0.9,1.3,home.,en-uk_home.m4a,0.2,
