title,Catherine in the Dark,book_en_338_page_0_1.m4a,book_en_338_page_0,portrait,audio,
page,1,book_en_338_page_1,wordwrap,
paragraph
sentence,book_en_338_page_1_1.m4a,0,
word,0,0.450055,Catherine,en-uk_catherine.m4a,0.2,
word,0.450055,0.816811,was,en-uk_was.m4a,0.2,
word,0.816811,1.08332,afraid,en-uk_afraid.m4a,0.2,
word,1.08332,1.34998,of,en-uk_of.m4a,0.2,
word,1.34998,1.64991,the,en-uk_the.m4a,0.2,
word,1.64991,2.19985,dark.,en-uk_dark.m4a,0.2,
sentence,book_en_338_page_1_2.m4a,3.25274,
word,0,0.36689,She,en-uk_she.m4a,0.2,
word,0.36689,0.700263,needed,en-uk_needed.m4a,0.2,
word,0.700263,0.88352,to,en-uk_to.m4a,0.2,
word,0.88352,1.23374,look,en-uk_look.m4a,0.2,
word,1.23374,1.41696,for,en-uk_for.m4a,0.2,
word,1.41696,1.63348,her,en-uk_her.m4a,0.2,
word,1.63348,2.16664,mom.,en-uk_mom.m4a,0.2,
page,2,book_en_338_page_2,wordwrap,
paragraph
sentence,book_en_338_page_2_1.m4a,0,
word,0,0.483233,Catherine,en-uk_catherine.m4a,0.2,
word,0.483233,0.783434,saw,en-uk_saw.m4a,0.2,
word,0.783434,1.08297,two,en-uk_two.m4a,0.2,
word,1.08297,1.51671,eyes,en-uk_eyes.m4a,0.2,
word,1.51671,1.73344,in,en-uk_in.m4a,0.2,
word,1.73344,1.89979,the,en-uk_the.m4a,0.2,
word,1.89979,2.38353,dark.,en-uk_dark.m4a,0.2,
page,3,book_en_338_page_3,wordwrap,
paragraph
sentence,book_en_338_page_3_1.m4a,0,
word,0,0.266814,But,en-uk_but.m4a,0.2,
word,0.266814,0.400169,it,en-uk_it.m4a,0.2,
word,0.400169,0.483625,was,en-uk_was.m4a,0.2,
word,0.483625,0.716847,just,en-uk_just.m4a,0.2,
word,0.716847,0.96705,a,en-uk_a.m4a,0.2,
word,0.96705,1.45001,cat.,en-uk_cat.m4a,0.2,
page,4,book_en_338_page_4,wordwrap,
paragraph
sentence,book_en_338_page_4_1.m4a,0,
word,0,0.467281,Catherine,en-uk_catherine.m4a,0.2,
word,0.467281,0.752924,saw,en-uk_saw.m4a,0.2,
word,0.752924,0.983981,a,en-uk_a.m4a,0.2,
word,0.983981,1.43394,big,en-uk_big.m4a,0.2,
word,1.43394,2.11683,shape.,en-uk_shape.m4a,0.2,
sentence,book_en_338_page_4_2.m4a,3.2,
word,0,0.300051,She,en-uk_she.m4a,0.2,
word,0.300051,0.633285,hid,en-uk_hid.m4a,0.2,
word,0.633285,0.833439,in,en-uk_in.m4a,0.2,
word,0.833439,0.949991,a,en-uk_a.m4a,0.2,
word,0.949991,1.50744,bush.,en-uk_bush.m4a,0.2,
page,5,book_en_338_page_5,wordwrap,
paragraph
sentence,book_en_338_page_5_1.m4a,0,
word,0,0.249747,But,en-uk_but.m4a,0.2,
word,0.249747,0.399597,it,en-uk_it.m4a,0.2,
word,0.399597,0.54961,was,en-uk_was.m4a,0.2,
word,0.54961,0.899743,just,en-uk_just.m4a,0.2,
word,0.899743,1.11624,a,en-uk_a.m4a,0.2,
word,1.11624,1.71708,well.,en-uk_well.m4a,0.2,
page,6,book_en_338_page_6,wordwrap,
paragraph
sentence,book_en_338_page_6_1.m4a,0,
word,0,0.499745,Catherine,en-uk_catherine.m4a,0.2,
word,0.499745,0.700345,was,en-uk_was.m4a,0.2,
word,0.700345,1.08356,still,en-uk_still.m4a,0.2,
word,1.08356,1.63703,afraid.,en-uk_afraid.m4a,0.2,
sentence,book_en_338_page_6_2.m4a,2.63703,
word,0,0.333347,Things,en-uk_things.m4a,0.2,
word,0.333347,0.619996,looked,en-uk_looked.m4a,0.2,
word,0.619996,1.18324,different,en-uk_different.m4a,0.2,
word,1.18324,1.44968,in,en-uk_in.m4a,0.2,
word,1.44968,1.5997,the,en-uk_the.m4a,0.2,
word,1.5997,2.08311,dark.,en-uk_dark.m4a,0.2,
page,7,book_en_338_page_7,wordwrap,
paragraph
sentence,book_en_338_page_7_1.m4a,0,
word,0,0.283235,But,en-uk_but.m4a,0.2,
word,0.283235,0.56954,then,en-uk_then.m4a,0.2,
word,0.56954,0.949572,she,en-uk_she.m4a,0.2,
word,0.949572,1.16613,saw,en-uk_saw.m4a,0.2,
word,1.16613,1.36662,her,en-uk_her.m4a,0.2,
word,1.36662,1.68269,mom,en-uk_mom.m4a,0.2,
word,1.68269,1.96928,coming,en-uk_coming.m4a,0.2,
word,1.96928,2.53297,home!,en-uk_home.m4a,0.2,
page,8,book_en_338_page_8,wordwrap,
paragraph
sentence,book_en_338_page_8_1.m4a,0,
word,0,0.483207,Catherine,en-uk_catherine.m4a,0.2,
word,0.483207,0.749709,was,en-uk_was.m4a,0.2,
word,0.749709,0.999399,not,en-uk_not.m4a,0.2,
word,0.999399,1.26638,afraid,en-uk_afraid.m4a,0.2,
word,1.26638,1.53314,of,en-uk_of.m4a,0.2,
word,1.53314,1.79972,the,en-uk_the.m4a,0.2,
word,1.79972,2.14987,dark,en-uk_dark.m4a,0.2,
word,2.14987,2.91671,anymore.,en-uk_anymore.m4a,0.2,
