title,Building Signs,book_en_339_page_0_1.m4a,book_en_339_page_0,landscape,audio,
page,1,book_en_339_page_1,wordwrap,
paragraph
sentence,book_en_339_page_1_1.m4a,0,
word,0,0.666575,Akash,en-uk_hamisi.m4a,0.2,
word,0.666575,1.01689,took,en-uk_took.m4a,0.2,
word,1.01689,1.20031,a,en-uk_a.m4a,0.2,
word,1.20031,1.51694,bus,en-uk_bus.m4a,0.2,
word,1.51694,1.71691,to,en-uk_to.m4a,0.2,
word,1.71691,1.91671,the,en-uk_the.m4a,0.2,
word,1.91671,2.3746,city.,en-uk_city.m4a,0.2,
page,2,book_en_339_page_2,wordwrap,
paragraph
sentence,book_en_339_page_2_1.m4a,0,
word,0,0.5,Akash,en-uk_hamisi.m4a,0.2,
word,0.5,0.9,saw,en-uk_saw.m4a,0.2,
word,0.9,1.5,signs,en-uk_signs.m4a,0.2,
word,1.5,1.8,outside,en-uk_outside.m4a,0.2,
word,1.8,2.2,the,en-uk_the.m4a,0.2,
word,2.2,2.9,buildings.,en-uk_buildings.m4a,0.2,
page,3,book_en_339_page_3,wordwrap,
paragraph
sentence,book_en_339_page_3_1.m4a,0,
word,0,0.633301,Akash,en-uk_hamisi.m4a,0.2,
word,0.633301,1.01702,read,en-uk_read.m4a,0.2,
word,1.01702,1.15027,a,en-uk_a.m4a,0.2,
word,1.15027,1.60008,sign,en-uk_sign.m4a,0.2,
word,1.60008,1.81701,that,en-uk_that.m4a,0.2,
word,1.81701,2.00004,said,en-uk_said.m4a,0.2,
word,2.00004,3.02562,“POLICE.”,en-uk_police.m4a,0.2,
page,4,book_en_339_page_4,wordwrap,
paragraph
sentence,book_en_339_page_4_1.m4a,0,
word,0,0.667046,Akash,en-uk_hamisi.m4a,0.2,
word,0.667046,1.04992,read,en-uk_read.m4a,0.2,
word,1.04992,1.21675,a,en-uk_a.m4a,0.2,
word,1.21675,1.70015,sign,en-uk_sign.m4a,0.2,
word,1.70015,1.89992,that,en-uk_that.m4a,0.2,
word,1.89992,2.16685,said,en-uk_said.m4a,0.2,
word,2.16685,3.09122,“SCHOOL.”,en-uk_school.m4a,0.2,
page,5,book_en_339_page_5,wordwrap,
paragraph
sentence,book_en_339_page_5_1.m4a,0,
word,0,0.766445,Akash,en-uk_hamisi.m4a,0.2,
word,0.766445,1.06931,read,en-uk_read.m4a,0.2,
word,1.06931,1.23278,a,en-uk_a.m4a,0.2,
word,1.23278,1.5507,sign,en-uk_sign.m4a,0.2,
word,1.5507,1.9667,that,en-uk_that.m4a,0.2,
word,1.9667,2.36655,said,en-uk_said.m4a,0.2,
word,2.36655,3.3537,“HOTEL.”,en-uk_hotel.m4a,0.2,
page,6,book_en_339_page_6,wordwrap,
paragraph
sentence,book_en_339_page_6_1.m4a,0,
word,0,0.716797,Akash,en-uk_hamisi.m4a,0.2,
word,0.716797,1.03336,read,en-uk_read.m4a,0.2,
word,1.03336,1.28336,a,en-uk_a.m4a,0.2,
word,1.28336,1.65012,sign,en-uk_sign.m4a,0.2,
word,1.65012,2.05014,that,en-uk_that.m4a,0.2,
word,2.05014,2.36688,said,en-uk_said.m4a,0.2,
word,2.36688,3.3863,“HOSPITAL.”,en-uk_hospital.m4a,0.2,
page,7,book_en_339_page_7,wordwrap,
paragraph
sentence,book_en_339_page_7_1.m4a,0,
word,0.0661595,0.616072,Reading,en-uk_reading.m4a,0.2,
word,0.616072,0.932783,helped,en-uk_helped.m4a,0.2,
word,0.932783,1.49933,Akash,en-uk_hamisi.m4a,0.2,
word,1.49933,1.9496,know,en-uk_know.m4a,0.2,
word,1.9496,2.2996,what,en-uk_what.m4a,0.2,
word,2.2996,2.53291,all,en-uk_all.m4a,0.2,
word,2.53291,2.79972,the,en-uk_the.m4a,0.2,
word,2.79972,3.18266,buildings,en-uk_buildings.m4a,0.2,
word,3.18266,3.79259,were.,en-uk_were.m4a,0.2,
