title,How Do You Feel?,book_en_341_page_0_1.m4a,book_en_341_page_0,portrait,audio,
page,1,book_en_341_page_1,wordwrap,
paragraph
sentence,book_en_341_page_1_1.m4a,0,
word,0,0.266734,Look,en-uk_look.m4a,0.2,
word,0.266734,0.466242,at,en-uk_at.m4a,0.2,
word,0.466242,0.683448,my,en-uk_my.m4a,0.2,
word,0.683448,1.14968,face,en-uk_face.m4a,0.2,
word,1.14968,1.3499,and,en-uk_and.m4a,0.2,
word,1.3499,1.58323,you,en-uk_you.m4a,0.2,
word,1.58323,1.73319,will,en-uk_will.m4a,0.2,
word,1.73319,2.01975,see,en-uk_see.m4a,0.2,
word,2.01975,2.24991,how,en-uk_how.m4a,0.2,
word,2.24991,2.38321,I,en-uk_i.m4a,0.2,
word,2.38321,2.93363,feel.,en-uk_feel.m4a,0.2,
page,2,book_en_341_page_2,wordwrap,
paragraph
sentence,book_en_341_page_2_1.m4a,0,
word,0,0.300054,Look,en-uk_look.m4a,0.2,
word,0.300054,0.499994,at,en-uk_at.m4a,0.2,
word,0.499994,0.616672,my,en-uk_my.m4a,0.2,
word,0.616672,1.23286,face.,en-uk_face.m4a,0.2,
sentence,book_en_341_page_2_2.m4a,2.33939,
word,0,0.250101,I,en-uk_i.m4a,0.2,
word,0.250101,0.450008,am,en-uk_am.m4a,0.2,
word,0.450008,1.38421,excited!,en-uk_excited.m4a,0.2,
page,3,book_en_341_page_3,wordwrap,
paragraph
sentence,book_en_341_page_3_1.m4a,0,
word,0,0.283325,Look,en-uk_look.m4a,0.2,
word,0.283325,0.516716,at,en-uk_at.m4a,0.2,
word,0.516716,0.751904,my,en-uk_my.m4a,0.2,
word,0.751904,1.31681,face.,en-uk_face.m4a,0.2,
sentence,book_en_341_page_3_2.m4a,2.31247,
word,0,0.266871,I,en-uk_i.m4a,0.2,
word,0.266871,0.416689,am,en-uk_am.m4a,0.2,
word,0.416689,1.1173,angry.,en-uk_angry.m4a,0.2,
page,4,book_en_341_page_4,wordwrap,
paragraph
sentence,book_en_341_page_4_1.m4a,0,
word,0,0.433039,Look,en-uk_look.m4a,0.2,
word,0.433039,0.599861,at,en-uk_at.m4a,0.2,
word,0.599861,0.866667,my,en-uk_my.m4a,0.2,
word,0.866667,1.55017,face.,en-uk_face.m4a,0.2,
sentence,book_en_341_page_4_2.m4a,2.57499,
word,0,0.283307,I,en-uk_i.m4a,0.2,
word,0.283307,0.499901,am,en-uk_am.m4a,0.2,
word,0.499901,1.2832,sad.,en-uk_sad.m4a,0.2,
page,5,book_en_341_page_5,wordwrap,
paragraph
sentence,book_en_341_page_5_1.m4a,0,
word,0,0.30043,Look,en-uk_look.m4a,0.2,
word,0.30043,0.467001,at,en-uk_at.m4a,0.2,
word,0.467001,0.733615,my,en-uk_my.m4a,0.2,
word,0.733615,1.2519,face.,en-uk_face.m4a,0.2,
sentence,book_en_341_page_5_2.m4a,2.2519,
word,0,0.283354,I,en-uk_i.m4a,0.2,
word,0.283354,0.449668,am,en-uk_am.m4a,0.2,
word,0.449668,1.25067,scared.,en-uk_scared.m4a,0.2,
page,6,book_en_341_page_6,wordwrap,
paragraph
sentence,book_en_341_page_6_1.m4a,0,
word,0,0.366436,Look,en-uk_look.m4a,0.2,
word,0.366436,0.516741,at,en-uk_at.m4a,0.2,
word,0.516741,0.733138,my,en-uk_my.m4a,0.2,
word,0.733138,1.23348,face.,en-uk_face.m4a,0.2,
sentence,book_en_341_page_6_2.m4a,2.36388,
word,0,0.283458,How,en-uk_how.m4a,0.2,
word,0.283458,0.467059,do,en-uk_do.m4a,0.2,
word,0.467059,0.617103,I,en-uk_i.m4a,0.2,
word,0.617103,1.1344,feel?,en-uk_feel.m4a,0.2,
