title,Neema at the Clinic,book_en_346_page_0_1.m4a,book_en_346_page_0,landscape,audio,
page,1,book_en_346_page_1,wordwrap,
paragraph
sentence,book_en_346_page_1_1.m4a,0,
word,0,0.450244,Neema,en-uk_neema.m4a,0.2,
word,0.450244,0.800079,was,en-uk_was.m4a,0.2,
word,0.800079,1.23336,very,en-uk_very.m4a,0.2,
word,1.23336,1.81649,sick.,en-uk_sick.m4a,0.2,
page,2,book_en_346_page_2,wordwrap,
paragraph
sentence,book_en_346_page_2_1.m4a,0,
word,0,0.516797,Neema’s,en-uk_neema's.m4a,0.2,
word,0.516797,0.849432,mother,en-uk_mother.m4a,0.2,
word,0.849432,1.18345,took,en-uk_took.m4a,0.2,
word,1.18345,1.35058,her,en-uk_her.m4a,0.2,
word,1.35058,1.66678,to,en-uk_to.m4a,0.2,
word,1.66678,1.85024,the,en-uk_the.m4a,0.2,
word,1.85024,2.25027,clinic.,en-uk_clinic.m4a,0.2,
page,3,book_en_346_page_3,wordwrap,
paragraph
sentence,book_en_346_page_3_1.m4a,0,
word,0,0.433493,Neema,en-uk_neema.m4a,0.2,
word,0.433493,0.749445,told,en-uk_told.m4a,0.2,
word,0.749445,1.13344,them,en-uk_them.m4a,0.2,
word,1.13344,1.33346,her,en-uk_her.m4a,0.2,
word,1.33346,1.75025,name.,en-uk_name.m4a,0.2,
page,4,book_en_346_page_4,wordwrap,
paragraph
sentence,book_en_346_page_4_1.m4a,0,
word,0,0.433604,After,en-uk_after.m4a,0.2,
word,0.433604,0.683272,a,en-uk_a.m4a,0.2,
word,0.683272,1.11655,"while,",en-uk_while.m4a,0.2,
word,1.11655,1.69985,the,en-uk_the.m4a,0.2,
word,1.69985,2.16661,doctor,en-uk_doctor.m4a,0.2,
word,2.16661,2.51671,called,en-uk_called.m4a,0.2,
word,2.51671,2.7834,for,en-uk_for.m4a,0.2,
word,2.7834,3.25001,Neema.,en-uk_neema.m4a,0.2,
page,5,book_en_346_page_5,wordwrap,
paragraph
sentence,book_en_346_page_5_1.m4a,0,
word,0,0.466653,Neema’s,en-uk_neema's.m4a,0.2,
word,0.466653,0.816531,mother,en-uk_mother.m4a,0.2,
word,0.816531,1.16675,told,en-uk_told.m4a,0.2,
word,1.16675,1.4167,the,en-uk_the.m4a,0.2,
word,1.4167,1.88601,doctor,en-uk_doctor.m4a,0.2,
word,1.88601,2.1759,how,en-uk_how.m4a,0.2,
word,2.1759,2.39969,Neema,en-uk_neema.m4a,0.2,
word,2.39969,2.66899,was,en-uk_was.m4a,0.2,
word,2.66899,3.0832,feeling.,en-uk_feeling.m4a,0.2,
page,6,book_en_346_page_6,wordwrap,
paragraph
sentence,book_en_346_page_6_1.m4a,0,
word,0,0.300333,The,en-uk_the.m4a,0.2,
word,0.300333,0.666921,doctor,en-uk_doctor.m4a,0.2,
word,0.666921,1.1001,checked,en-uk_checked.m4a,0.2,
word,1.1001,1.45035,Neema’s,en-uk_neema's.m4a,0.2,
word,1.45035,1.91669,blood.,en-uk_blood.m4a,0.2,
page,7,book_en_346_page_7,wordwrap,
paragraph
sentence,book_en_346_page_7_1.m4a,0,
word,0,0.332946,The,en-uk_the.m4a,0.2,
word,0.332946,0.666259,doctor,en-uk_doctor.m4a,0.2,
word,0.666259,1.04961,told,en-uk_told.m4a,0.2,
word,1.04961,1.49988,Neema,en-uk_neema.m4a,0.2,
word,1.49988,1.76649,to,en-uk_to.m4a,0.2,
word,1.76649,2.03241,get,en-uk_get.m4a,0.2,
word,2.03241,2.68306,medicine.,en-uk_medicine.m4a,0.2,
page,8,book_en_346_page_8,wordwrap,
paragraph
sentence,book_en_346_page_8_1.m4a,0,
word,0,0.366593,Neema,en-uk_neema.m4a,0.2,
word,0.366593,0.68335,and,en-uk_and.m4a,0.2,
word,0.68335,0.950131,her,en-uk_her.m4a,0.2,
word,0.950131,1.25194,mother,en-uk_mother.m4a,0.2,
word,1.25194,1.50033,went,en-uk_went.m4a,0.2,
word,1.50033,1.75045,to,en-uk_to.m4a,0.2,
word,1.75045,1.98336,the,en-uk_the.m4a,0.2,
word,1.98336,2.18357,medicine,en-uk_medicine.m4a,0.2,
word,2.18357,2.76679,window.,en-uk_window.m4a,0.2,
page,9,book_en_346_page_9,wordwrap,
paragraph
sentence,book_en_346_page_9_1.m4a,0,
word,0,0.38339,Neema,en-uk_neema.m4a,0.2,
word,0.38339,0.716483,felt,en-uk_felt.m4a,0.2,
word,0.716483,1.28325,better,en-uk_better.m4a,0.2,
word,1.28325,1.53319,a,en-uk_a.m4a,0.2,
word,1.53319,1.91687,few,en-uk_few.m4a,0.2,
word,1.91687,2.16652,days,en-uk_days.m4a,0.2,
word,2.16652,2.8666,later.,en-uk_later.m4a,0.2,
