title,Kelvin and Baba,book_en_349_page_0_1.m4a,book_en_349_page_0,landscape,audio,
page,1,book_en_349_page_1,wordwrap,
paragraph
sentence,book_en_349_page_1_1.m4a,0,
word,0,0.4,Kelvin,en-uk_kelvin.m4a,0.2,
word,0.4,0.8,wants,en-uk_wants.m4a,0.2,
word,0.8,1,to,en-uk_to.m4a,0.2,
word,1,1.1,be,en-uk_be.m4a,0.2,
word,1.1,1.5,like,en-uk_like.m4a,0.2,
word,1.5,2,Baba.,en-uk_baba.m4a,0.2,
page,2,book_en_349_page_2,wordwrap,
paragraph
sentence,book_en_349_page_2_1.m4a,0,
word,0,0.416605,Kelvin,en-uk_kelvin.m4a,0.2,
word,0.416605,0.71448,and,en-uk_and.m4a,0.2,
word,0.71448,0.916055,Baba,en-uk_baba.m4a,0.2,
word,0.916055,1.30019,wake,en-uk_wake.m4a,0.2,
word,1.30019,1.51604,up,en-uk_up.m4a,0.2,
word,1.51604,1.88312,with,en-uk_with.m4a,0.2,
word,1.88312,2.14983,the,en-uk_the.m4a,0.2,
word,2.14983,2.52408,sun.,en-uk_sun.m4a,0.2,
page,3,book_en_349_page_3,wordwrap,
paragraph
sentence,book_en_349_page_3_1.m4a,0,
word,0,0.7,Baba,en-uk_baba.m4a,0.2,
word,0.7,0.9,washes,en-uk_washes.m4a,0.2,
word,0.9,1.1,his,en-uk_his.m4a,0.2,
word,1.1,1.4,face.,en-uk_face.m4a,0.2,
sentence,book_en_349_page_3_2.m4a,2.80785,
word,0,0.583178,Kelvin,en-uk_kelvin.m4a,0.2,
word,0.583178,1.00032,"does,",en-uk_does.m4a,0.2,
word,1.00032,1.4339,too.,en-uk_too.m4a,0.2,
page,4,book_en_349_page_4,wordwrap,
paragraph
sentence,book_en_349_page_4_1.m4a,0,
word,0,0.516331,Baba,en-uk_baba.m4a,0.2,
word,0.516331,0.916222,drinks,en-uk_drinks.m4a,0.2,
word,0.916222,1.36639,chai.,en-uk_chai.m4a,0.2,
sentence,book_en_349_page_4_2.m4a,2.54113,
word,0,0.466635,Kelvin,en-uk_kelvin.m4a,0.2,
word,0.466635,0.833243,"does,",en-uk_does.m4a,0.2,
word,0.833243,1.16687,too.,en-uk_too.m4a,0.2,
page,5,book_en_349_page_5,wordwrap,
paragraph
sentence,book_en_349_page_5_1.m4a,0,
word,0,0.3,Baba,en-uk_baba.m4a,0.2,
word,0.3,0.9,works,en-uk_works.m4a,0.2,
word,0.9,1.1,all,en-uk_all.m4a,0.2,
word,1.1,1.4,day.,en-uk_day.m4a,0.2,
sentence,book_en_349_page_5_2.m4a,2.9363,
word,0,0.433193,Kelvin,en-uk_kelvin.m4a,0.2,
word,0.433193,0.783242,"does,",en-uk_does.m4a,0.2,
word,0.783242,1.2499,too.,en-uk_too.m4a,0.2,
page,6,book_en_349_page_6,wordwrap,
paragraph
sentence,book_en_349_page_6_1.m4a,0,
word,0,0.3,Baba,en-uk_baba.m4a,0.2,
word,0.3,0.5,and,en-uk_and.m4a,0.2,
word,0.5,1,Kelvin,en-uk_kelvin.m4a,0.2,
word,1,1.3,watch,en-uk_watch.m4a,0.2,
word,1.3,1.6,the,en-uk_the.m4a,0.2,
word,1.6,2,sun,en-uk_sun.m4a,0.2,
word,2,2.1,go,en-uk_go.m4a,0.2,
word,2.1,2.3,down.,en-uk_down.m4a,0.2,
page,7,book_en_349_page_7,wordwrap,
paragraph
sentence,book_en_349_page_7_1.m4a,0,
word,0,0.2,“We,en-uk_we.m4a,0.2,
word,0.2,0.4,had,en-uk_had.m4a,0.2,
word,0.4,0.5,a,en-uk_a.m4a,0.2,
word,0.5,0.7,good,en-uk_good.m4a,0.2,
word,0.7,1,"day,”",en-uk_day.m4a,0.2,
sentence,book_en_349_page_7_2.m4a,2.46091,
word,0,0.4,says,en-uk_says.m4a,0.2,
word,0.4,0.7,Baba.,en-uk_baba.m4a,0.2,
