title,Priya Helps Her Friends,book_en_350_page_0_1.m4a,book_en_350_page_0,portrait,audio,
page,1,book_en_350_page_1,wordwrap,
paragraph
sentence,book_en_350_page_1_1.m4a,0,
word,0,0.4,Priya,en-uk_neema.m4a,0.2,
word,0.4,0.6,was,en-uk_was.m4a,0.2,
word,0.6,1.1,very,en-uk_very.m4a,0.2,
word,1.1,1.4,happy.,en-uk_happy.m4a,0.2,
sentence,book_en_350_page_1_2.m4a,2.8732,
word,0,0.266225,It,en-uk_it.m4a,0.2,
word,0.266225,0.533177,was,en-uk_was.m4a,0.2,
word,0.533177,0.699815,the,en-uk_the.m4a,0.2,
word,0.699815,0.966512,last,en-uk_last.m4a,0.2,
word,0.966512,1.25599,day,en-uk_day.m4a,0.2,
word,1.25599,1.46666,of,en-uk_of.m4a,0.2,
word,1.46666,1.9498,school.,en-uk_school.m4a,0.2,
page,2,book_en_350_page_2,wordwrap,
paragraph
sentence,book_en_350_page_2_1.m4a,0,
word,0,0.316559,The,en-uk_the.m4a,0.2,
word,0.316559,0.783296,teacher,en-uk_teacher.m4a,0.2,
word,0.783296,1.05006,told,en-uk_told.m4a,0.2,
word,1.05006,1.28285,the,en-uk_the.m4a,0.2,
word,1.28285,1.7497,students,en-uk_students.m4a,0.2,
word,1.7497,2.01647,to,en-uk_to.m4a,0.2,
word,2.01647,2.58333,clean.,en-uk_clean.m4a,0.2,
page,3,book_en_350_page_3,wordwrap,
paragraph
sentence,book_en_350_page_3_1.m4a,0,
word,2.25566e-05,0.600098,Priya,en-uk_neema.m4a,0.2,
word,0.600098,1.03329,cleaned,en-uk_cleaned.m4a,0.2,
word,1.03329,1.46662,very,en-uk_very.m4a,0.2,
word,1.46662,2.15013,fast,en-uk_fast.m4a,0.2,
word,2.15013,2.50005,so,en-uk_so.m4a,0.2,
word,2.50005,2.73328,she,en-uk_she.m4a,0.2,
word,2.73328,2.96665,could,en-uk_could.m4a,0.2,
word,2.96665,3.23331,go,en-uk_go.m4a,0.2,
word,3.23331,3.54961,play,en-uk_play.m4a,0.2,
word,3.54961,3.73332,with,en-uk_with.m4a,0.2,
word,3.73332,3.9001,her,en-uk_her.m4a,0.2,
word,3.9001,4.3854,friends.,en-uk_friends.m4a,0.2,
page,4,book_en_350_page_4,wordwrap,
paragraph
sentence,book_en_350_page_4_1.m4a,0,
word,0,0.383024,She,en-uk_she.m4a,0.2,
word,0.383024,0.716504,saw,en-uk_saw.m4a,0.2,
word,0.716504,1.16666,Khushboo,en-uk_salma.m4a,0.2,
word,1.16666,1.40036,was,en-uk_was.m4a,0.2,
word,1.40036,1.70241,still,en-uk_still.m4a,0.2,
word,1.70241,2.3667,cleaning.,en-uk_cleaning.m4a,0.2,
sentence,book_en_350_page_4_2.m4a,3.40184,
word,0,0.2,She,en-uk_she.m4a,0.2,
word,0.2,0.7,asked,en-uk_asked.m4a,0.2,
word,0.7,1.1,"Khushboo,",en-uk_salma.m4a,0.2,
sentence,book_en_350_page_4_3.m4a,5.89637,
word,0,0.3,“Do,en-uk_do.m4a,0.2,
word,0.3,0.5,you,en-uk_you.m4a,0.2,
word,0.5,0.8,want,en-uk_want.m4a,0.2,
word,0.8,1,help?”,en-uk_help.m4a,0.2,
page,5,book_en_350_page_5,wordwrap,
paragraph
sentence,book_en_350_page_5_1.m4a,0,
word,0,0.5,Khushboo,en-uk_salma.m4a,0.2,
word,0.5,0.8,said,en-uk_said.m4a,0.2,
word,0.8,1.4,“yes.”,en-uk_yes.m4a,0.2,
sentence,book_en_350_page_5_2.m4a,2.75544,
word,0,0.333118,When,en-uk_when.m4a,0.2,
word,0.333118,0.532677,they,en-uk_they.m4a,0.2,
word,0.532677,0.766472,were,en-uk_were.m4a,0.2,
word,0.766472,1.13329,done,en-uk_done.m4a,0.2,
word,1.13329,1.79921,"cleaning,",en-uk_cleaning.m4a,0.2,
word,1.79921,2.29973,Khushboo,en-uk_salma.m4a,0.2,
word,2.29973,2.73325,"said,",en-uk_said.m4a,0.2,
sentence,book_en_350_page_5_3.m4a,6.56351,
word,0,0.4,“Thank,en-uk_thank.m4a,0.2,
word,0.4,0.7,"you,",en-uk_you.m4a,0.2,
word,0.7,1.1,Priya.”,en-uk_neema.m4a,0.2,
page,6,book_en_350_page_6,wordwrap,
paragraph
sentence,book_en_350_page_6_1.m4a,0,
word,0,0.667384,Priya,en-uk_neema.m4a,0.2,
word,0.667384,1.19009,"said,",en-uk_said.m4a,0.2,
sentence,book_en_350_page_6_2.m4a,2.19009,
word,0,0.583001,“I,en-uk_i.m4a,0.2,
word,0.583001,0.749964,think,en-uk_think.m4a,0.2,
word,0.749964,0.916747,it,en-uk_it.m4a,0.2,
word,0.916747,1.06667,will,en-uk_will.m4a,0.2,
word,1.06667,1.23319,be,en-uk_be.m4a,0.2,
word,1.23319,1.53666,good,en-uk_good.m4a,0.2,
word,1.53666,1.68327,to,en-uk_to.m4a,0.2,
word,1.68327,1.86639,help,en-uk_help.m4a,0.2,
word,1.86639,2.41648,Pinki,en-uk_flora.m4a,0.2,
word,2.41648,2.84984,too.”,en-uk_too.m4a,0.2,
sentence,book_en_350_page_6_3.m4a,6.13315,
word,0,0.316235,They,en-uk_they.m4a,0.2,
word,0.316235,0.583272,went,en-uk_went.m4a,0.2,
word,0.583272,0.732996,to,en-uk_to.m4a,0.2,
word,0.732996,1.13341,help,en-uk_help.m4a,0.2,
word,1.13341,1.63332,Pinki.,en-uk_flora.m4a,0.2,
page,7,book_en_350_page_7,wordwrap,
paragraph
sentence,book_en_350_page_7_1.m4a,0,
word,0,0.48362,After,en-uk_after.m4a,0.2,
word,0.48362,0.750049,they,en-uk_they.m4a,0.2,
word,0.750049,0.916651,were,en-uk_were.m4a,0.2,
word,0.916651,1.16643,done,en-uk_done.m4a,0.2,
word,1.16643,2.01682,"cleaning,",en-uk_cleaning.m4a,0.2,
word,2.01682,2.36659,they,en-uk_they.m4a,0.2,
word,2.36659,2.61659,all,en-uk_all.m4a,0.2,
word,2.61659,2.84993,went,en-uk_went.m4a,0.2,
word,2.84993,3.05011,to,en-uk_to.m4a,0.2,
word,3.05011,3.31679,the,en-uk_the.m4a,0.2,
word,3.31679,3.58337,field,en-uk_field.m4a,0.2,
word,3.58337,3.85007,to,en-uk_to.m4a,0.2,
word,3.85007,4.33301,play.,en-uk_play.m4a,0.2,
page,8,book_en_350_page_8,wordwrap,
paragraph
sentence,book_en_350_page_8_1.m4a,0,
word,0,0.5,Priya,en-uk_neema.m4a,0.2,
word,0.5,0.6,and,en-uk_and.m4a,0.2,
word,0.6,0.8,her,en-uk_her.m4a,0.2,
word,0.8,1.3,friends,en-uk_friends.m4a,0.2,
word,1.3,1.5,were,en-uk_were.m4a,0.2,
word,1.5,1.9,happy,en-uk_happy.m4a,0.2,
word,1.9,2.3,because,en-uk_because.m4a,0.2,
word,2.3,2.8,they,en-uk_they.m4a,0.2,
word,2.8,3.3,helped,en-uk_helped.m4a,0.2,
word,3.3,3.5,each,en-uk_each.m4a,0.2,
word,3.5,3.8,other,en-uk_other.m4a,0.2,
word,3.8,4.1,clean.,en-uk_clean.m4a,0.2,
