title,Growing Food,book_en_352_page_0_1.m4a,book_en_352_page_0,portrait,audio,
page,1,book_en_352_page_1,wordwrap,
paragraph
sentence,book_en_352_page_1_1.m4a,0,
word,0,0.433386,Some,en-uk_some.m4a,0.2,
word,0.433386,0.783377,food,en-uk_food.m4a,0.2,
word,0.783377,1.11673,grows,en-uk_grows.m4a,0.2,
word,1.11673,1.33324,on,en-uk_on.m4a,0.2,
word,1.33324,2.00061,trees.,en-uk_trees.m4a,0.2,
page,2,book_en_352_page_2,wordwrap,
paragraph
sentence,book_en_352_page_2_1.m4a,0,
word,0,0.433235,Some,en-uk_some.m4a,0.2,
word,0.433235,0.782955,food,en-uk_food.m4a,0.2,
word,0.782955,1.16627,grows,en-uk_grows.m4a,0.2,
word,1.16627,1.41629,from,en-uk_from.m4a,0.2,
word,1.41629,1.61615,the,en-uk_the.m4a,0.2,
word,1.61615,2.18289,ground.,en-uk_ground.m4a,0.2,
page,3,book_en_352_page_3,wordwrap,
paragraph
sentence,book_en_352_page_3_1.m4a,0,
word,0,0.333661,These,en-uk_these.m4a,0.2,
word,0.333661,0.55015,are,en-uk_are.m4a,0.2,
word,0.55015,1.35062,bananas.,en-uk_bananas.m4a,0.2,
sentence,book_en_352_page_3_2.m4a,2.36265,
word,0,0.566562,Bananas,en-uk_bananas.m4a,0.2,
word,0.566562,0.833152,grow,en-uk_grow.m4a,0.2,
word,0.833152,1.06665,in,en-uk_in.m4a,0.2,
word,1.06665,1.41671,big,en-uk_big.m4a,0.2,
word,1.41671,1.83318,bunches,en-uk_bunches.m4a,0.2,
word,1.83318,1.98332,on,en-uk_on.m4a,0.2,
word,1.98332,2.68374,trees.,en-uk_trees.m4a,0.2,
page,4,book_en_352_page_4,wordwrap,
paragraph
sentence,book_en_352_page_4_1.m4a,0,
word,0,0.383315,These,en-uk_these.m4a,0.2,
word,0.383315,0.616777,are,en-uk_are.m4a,0.2,
word,0.616777,1.51691,watermelons.,en-uk_watermelons.m4a,0.2,
sentence,book_en_352_page_4_2.m4a,2.51605,
word,0,0.783276,Watermelons,en-uk_watermelons.m4a,0.2,
word,0.783276,1.01652,are,en-uk_are.m4a,0.2,
word,1.01652,1.34991,big,en-uk_big.m4a,0.2,
word,1.34991,1.58279,and,en-uk_and.m4a,0.2,
word,1.58279,1.9497,grow,en-uk_grow.m4a,0.2,
word,1.9497,2.08312,on,en-uk_on.m4a,0.2,
word,2.08312,2.2163,the,en-uk_the.m4a,0.2,
word,2.2163,2.88295,ground.,en-uk_ground.m4a,0.2,
page,5,book_en_352_page_5,wordwrap,
paragraph
sentence,book_en_352_page_5_1.m4a,0,
word,0,0.400162,These,en-uk_these.m4a,0.2,
word,0.400162,0.633286,are,en-uk_are.m4a,0.2,
word,0.633286,1.34998,grains.,en-uk_grains.m4a,0.2,
sentence,book_en_352_page_5_2.m4a,2.44658,
word,0,0.433219,Grains,en-uk_grains.m4a,0.2,
word,0.433219,0.916675,sometimes,en-uk_sometimes.m4a,0.2,
word,0.916675,1.24994,grow,en-uk_grow.m4a,0.2,
word,1.24994,1.49974,tall,en-uk_tall.m4a,0.2,
word,1.49974,1.96654,like,en-uk_like.m4a,0.2,
word,1.96654,2.66616,grass.,en-uk_grass.m4a,0.2,
page,6,book_en_352_page_6,wordwrap,
paragraph
sentence,book_en_352_page_6_1.m4a,0,
word,0,0.39968,Many,en-uk_many.m4a,0.2,
word,0.39968,0.749827,foods,en-uk_foods.m4a,0.2,
word,0.749827,1.14991,change,en-uk_change.m4a,0.2,
word,1.14991,1.64981,colors,en-uk_colors.m4a,0.2,
word,1.64981,1.88311,when,en-uk_when.m4a,0.2,
word,1.88311,2.06625,they,en-uk_they.m4a,0.2,
word,2.06625,2.28293,are,en-uk_are.m4a,0.2,
word,2.28293,2.54977,ready,en-uk_ready.m4a,0.2,
word,2.54977,2.66654,to,en-uk_to.m4a,0.2,
word,2.66654,3.01317,eat.,en-uk_eat.m4a,0.2,
page,7,book_en_352_page_7,wordwrap,
paragraph
sentence,book_en_352_page_7_1.m4a,0,
word,0,0.482956,Food,en-uk_food.m4a,0.2,
word,0.482956,0.699551,that,en-uk_that.m4a,0.2,
word,0.699551,1.16629,grows,en-uk_grows.m4a,0.2,
word,1.16629,1.36584,is,en-uk_is.m4a,0.2,
word,1.36584,1.56662,good,en-uk_good.m4a,0.2,
word,1.56662,1.74981,for,en-uk_for.m4a,0.2,
word,1.74981,2.19832,you!,en-uk_you.m4a,0.2,
sentence,book_en_352_page_7_2.m4a,3.19832,
word,0,0.266397,Do,en-uk_do.m4a,0.2,
word,0.266397,0.433191,you,en-uk_you.m4a,0.2,
word,0.433191,0.69983,like,en-uk_like.m4a,0.2,
word,0.69983,1.06658,foods,en-uk_foods.m4a,0.2,
word,1.06658,1.21649,like,en-uk_like.m4a,0.2,
word,1.21649,1.91829,these?,en-uk_these.m4a,0.2,
