title,A Home for Bug,book_en_353_page_0_1.m4a,book_en_353_page_0,landscape,audio,
page,1,book_en_353_page_1,wordwrap,
paragraph
sentence,book_en_353_page_1_1.m4a,0,
word,0,0.5,Vishal,en-uk_simon.m4a,0.2,
word,0.5,1,likes,en-uk_likes.m4a,0.2,
word,1,1.2,to,en-uk_to.m4a,0.2,
word,1.2,1.5,dig.,en-uk_dig.m4a,0.2,
sentence,book_en_353_page_1_2.m4a,2.78934,
word,0,0.366888,Bug,en-uk_bug.m4a,0.2,
word,0.366888,0.866474,crawls,en-uk_crawls.m4a,0.2,
word,0.866474,1.23354,on,en-uk_on.m4a,0.2,
word,1.23354,1.50001,his,en-uk_his.m4a,0.2,
word,1.50001,2.0002,leg.,en-uk_leg.m4a,0.2,
page,2,book_en_353_page_2,wordwrap,
paragraph
sentence,book_en_353_page_2_1.m4a,0,
word,0,0.549762,Vishal,en-uk_simon.m4a,0.2,
word,0.549762,0.966676,digs,en-uk_digs.m4a,0.2,
word,0.966676,1.16655,a,en-uk_a.m4a,0.2,
word,1.16655,1.61629,hole.,en-uk_hole.m4a,0.2,
sentence,book_en_353_page_2_2.m4a,2.7227,
word,0,0.2,He,en-uk_he.m4a,0.2,
word,0.2,0.5,"says,",en-uk_says.m4a,0.2,
sentence,book_en_353_page_2_3.m4a,4.56308,
word,0,0.466535,“This,en-uk_this.m4a,0.2,
word,0.466535,0.770298,is,en-uk_is.m4a,0.2,
word,0.770298,1.09977,your,en-uk_your.m4a,0.2,
word,1.09977,1.56604,home.”,en-uk_home.m4a,0.2,
page,3,book_en_353_page_3,wordwrap,
paragraph
sentence,book_en_353_page_3_1.m4a,0,
word,0,0.3,Some,en-uk_some.m4a,0.2,
word,0.3,0.6,boys,en-uk_boys.m4a,0.2,
word,0.6,1,play,en-uk_play.m4a,0.2,
word,1,1.2,football,en-uk_football.m4a,0.2,
word,1.2,1.7,near,en-uk_near.m4a,0.2,
word,1.7,2,the,en-uk_the.m4a,0.2,
word,2,2.3,hole.,en-uk_hole.m4a,0.2,
page,4,book_en_353_page_4,wordwrap,
paragraph
sentence,book_en_353_page_4_1.m4a,0,
word,0,0.1,The,en-uk_the.m4a,0.2,
word,0.1,0.4,ball,en-uk_ball.m4a,0.2,
word,0.4,1,rolls,en-uk_rolls.m4a,0.2,
word,1,1.2,over,en-uk_over.m4a,0.2,
word,1.2,1.5,the,en-uk_the.m4a,0.2,
word,1.5,1.8,hole!,en-uk_hole.m4a,0.2,
sentence,book_en_353_page_4_2.m4a,3.30168,
word,0,0.449376,Bug,en-uk_bug.m4a,0.2,
word,0.449376,0.666546,is,en-uk_is.m4a,0.2,
word,0.666546,1.59959,afraid.,en-uk_afraid.m4a,0.2,
page,5,book_en_353_page_5,wordwrap,
paragraph
sentence,book_en_353_page_5_1.m4a,0,
word,0.18372,0.700251,Vishal,en-uk_simon.m4a,0.2,
word,0.700251,1.06649,digs,en-uk_digs.m4a,0.2,
word,1.06649,1.29986,a,en-uk_a.m4a,0.2,
word,1.29986,1.60224,new,en-uk_new.m4a,0.2,
word,1.60224,1.94974,hole,en-uk_hole.m4a,0.2,
word,1.94974,2.33316,behind,en-uk_behind.m4a,0.2,
word,2.33316,2.53321,a,en-uk_a.m4a,0.2,
word,2.53321,3.08335,tree.,en-uk_tree.m4a,0.2,
page,6,book_en_353_page_6,wordwrap,
paragraph
sentence,book_en_353_page_6_1.m4a,0,
word,0,0.3,“You,en-uk_you.m4a,0.2,
word,0.3,0.5,will,en-uk_will.m4a,0.2,
word,0.5,0.6,be,en-uk_be.m4a,0.2,
word,0.6,1.1,safe,en-uk_safe.m4a,0.2,
word,1.1,1.5,"here,”",en-uk_here.m4a,0.2,
sentence,book_en_353_page_6_2.m4a,2.73156,
word,0,0.5,Vishal,en-uk_simon.m4a,0.2,
word,0.5,0.7,tells,en-uk_tells.m4a,0.2,
word,0.7,1.1,Bug.,en-uk_bug.m4a,0.2,
page,7,book_en_353_page_7,wordwrap,
paragraph
sentence,book_en_353_page_7_1.m4a,0,
word,0,0.349659,Bug,en-uk_bug.m4a,0.2,
word,0.349659,0.651305,is,en-uk_is.m4a,0.2,
word,0.651305,1.18299,snug,en-uk_snug.m4a,0.2,
word,1.18299,1.49322,in,en-uk_in.m4a,0.2,
word,1.49322,1.74953,his,en-uk_his.m4a,0.2,
word,1.74953,2.06791,new,en-uk_new.m4a,0.2,
word,2.06791,2.53331,home.,en-uk_home.m4a,0.2,
sentence,book_en_353_page_7_2.m4a,3.64728,
word,0,0.5,Vishal,en-uk_simon.m4a,0.2,
word,0.5,1.1,likes,en-uk_likes.m4a,0.2,
word,1.1,1.5,bug.,en-uk_bug.m4a,0.2,
page,8,book_en_353_page_8,wordwrap,
paragraph
sentence,book_en_353_page_8_1.m4a,0,
word,0,0.5,Vishal,en-uk_simon.m4a,0.2,
word,0.5,0.9,kicks,en-uk_kicks.m4a,0.2,
word,0.9,1.2,the,en-uk_the.m4a,0.2,
word,1.2,1.4,ball.,en-uk_ball.m4a,0.2,
sentence,book_en_353_page_8_2.m4a,2.90442,
word,0,0.316301,He,en-uk_he.m4a,0.2,
word,0.316301,0.666667,likes,en-uk_likes.m4a,0.2,
word,0.666667,0.916375,to,en-uk_to.m4a,0.2,
word,0.916375,1.18319,play,en-uk_play.m4a,0.2,
word,1.18319,1.7666,"football,",en-uk_football.m4a,0.2,
word,1.7666,2.51626,too!,en-uk_too.m4a,0.2,
