title,Learn About the Senses,book_en_354_page_0_1.m4a,book_en_354_page_0,portrait,audio,
page,1,book_en_354_page_1,wordwrap,
paragraph
sentence,book_en_354_page_1_1.m4a,0,
word,0,0.283425,We,en-uk_we.m4a,0.2,
word,0.283425,0.533289,have,en-uk_have.m4a,0.2,
word,0.533289,0.983445,five,en-uk_five.m4a,0.2,
word,0.983445,1.73359,senses.,en-uk_senses.m4a,0.2,
sentence,book_en_354_page_1_2.m4a,2.72932,
word,0,0.282923,Our,en-uk_our.m4a,0.2,
word,0.282923,0.717046,senses,en-uk_senses.m4a,0.2,
word,0.717046,1.08284,help,en-uk_help.m4a,0.2,
word,1.08284,1.34968,us,en-uk_us.m4a,0.2,
word,1.34968,2.01618,understand,en-uk_understand.m4a,0.2,
word,2.01618,2.26599,the,en-uk_the.m4a,0.2,
word,2.26599,2.61622,world,en-uk_world.m4a,0.2,
word,2.61622,3.28776,better.,en-uk_better.m4a,0.2,
page,2,book_en_354_page_2,wordwrap,
paragraph
sentence,book_en_354_page_2_1.m4a,0,
word,0,0.483428,Sight,en-uk_sight.m4a,0.2,
word,0.483428,0.816749,is,en-uk_is.m4a,0.2,
word,0.816749,1.03332,one,en-uk_one.m4a,0.2,
word,1.03332,1.21655,of,en-uk_of.m4a,0.2,
word,1.21655,1.40036,the,en-uk_the.m4a,0.2,
word,1.40036,2.03339,senses.,en-uk_senses.m4a,0.2,
sentence,book_en_354_page_2_2.m4a,2.98628,
word,0,0.283094,I,en-uk_i.m4a,0.2,
word,0.283094,0.549503,use,en-uk_use.m4a,0.2,
word,0.549503,0.733125,my,en-uk_my.m4a,0.2,
word,0.733125,1.29999,eyes,en-uk_eyes.m4a,0.2,
word,1.29999,1.4496,to,en-uk_to.m4a,0.2,
word,1.4496,1.70003,see,en-uk_see.m4a,0.2,
word,1.70003,2.3501,things.,en-uk_things.m4a,0.2,
page,3,book_en_354_page_3,wordwrap,
paragraph
sentence,book_en_354_page_3_1.m4a,0,
word,0,0.433251,Taste,en-uk_taste.m4a,0.2,
word,0.433251,0.683197,is,en-uk_is.m4a,0.2,
word,0.683197,0.833155,one,en-uk_one.m4a,0.2,
word,0.833155,1.03334,of,en-uk_of.m4a,0.2,
word,1.03334,1.24995,the,en-uk_the.m4a,0.2,
word,1.24995,1.99961,senses.,en-uk_senses.m4a,0.2,
sentence,book_en_354_page_3_2.m4a,2.94465,
word,0,0.283376,I,en-uk_i.m4a,0.2,
word,0.283376,0.550167,use,en-uk_use.m4a,0.2,
word,0.550167,0.8168,my,en-uk_my.m4a,0.2,
word,0.8168,1.31668,tongue,en-uk_tongue.m4a,0.2,
word,1.31668,1.49967,to,en-uk_to.m4a,0.2,
word,1.49967,1.73288,taste,en-uk_taste.m4a,0.2,
word,1.73288,2.46678,things.,en-uk_things.m4a,0.2,
page,4,book_en_354_page_4,wordwrap,
paragraph
sentence,book_en_354_page_4_1.m4a,0,
word,0,0.416333,Touch,en-uk_touch.m4a,0.2,
word,0.416333,0.749651,is,en-uk_is.m4a,0.2,
word,0.749651,0.882342,one,en-uk_one.m4a,0.2,
word,0.882342,1.01967,of,en-uk_of.m4a,0.2,
word,1.01967,1.23237,the,en-uk_the.m4a,0.2,
word,1.23237,1.93297,senses.,en-uk_senses.m4a,0.2,
sentence,book_en_354_page_4_2.m4a,2.96735,
word,0,0.249637,I,en-uk_i.m4a,0.2,
word,0.249637,0.46635,use,en-uk_use.m4a,0.2,
word,0.46635,0.615925,my,en-uk_my.m4a,0.2,
word,0.615925,0.966417,hands,en-uk_hands.m4a,0.2,
word,0.966417,1.18283,to,en-uk_to.m4a,0.2,
