title,How Many Legs?,book_en_403_page_0_1.m4a,book_en_403_page_0,landscape,audio,
page,1,book_en_403_page_1,wordwrap,
paragraph
sentence,book_en_403_page_1_1.m4a,0,
word,0,0.287892,The,en-uk_the.m4a,0.2,
word,0.287892,0.967477,boy,en-uk_boy.m4a,0.2,
word,0.967477,1.31849,has,en-uk_has.m4a,0.2,
word,1.31849,1.95309,two,en-uk_two.m4a,0.2,
word,1.95309,2.74206,arms.,en-uk_arms.m4a,0.2,
sentence,book_en_403_page_1_2.m4a,3.74206,
word,0,0.576708,How,en-uk_how.m4a,0.2,
word,0.576708,0.887936,many,en-uk_many.m4a,0.2,
word,0.887936,1.49373,legs,en-uk_legs.m4a,0.2,
word,1.49373,1.68693,does,en-uk_does.m4a,0.2,
word,1.68693,1.88516,he,en-uk_he.m4a,0.2,
word,1.88516,2.2422,have?,en-uk_have.m4a,0.2,
page,2,book_en_403_page_2,wordwrap,
paragraph
sentence,book_en_403_page_2_1.m4a,0,
word,0,0.54348,This,en-uk_this.m4a,0.2,
word,0.54348,1.40106,kitten,en-uk_kitten.m4a,0.2,
word,1.40106,1.68597,has,en-uk_has.m4a,0.2,
word,1.68597,2.40316,four,en-uk_four.m4a,0.2,
word,2.40316,2.97508,legs.,en-uk_legs.m4a,0.2,
sentence,book_en_403_page_2_2.m4a,3.97508,
word,0,0.509047,Who,en-uk_who.m4a,0.2,
word,0.509047,0.909047,has,en-uk_has.m4a,0.2,
word,0.909047,1.36951,more,en-uk_more.m4a,0.2,
word,1.36951,2.15337,"legs,",en-uk_legs.m4a,0.2,
word,2.15337,2.52323,the,en-uk_the.m4a,0.2,
word,2.52323,2.9602,boy,en-uk_boy.m4a,0.2,
word,2.9602,3.75343,or,en-uk_or.m4a,0.2,
word,3.75343,3.89646,the,en-uk_the.m4a,0.2,
word,3.89646,4.38179,kitten?,en-uk_kitten.m4a,0.2,
page,3,book_en_403_page_3,wordwrap,
paragraph
sentence,book_en_403_page_3_1.m4a,0,
word,0,0.50242,These,en-uk_these.m4a,0.2,
word,0.50242,0.976203,two,en-uk_two.m4a,0.2,
word,0.976203,1.62746,fish,en-uk_fish.m4a,0.2,
word,1.62746,1.82886,do,en-uk_do.m4a,0.2,
word,1.82886,2.32864,not,en-uk_not.m4a,0.2,
word,2.32864,2.57972,have,en-uk_have.m4a,0.2,
word,2.57972,3.17433,legs.,en-uk_legs.m4a,0.2,
sentence,book_en_403_page_3_2.m4a,4.17433,
word,0,0.675548,Fish,en-uk_fish.m4a,0.2,
word,0.675548,0.925315,can,en-uk_can.m4a,0.2,
word,0.925315,1.73437,swim,en-uk_swim.m4a,0.2,
word,1.73437,2.19462,without,en-uk_without.m4a,0.2,
word,2.19462,2.88186,legs!,en-uk_legs.m4a,0.2,
page,4,book_en_403_page_4,wordwrap,
paragraph
sentence,book_en_403_page_4_1.m4a,0,
word,0,0.497575,One,en-uk_one.m4a,0.2,
word,0.497575,1.10782,lion,en-uk_lion.m4a,0.2,
word,1.10782,1.79165,has,en-uk_has.m4a,0.2,
word,1.79165,2.47585,four,en-uk_four.m4a,0.2,
word,2.47585,3.15714,legs.,en-uk_legs.m4a,0.2,
sentence,book_en_403_page_4_2.m4a,4.15714,
word,0,0.450538,How,en-uk_how.m4a,0.2,
word,0.450538,0.807762,many,en-uk_many.m4a,0.2,
word,0.807762,1.44335,legs,en-uk_legs.m4a,0.2,
word,1.44335,1.64524,do,en-uk_do.m4a,0.2,
word,1.64524,2.18467,two,en-uk_two.m4a,0.2,
word,2.18467,2.70224,lions,en-uk_lions.m4a,0.2,
word,2.70224,3.09814,have?,en-uk_have.m4a,0.2,
page,5,book_en_403_page_5,wordwrap,
paragraph
sentence,book_en_403_page_5_1.m4a,0,
word,0,0.676693,These,en-uk_these.m4a,0.2,
word,0.676693,1.04199,four,en-uk_four.m4a,0.2,
word,1.04199,1.86932,birds,en-uk_birds.m4a,0.2,
word,1.86932,2.24296,have,en-uk_have.m4a,0.2,
word,2.24296,2.6098,two,en-uk_two.m4a,0.2,
word,2.6098,3.05159,legs,en-uk_legs.m4a,0.2,
word,3.05159,3.71113,each.,en-uk_each.m4a,0.2,
sentence,book_en_403_page_5_2.m4a,4.71113,
word,0,0.509277,How,en-uk_how.m4a,0.2,
word,0.509277,0.977168,many,en-uk_many.m4a,0.2,
word,0.977168,1.52676,legs,en-uk_legs.m4a,0.2,
word,1.52676,1.67876,do,en-uk_do.m4a,0.2,
word,1.67876,1.8364,they,en-uk_they.m4a,0.2,
word,1.8364,2.18658,have,en-uk_have.m4a,0.2,
word,2.18658,2.34597,in,en-uk_in.m4a,0.2,
word,2.34597,3.04961,all?,en-uk_all.m4a,0.2,
page,6,book_en_403_page_6,wordwrap,
paragraph
sentence,book_en_403_page_6_1.m4a,0,
word,0,1.05924,Snakes,en-uk_snakes.m4a,0.2,
word,1.05924,1.29489,can,en-uk_can.m4a,0.2,
word,1.29489,1.93634,move,en-uk_move.m4a,0.2,
word,1.93634,2.45992,without,en-uk_without.m4a,0.2,
word,2.45992,2.84151,any,en-uk_any.m4a,0.2,
word,2.84151,3.51844,legs.,en-uk_legs.m4a,0.2,
sentence,book_en_403_page_6_2.m4a,4.51844,
word,0,0.556728,How,en-uk_how.m4a,0.2,
word,0.556728,0.867536,many,en-uk_many.m4a,0.2,
word,0.867536,1.73446,snakes,en-uk_snakes.m4a,0.2,
word,1.73446,2.03248,are,en-uk_are.m4a,0.2,
word,2.03248,2.3227,there?,en-uk_there.m4a,0.2,
page,7,book_en_403_page_7,wordwrap,
paragraph
sentence,book_en_403_page_7_1.m4a,0,
word,0,0.673584,Three,en-uk_three.m4a,0.2,
word,0.673584,1.45076,giraffes,en-uk_giraffes.m4a,0.2,
word,1.45076,1.67599,have,en-uk_have.m4a,0.2,
word,1.67599,2.2774,lots,en-uk_lots.m4a,0.2,
word,2.2774,2.44562,of,en-uk_of.m4a,0.2,
word,2.44562,2.98077,legs!,en-uk_legs.m4a,0.2,
sentence,book_en_403_page_7_2.m4a,3.98077,
word,0,0.349669,Can,en-uk_can.m4a,0.2,
word,0.349669,0.592672,you,en-uk_you.m4a,0.2,
word,0.592672,0.865302,count,en-uk_count.m4a,0.2,
word,0.865302,1.19466,them,en-uk_them.m4a,0.2,
word,1.19466,1.73127,all?,en-uk_all.m4a,0.2,
page,8,book_en_403_page_8,wordwrap,
paragraph
sentence,book_en_403_page_8_1.m4a,0,
word,0,0.732664,So,en-uk_so.m4a,0.2,
word,0.732664,1.21017,many,en-uk_many.m4a,0.2,
word,1.21017,1.92812,legs!,en-uk_legs.m4a,0.2,
sentence,book_en_403_page_8_2.m4a,2.92812,
word,0,0.408759,Point,en-uk_point.m4a,0.2,
word,0.408759,0.693009,to,en-uk_to.m4a,0.2,
word,0.693009,0.884969,the,en-uk_the.m4a,0.2,
word,0.884969,1.68435,animals,en-uk_animals.m4a,0.2,
