title,Night and Day,book_en_405_page_0_1.m4a,book_en_405_page_0,portrait,audio,
page,1,book_en_405_page_1,wordwrap,
paragraph
sentence,book_en_405_page_1_1.m4a,0,
word,0,1.06753,Siddhant,en-uk_masha.m4a,0.2,
word,1.06753,1.24923,had,en-uk_had.m4a,0.2,
word,1.24923,1.59227,gone,en-uk_gone.m4a,0.2,
word,1.59227,2.41229,hunting.,en-uk_hunting.m4a,0.2,
sentence,book_en_405_page_1_2.m4a,3.41229,
word,0,0.457198,He,en-uk_he.m4a,0.2,
word,0.457198,1.08473,caught,en-uk_caught.m4a,0.2,
word,1.08473,1.77429,nothing.,en-uk_nothing.m4a,0.2,
sentence,book_en_405_page_1_3.m4a,6.18658,
word,0,0.363302,The,en-uk_the.m4a,0.2,
word,0.363302,0.913186,animals,en-uk_animals.m4a,0.2,
word,0.913186,1.16265,saw,en-uk_saw.m4a,0.2,
word,1.16265,1.70443,him,en-uk_him.m4a,0.2,
word,1.70443,1.9452,and,en-uk_and.m4a,0.2,
word,1.9452,2.44802,ran,en-uk_ran.m4a,0.2,
word,2.44802,3.06342,away.,en-uk_away.m4a,0.2,
page,2,book_en_405_page_2,wordwrap,
paragraph
sentence,book_en_405_page_2_1.m4a,0,
word,0,0.424876,“What,en-uk_what.m4a,0.2,
word,0.424876,0.642047,should,en-uk_should.m4a,0.2,
word,0.642047,0.919059,I,en-uk_i.m4a,0.2,
word,0.919059,1.6322,do?”,en-uk_do.m4a,0.2,
sentence,book_en_405_page_2_2.m4a,2.6322,
word,0,0.8085,Siddhant,en-uk_masha.m4a,0.2,
word,0.8085,1.10481,asked,en-uk_asked.m4a,0.2,
word,1.10481,1.33215,his,en-uk_his.m4a,0.2,
word,1.33215,1.92662,father.,en-uk_father.m4a,0.2,
sentence,book_en_405_page_2_3.m4a,5.55882,
word,0,0.775363,Father,en-uk_father.m4a,0.2,
word,0.775363,0.998714,did,en-uk_did.m4a,0.2,
word,0.998714,1.23334,not,en-uk_not.m4a,0.2,
word,1.23334,1.95765,answer,en-uk_answer.m4a,0.2,
word,1.95765,2.19173,right,en-uk_right.m4a,0.2,
word,2.19173,2.79283,away.,en-uk_away.m4a,0.2,
page,3,book_en_405_page_3,wordwrap,
paragraph
sentence,book_en_405_page_3_1.m4a,0,
word,0,0.593377,After,en-uk_after.m4a,0.2,
word,0.593377,1.61494,"breakfast,",en-uk_breakfast.m4a,0.2,
word,1.61494,2.06609,Father,en-uk_father.m4a,0.2,
word,2.06609,2.54671,"said,",en-uk_said.m4a,0.2,
sentence,book_en_405_page_3_2.m4a,3.54671,
word,0,0.59162,“You,en-uk_you.m4a,0.2,
word,0.59162,0.859162,should,en-uk_should.m4a,0.2,
word,0.859162,1.36395,hunt,en-uk_hunt.m4a,0.2,
word,1.36395,1.5543,at,en-uk_at.m4a,0.2,
word,1.5543,2.1481,night.”,en-uk_night.m4a,0.2,
page,4,book_en_405_page_4,wordwrap,
paragraph
sentence,book_en_405_page_4_1.m4a,0,
word,0,0.334341,“The,en-uk_the.m4a,0.2,
word,0.334341,0.892325,animals,en-uk_animals.m4a,0.2,
word,0.892325,1.19227,see,en-uk_see.m4a,0.2,
word,1.19227,1.54925,you,en-uk_you.m4a,0.2,
word,1.54925,1.68407,in,en-uk_in.m4a,0.2,
word,1.68407,1.88532,the,en-uk_the.m4a,0.2,
word,1.88532,2.33932,day.”,en-uk_day.m4a,0.2,
sentence,book_en_405_page_4_2.m4a,3.33932,
word,0,0.791422,Father,en-uk_father.m4a,0.2,
word,0.791422,1.39171,reminded,en-uk_reminded.m4a,0.2,
word,1.39171,1.80815,him,en-uk_him.m4a,0.2,
word,1.80815,2.08338,about,en-uk_about.m4a,0.2,
word,2.08338,2.29076,the,en-uk_the.m4a,0.2,
word,2.29076,2.80858,cycle,en-uk_cycle.m4a,0.2,
word,2.80858,3.07557,of,en-uk_of.m4a,0.2,
word,3.07557,3.5175,night,en-uk_night.m4a,0.2,
word,3.5175,3.95962,and,en-uk_and.m4a,0.2,
word,3.95962,4.52125,day.,en-uk_day.m4a,0.2,
page,5,book_en_405_page_5,wordwrap,
paragraph
sentence,book_en_405_page_5_1.m4a,0,
word,0,0.866774,Siddhant,en-uk_masha.m4a,0.2,
word,0.866774,1.13283,went,en-uk_went.m4a,0.2,
word,1.13283,1.74147,hunting,en-uk_hunting.m4a,0.2,
word,1.74147,1.88491,at,en-uk_at.m4a,0.2,
word,1.88491,2.49345,night.,en-uk_night.m4a,0.2,
sentence,book_en_405_page_5_2.m4a,3.49345,
word,0,0.333036,It,en-uk_it.m4a,0.2,
word,0.333036,0.583705,was,en-uk_was.m4a,0.2,
word,0.583705,0.957372,hard,en-uk_hard.m4a,0.2,
word,0.957372,1.14036,to,en-uk_to.m4a,0.2,
word,1.14036,1.67571,see.,en-uk_see.m4a,0.2,
sentence,book_en_405_page_5_3.m4a,6.16916,
word,0,0.376774,His,en-uk_his.m4a,0.2,
word,0.376774,1.1355,friends,en-uk_friends.m4a,0.2,
word,1.1355,1.38572,did,en-uk_did.m4a,0.2,
word,1.38572,1.73399,not,en-uk_not.m4a,0.2,
word,1.73399,1.99283,want,en-uk_want.m4a,0.2,
word,1.99283,2.26045,to,en-uk_to.m4a,0.2,
word,2.26045,2.7361,come.,en-uk_come.m4a,0.2,
page,6,book_en_405_page_6,wordwrap,
paragraph
sentence,book_en_405_page_6_1.m4a,0,
word,0,1.09,Siddhant,en-uk_masha.m4a,0.2,
word,1.09,1.47351,went,en-uk_went.m4a,0.2,
word,1.47351,2.19247,alone.,en-uk_alone.m4a,0.2,
sentence,book_en_405_page_6_2.m4a,3.19247,
word,0,0.33482,He,en-uk_he.m4a,0.2,
word,0.33482,0.558551,was,en-uk_was.m4a,0.2,
word,0.558551,1.24343,"scared,",en-uk_scared.m4a,0.2,
word,1.24343,1.67621,but,en-uk_but.m4a,0.2,
word,1.67621,1.90973,he,en-uk_he.m4a,0.2,
word,1.90973,2.07479,did,en-uk_did.m4a,0.2,
word,2.07479,2.58932,not,en-uk_not.m4a,0.2,
word,2.58932,2.76693,give,en-uk_give.m4a,0.2,
word,2.76693,3.04673,up.,en-uk_up.m4a,0.2,
page,7,book_en_405_page_7,wordwrap,
paragraph
sentence,book_en_405_page_7_1.m4a,0,
word,0,0.360349,The,en-uk_the.m4a,0.2,
word,0.360349,1.06236,animals,en-uk_animals.m4a,0.2,
word,1.06236,1.24438,did,en-uk_did.m4a,0.2,
word,1.24438,1.58228,not,en-uk_not.m4a,0.2,
word,1.58228,2.12582,see,en-uk_see.m4a,0.2,
word,2.12582,2.46027,Siddhant,en-uk_masha.m4a,0.2,
word,2.46027,2.94152,coming.,en-uk_coming.m4a,0.2,
sentence,book_en_405_page_7_2.m4a,3.94152,
word,0,0.701804,Hunting,en-uk_hunting.m4a,0.2,
word,0.701804,0.961317,at,en-uk_at.m4a,0.2,
word,0.961317,1.75298,night,en-uk_night.m4a,0.2,
word,1.75298,1.97008,was,en-uk_was.m4a,0.2,
word,1.97008,2.52054,good.,en-uk_good.m4a,0.2,
page,8,book_en_405_page_8,wordwrap,
paragraph
