title,Animals of the Sea,book_en_406_page_0_1.m4a,book_en_406_page_0,landscape,audio,
page,1,book_en_406_page_1,wordwrap,
paragraph
sentence,book_en_406_page_1_1.m4a,0,
word,0,0.799104,Many,en-uk_many.m4a,0.2,
word,0.799104,1.27883,animals,en-uk_animals.m4a,0.2,
word,1.27883,1.93229,live,en-uk_live.m4a,0.2,
word,1.93229,2.12968,in,en-uk_in.m4a,0.2,
word,2.12968,2.54663,the,en-uk_the.m4a,0.2,
word,2.54663,2.93909,sea!,en-uk_sea.m4a,0.2,
sentence,book_en_406_page_1_2.m4a,3.99995,
word,0,0.520213,What,en-uk_what.m4a,0.2,
word,0.520213,1.03025,kind,en-uk_kind.m4a,0.2,
word,1.03025,1.35052,would,en-uk_would.m4a,0.2,
word,1.35052,1.75047,you,en-uk_you.m4a,0.2,
word,1.75047,2.16134,like,en-uk_like.m4a,0.2,
word,2.16134,2.55671,to,en-uk_to.m4a,0.2,
word,2.55671,2.87776,be?,en-uk_be.m4a,0.2,
page,2,book_en_406_page_2,wordwrap,
paragraph
sentence,book_en_406_page_2_1.m4a,0,
word,0,0.121589,Would,en-uk_would.m4a,0.2,
word,0.121589,0.585442,you,en-uk_you.m4a,0.2,
word,0.585442,0.968151,like,en-uk_like.m4a,0.2,
word,0.968151,1.23611,to,en-uk_to.m4a,0.2,
word,1.23611,1.51942,have,en-uk_have.m4a,0.2,
word,1.51942,1.85605,eight,en-uk_eight.m4a,0.2,
word,1.85605,2.63552,arms,en-uk_arms.m4a,0.2,
word,2.63552,3.12069,like,en-uk_like.m4a,0.2,
word,3.12069,3.30394,an,en-uk_an.m4a,0.2,
word,3.30394,3.95075,octopus?,en-uk_octopus.m4a,0.2,
page,3,book_en_406_page_3,wordwrap,
paragraph
sentence,book_en_406_page_3_1.m4a,0,
word,0,0.445883,Would,en-uk_would.m4a,0.2,
word,0.445883,0.699514,you,en-uk_you.m4a,0.2,
word,0.699514,1.05372,like,en-uk_like.m4a,0.2,
word,1.05372,1.26464,to,en-uk_to.m4a,0.2,
word,1.26464,1.49812,be,en-uk_be.m4a,0.2,
word,1.49812,2.06427,orange,en-uk_orange.m4a,0.2,
word,2.06427,2.56555,like,en-uk_like.m4a,0.2,
word,2.56555,2.98508,this,en-uk_this.m4a,0.2,
word,2.98508,3.62805,fish?,en-uk_fish.m4a,0.2,
page,4,book_en_406_page_4,wordwrap,
paragraph
sentence,book_en_406_page_4_1.m4a,0,
word,0,0.300645,Would,en-uk_would.m4a,0.2,
word,0.300645,0.614601,you,en-uk_you.m4a,0.2,
word,0.614601,0.864584,like,en-uk_like.m4a,0.2,
word,0.864584,1.19807,to,en-uk_to.m4a,0.2,
word,1.19807,1.69849,jump,en-uk_jump.m4a,0.2,
word,1.69849,1.96008,and,en-uk_and.m4a,0.2,
word,1.96008,2.27563,play,en-uk_play.m4a,0.2,
word,2.27563,2.63237,like,en-uk_like.m4a,0.2,
word,2.63237,3.77633,dolphins?,en-uk_dolphins.m4a,0.2,
page,5,book_en_406_page_5,wordwrap,
paragraph
sentence,book_en_406_page_5_1.m4a,0,
word,0,0.884641,Maybe,en-uk_maybe.m4a,0.2,
word,0.884641,1.38592,you,en-uk_you.m4a,0.2,
word,1.38592,1.58968,want,en-uk_want.m4a,0.2,
word,1.58968,1.80289,a,en-uk_a.m4a,0.2,
word,1.80289,2.18648,hard,en-uk_hard.m4a,0.2,
word,2.18648,3.02038,shell,en-uk_shell.m4a,0.2,
word,3.02038,3.32057,like,en-uk_like.m4a,0.2,
word,3.32057,3.48746,a,en-uk_a.m4a,0.2,
word,3.48746,3.65721,sea,en-uk_sea.m4a,0.2,
word,3.65721,4.16878,turtle?,en-uk_turtle.m4a,0.2,
page,6,book_en_406_page_6,wordwrap,
paragraph
sentence,book_en_406_page_6_1.m4a,0,
word,0,0.585766,Would,en-uk_would.m4a,0.2,
word,0.585766,0.817912,you,en-uk_you.m4a,0.2,
word,0.817912,1.1853,like,en-uk_like.m4a,0.2,
word,1.1853,1.45382,to,en-uk_to.m4a,0.2,
word,1.45382,2.12098,glide,en-uk_glide.m4a,0.2,
word,2.12098,2.37085,through,en-uk_through.m4a,0.2,
word,2.37085,2.53598,the,en-uk_the.m4a,0.2,
