title,The Confident Fawn,book_en_407_page_0_1.m4a,book_en_407_page_0,landscape,audio,
page,1,book_en_407_page_1,wordwrap,
paragraph
sentence,book_en_407_page_1_1.m4a,0,
word,0,0.293202,A,en-uk_a.m4a,0.2,
word,0.293202,0.985709,fawn,en-uk_fawn.m4a,0.2,
word,0.985709,1.2018,was,en-uk_was.m4a,0.2,
word,1.2018,1.65217,running,en-uk_running.m4a,0.2,
word,1.65217,1.87943,in,en-uk_in.m4a,0.2,
word,1.87943,2.0857,the,en-uk_the.m4a,0.2,
word,2.0857,2.75844,forest.,en-uk_forest.m4a,0.2,
page,2,book_en_407_page_2,wordwrap,
paragraph
sentence,book_en_407_page_2_1.m4a,0,
word,0,0.363261,He,en-uk_he.m4a,0.2,
word,0.363261,1.05811,ran,en-uk_ran.m4a,0.2,
word,1.05811,1.78213,faster,en-uk_faster.m4a,0.2,
word,1.78213,1.93284,than,en-uk_than.m4a,0.2,
word,1.93284,2.11435,the,en-uk_the.m4a,0.2,
word,2.11435,2.60168,rabbit.,en-uk_rabbit.m4a,0.2,
sentence,book_en_407_page_2_2.m4a,3.60168,
word,0,0.293702,The,en-uk_the.m4a,0.2,
word,0.293702,0.984033,fawn,en-uk_fawn.m4a,0.2,
word,0.984033,1.22581,was,en-uk_was.m4a,0.2,
word,1.22581,1.70937,so,en-uk_so.m4a,0.2,
word,1.70937,2.46429,proud.,en-uk_proud.m4a,0.2,
page,3,book_en_407_page_3,wordwrap,
paragraph
sentence,book_en_407_page_3_1.m4a,0,
word,0,0.383889,He,en-uk_he.m4a,0.2,
word,0.383889,0.875802,ran,en-uk_ran.m4a,0.2,
word,0.875802,1.69396,faster,en-uk_faster.m4a,0.2,
word,1.69396,1.86792,than,en-uk_than.m4a,0.2,
word,1.86792,2.09297,the,en-uk_the.m4a,0.2,
word,2.09297,2.66288,elephant.,en-uk_elephant.m4a,0.2,
sentence,book_en_407_page_3_2.m4a,3.66288,
word,0,0.31624,The,en-uk_the.m4a,0.2,
word,0.31624,1.05688,fawn,en-uk_fawn.m4a,0.2,
word,1.05688,1.42397,was,en-uk_was.m4a,0.2,
word,1.42397,2.05731,very,en-uk_very.m4a,0.2,
word,2.05731,2.5615,proud.,en-uk_proud.m4a,0.2,
page,4,book_en_407_page_4,wordwrap,
paragraph
sentence,book_en_407_page_4_1.m4a,0,
word,0,0.406625,He,en-uk_he.m4a,0.2,
word,0.406625,1.26716,jumped,en-uk_jumped.m4a,0.2,
word,1.26716,2.34181,confidently,en-uk_confidently.m4a,0.2,
word,2.34181,2.75776,over,en-uk_over.m4a,0.2,
word,2.75776,2.92479,the,en-uk_the.m4a,0.2,
word,2.92479,3.61927,stream.,en-uk_stream.m4a,0.2,
sentence,book_en_407_page_4_2.m4a,4.61927,
word,0,0.31037,The,en-uk_the.m4a,0.2,
word,0.31037,1.18718,fawn,en-uk_fawn.m4a,0.2,
word,1.18718,1.5777,wanted,en-uk_wanted.m4a,0.2,
word,1.5777,1.75226,to,en-uk_to.m4a,0.2,
word,1.75226,2.34435,run,en-uk_run.m4a,0.2,
word,2.34435,3.08637,faster.,en-uk_faster.m4a,0.2,
page,5,book_en_407_page_5,wordwrap,
paragraph
sentence,book_en_407_page_5_1.m4a,0,
word,0,0.393978,He,en-uk_he.m4a,0.2,
word,0.393978,1.02752,ran,en-uk_ran.m4a,0.2,
word,1.02752,1.35757,past,en-uk_past.m4a,0.2,
word,1.35757,1.58466,a,en-uk_a.m4a,0.2,
word,1.58466,2.44447,crumbling,en-uk_crumbling.m4a,0.2,
word,2.44447,3.10723,wall.,en-uk_wall.m4a,0.2,
page,6,book_en_407_page_6,wordwrap,
paragraph
sentence,book_en_407_page_6_1.m4a,0,
word,0,0.368615,There,en-uk_there.m4a,0.2,
word,0.368615,0.583916,was,en-uk_was.m4a,0.2,
word,0.583916,0.825655,a,en-uk_a.m4a,0.2,
word,0.825655,1.34233,large,en-uk_large.m4a,0.2,
word,1.34233,2.0089,rock,en-uk_rock.m4a,0.2,
word,2.0089,2.30139,on,en-uk_on.m4a,0.2,
word,2.30139,2.53585,the,en-uk_the.m4a,0.2,
word,2.53585,3.2617,grassy,en-uk_grassy.m4a,0.2,
word,3.2617,4.04002,ground.,en-uk_ground.m4a,0.2,
sentence,book_en_407_page_6_2.m4a,5.04002,
word,0,0.339629,The,en-uk_the.m4a,0.2,
word,0.339629,1.3563,fawn,en-uk_fawn.m4a,0.2,
word,1.3563,1.95803,tripped.,en-uk_tripped.m4a,0.2,
page,7,book_en_407_page_7,wordwrap,
paragraph
sentence,book_en_407_page_7_1.m4a,0,
word,0,0.384066,He,en-uk_he.m4a,0.2,
word,0.384066,0.959256,hurt,en-uk_hurt.m4a,0.2,
word,0.959256,1.17749,his,en-uk_his.m4a,0.2,
word,1.17749,1.699,leg.,en-uk_leg.m4a,0.2,
sentence,book_en_407_page_7_2.m4a,2.699,
word,0,0.672254,He,en-uk_he.m4a,0.2,
word,0.672254,1.5997,burst,en-uk_burst.m4a,0.2,
word,1.5997,2.22813,into,en-uk_into.m4a,0.2,
word,2.22813,2.62183,heavy,en-uk_heavy.m4a,0.2,
word,2.62183,3.42281,tears.,en-uk_tears.m4a,0.2,
page,8,book_en_407_page_8,wordwrap,
paragraph
sentence,book_en_407_page_8_1.m4a,0,
word,0,0.342132,The,en-uk_the.m4a,0.2,
word,0.342132,0.993601,monkey,en-uk_monkey.m4a,0.2,
word,0.993601,1.4424,tried,en-uk_tried.m4a,0.2,
word,1.4424,1.68436,to,en-uk_to.m4a,0.2,
word,1.68436,1.99391,help,en-uk_help.m4a,0.2,
word,1.99391,2.45146,fix,en-uk_fix.m4a,0.2,
word,2.45146,2.64475,his,en-uk_his.m4a,0.2,
word,2.64475,3.06526,leg.,en-uk_leg.m4a,0.2,
sentence,book_en_407_page_8_2.m4a,4.06526,
word,0,0.325274,The,en-uk_the.m4a,0.2,
word,0.325274,1.04351,fawn,en-uk_fawn.m4a,0.2,
word,1.04351,1.78506,cried,en-uk_cried.m4a,0.2,
word,1.78506,2.22632,and,en-uk_and.m4a,0.2,
word,2.22632,3.06766,cried.,en-uk_cried.m4a,0.2,
page,9,book_en_407_page_9,wordwrap,
paragraph
sentence,book_en_407_page_9_1.m4a,0,
word,0,0.309809,The,en-uk_the.m4a,0.2,
word,0.309809,0.969803,bear,en-uk_bear.m4a,0.2,
word,0.969803,1.39348,tried,en-uk_tried.m4a,0.2,
word,1.39348,1.61273,to,en-uk_to.m4a,0.2,
word,1.61273,1.96062,help,en-uk_help.m4a,0.2,
word,1.96062,2.15443,pick,en-uk_pick.m4a,0.2,
word,2.15443,2.36687,him,en-uk_him.m4a,0.2,
word,2.36687,2.53896,up.,en-uk_up.m4a,0.2,
sentence,book_en_407_page_9_2.m4a,3.53896,
word,0,0.326907,The,en-uk_the.m4a,0.2,
word,0.326907,0.940339,fawn,en-uk_fawn.m4a,0.2,
word,0.940339,1.13754,could,en-uk_could.m4a,0.2,
word,1.13754,1.54233,not,en-uk_not.m4a,0.2,
word,1.54233,2.33649,stop,en-uk_stop.m4a,0.2,
word,2.33649,3.08558,crying.,en-uk_crying.m4a,0.2,
page,10,book_en_407_page_10,wordwrap,
paragraph
sentence,book_en_407_page_10_1.m4a,0,
word,0,0.409121,His,en-uk_his.m4a,0.2,
word,0.409121,0.856516,mother,en-uk_mother.m4a,0.2,
word,0.856516,1.54305,came,en-uk_came.m4a,0.2,
word,1.54305,2.0311,and,en-uk_and.m4a,0.2,
word,2.0311,2.31766,gave,en-uk_gave.m4a,0.2,
word,2.31766,2.506,him,en-uk_him.m4a,0.2,
word,2.506,2.69236,a,en-uk_a.m4a,0.2,
word,2.69236,3.09454,hug.,en-uk_hug.m4a,0.2,
sentence,book_en_407_page_10_2.m4a,4.09453,
word,0,1.0007,"Finally,",en-uk_finally.m4a,0.2,
word,1.0007,1.14799,the,en-uk_the.m4a,0.2,
word,1.14799,1.71201,fawn,en-uk_fawn.m4a,0.2,
word,1.71201,2.27539,stopped,en-uk_stopped.m4a,0.2,
word,2.27539,3.00193,crying.,en-uk_crying.m4a,0.2,
sentence,book_en_407_page_10_3.m4a,8.09646,
word,0,0.409222,He,en-uk_he.m4a,0.2,
word,0.409222,0.744173,needs,en-uk_needs.m4a,0.2,
word,0.744173,0.958001,to,en-uk_to.m4a,0.2,
word,0.958001,1.21345,be,en-uk_be.m4a,0.2,
word,1.21345,1.55177,more,en-uk_more.m4a,0.2,
