title,A Rainy Birthday,book_en_408_page_0_1.m4a,book_en_408_page_0,landscape,audio,
page,1,book_en_408_page_1,wordwrap,
paragraph
sentence,book_en_408_page_1_1.m4a,0,
word,0,0.863947,Today,en-uk_today.m4a,0.2,
word,0.863947,1.32601,is,en-uk_is.m4a,0.2,
word,1.32601,1.89363,Bear’s,en-uk_bear1s.m4a,0.2,
word,1.89363,2.77474,birthday.,en-uk_birthday.m4a,0.2,
sentence,book_en_408_page_1_2.m4a,3.77474,
word,0,0.57536,Bear,en-uk_bear.m4a,0.2,
word,0.57536,0.909651,and,en-uk_and.m4a,0.2,
word,0.909651,1.15077,his,en-uk_his.m4a,0.2,
word,1.15077,1.50248,friend,en-uk_friend.m4a,0.2,
word,1.50248,2.29342,Isha,en-uk_leila.m4a,0.2,
word,2.29342,2.5451,are,en-uk_are.m4a,0.2,
word,2.5451,3.05167,very,en-uk_very.m4a,0.2,
word,3.05167,3.64891,happy.,en-uk_happy.m4a,0.2,
page,2,book_en_408_page_2,wordwrap,
paragraph
sentence,book_en_408_page_2_1.m4a,0,
word,0.200324,0.741475,Isha,en-uk_leila.m4a,0.2,
word,0.741475,1.02,sings,en-uk_sings.m4a,0.2,
word,1.02,1.4228,a,en-uk_a.m4a,0.2,
word,1.4228,2.05905,birthday,en-uk_birthday.m4a,0.2,
word,2.05905,2.65968,song,en-uk_song.m4a,0.2,
word,2.65968,2.84662,to,en-uk_to.m4a,0.2,
word,2.84662,3.2663,bear.,en-uk_bear.m4a,0.2,
sentence,book_en_408_page_2_2.m4a,4.2663,
word,0,0.719804,Bear,en-uk_bear.m4a,0.2,
word,0.719804,0.962877,makes,en-uk_makes.m4a,0.2,
word,0.962877,1.31949,a,en-uk_a.m4a,0.2,
word,1.31949,1.99499,birthday,en-uk_birthday.m4a,0.2,
word,1.99499,2.76714,wish.,en-uk_wish.m4a,0.2,
sentence,book_en_408_page_2_3.m4a,8.03345,
word,0,0.383919,He,en-uk_he.m4a,0.2,
word,0.383919,0.893937,blows,en-uk_blows.m4a,0.2,
word,0.893937,1.17093,out,en-uk_out.m4a,0.2,
word,1.17093,1.37642,the,en-uk_the.m4a,0.2,
word,1.37642,2.1264,candles,en-uk_candles.m4a,0.2,
word,2.1264,2.36697,on,en-uk_on.m4a,0.2,
word,2.36697,2.57867,the,en-uk_the.m4a,0.2,
word,2.57867,3.02166,cake.,en-uk_cake.m4a,0.2,
page,3,book_en_408_page_3,wordwrap,
paragraph
sentence,book_en_408_page_3_1.m4a,0,
word,0,1.18559,Suddenly,en-uk_suddenly.m4a,0.2,
word,1.18559,1.98539,rain,en-uk_rain.m4a,0.2,
word,1.98539,2.49396,starts,en-uk_starts.m4a,0.2,
word,2.49396,2.71323,to,en-uk_to.m4a,0.2,
word,2.71323,3.18315,fall.,en-uk_fall.m4a,0.2,
page,4,book_en_408_page_4,wordwrap,
paragraph
sentence,book_en_408_page_4_1.m4a,0,
word,0,0.491893,And,en-uk_and.m4a,0.2,
word,0.491893,1.40082,suddenly,en-uk_suddenly.m4a,0.2,
word,1.40082,2.22936,fish,en-uk_fish.m4a,0.2,
word,2.22936,2.93488,start,en-uk_start.m4a,0.2,
word,2.93488,3.15812,to,en-uk_to.m4a,0.2,
word,3.15812,3.61171,fall,en-uk_fall.m4a,0.2,
