title,Night Animals,book_en_410_page_0_1.m4a,book_en_410_page_0,portrait,audio,
page,1,book_en_410_page_1,wordwrap,
paragraph
sentence,book_en_410_page_1_1.m4a,0,
word,0,0.361265,It,en-uk_it.m4a,0.2,
word,0.361265,0.617285,was,en-uk_was.m4a,0.2,
word,0.617285,1.79236,nighttime,en-uk_nighttime.m4a,0.2,
word,1.79236,2.1353,and,en-uk_and.m4a,0.2,
word,2.1353,2.38347,the,en-uk_the.m4a,0.2,
word,2.38347,3.1527,animals,en-uk_animals.m4a,0.2,
word,3.1527,3.38362,were,en-uk_were.m4a,0.2,
word,3.38362,4.10771,sleeping.,en-uk_sleeping.m4a,0.2,
sentence,book_en_410_page_1_2.m4a,5.10771,
word,0,0.35884,The,en-uk_the.m4a,0.2,
word,0.35884,1.19395,sky,en-uk_sky.m4a,0.2,
word,1.19395,1.44482,was,en-uk_was.m4a,0.2,
word,1.44482,2.30975,clear,en-uk_clear.m4a,0.2,
word,2.30975,2.8763,and,en-uk_and.m4a,0.2,
word,2.8763,3.09324,the,en-uk_the.m4a,0.2,
word,3.09324,3.64507,moon,en-uk_moon.m4a,0.2,
word,3.64507,3.83759,was,en-uk_was.m4a,0.2,
word,3.83759,4.72999,shining,en-uk_shining.m4a,0.2,
word,4.72999,5.25472,bright.,en-uk_bright.m4a,0.2,
page,2,book_en_410_page_2,wordwrap,
paragraph
sentence,book_en_410_page_2_1.m4a,0,
word,0,0.324318,But,en-uk_but.m4a,0.2,
word,0.324318,0.575908,the,en-uk_the.m4a,0.2,
word,0.575908,0.958234,bright,en-uk_bright.m4a,0.2,
word,0.958234,1.91054,moonlight,en-uk_moonlight.m4a,0.2,
word,1.91054,2.0508,woke,en-uk_woke.m4a,0.2,
word,2.0508,2.52669,up,en-uk_up.m4a,0.2,
word,2.52669,2.72174,the,en-uk_the.m4a,0.2,
word,2.72174,3.17574,dog.,en-uk_dog.m4a,0.2,
page,3,book_en_410_page_3,wordwrap,
paragraph
sentence,book_en_410_page_3_1.m4a,0,
word,0,0.292421,The,en-uk_the.m4a,0.2,
word,0.292421,0.710373,dog,en-uk_dog.m4a,0.2,
word,0.710373,1.24887,thought,en-uk_thought.m4a,0.2,
word,1.24887,1.37719,it,en-uk_it.m4a,0.2,
word,1.37719,1.5934,was,en-uk_was.m4a,0.2,
word,1.5934,2.14515,time,en-uk_time.m4a,0.2,
word,2.14515,2.33454,to,en-uk_to.m4a,0.2,
word,2.33454,2.96179,play.,en-uk_play.m4a,0.2,
sentence,book_en_410_page_3_2.m4a,3.96179,
word,0,0.374803,He,en-uk_he.m4a,0.2,
word,0.374803,0.742401,ran,en-uk_ran.m4a,0.2,
word,0.742401,1.18469,around,en-uk_around.m4a,0.2,
word,1.18469,1.46858,the,en-uk_the.m4a,0.2,
word,1.46858,2.27632,field,en-uk_field.m4a,0.2,
word,2.27632,2.67588,under,en-uk_under.m4a,0.2,
word,2.67588,2.87664,the,en-uk_the.m4a,0.2,
word,2.87664,3.52168,moonlight.,en-uk_moonlight.m4a,0.2,
