title,Wangari Maathai,book_en_412_page_0_1.m4a,book_en_412_page_0,portrait,audio,
page,1,book_en_412_page_1,wordwrap,
paragraph
sentence,book_en_412_page_1_1.m4a,0,
word,0,0.310089,Do,en-uk_do.m4a,0.2,
word,0.310089,0.567766,you,en-uk_you.m4a,0.2,
word,0.567766,1.05506,know,en-uk_know.m4a,0.2,
word,1.05506,1.48878,about,en-uk_about.m4a,0.2,
word,1.48878,2.42783,Wangari,en-uk_wangari.m4a,0.2,
word,2.42783,3.12327,Maathai?,en-uk_maathai.m4a,0.2,
sentence,book_en_412_page_1_2.m4a,4.12327,
word,0,0.52566,She,en-uk_she.m4a,0.2,
word,0.52566,0.750859,made,en-uk_made.m4a,0.2,
word,0.750859,0.927301,the,en-uk_the.m4a,0.2,
word,0.927301,1.39699,world,en-uk_world.m4a,0.2,
word,1.39699,1.61923,a,en-uk_a.m4a,0.2,
word,1.61923,2.17643,better,en-uk_better.m4a,0.2,
word,2.17643,2.78866,place.,en-uk_place.m4a,0.2,
page,2,book_en_412_page_2,wordwrap,
paragraph
sentence,book_en_412_page_2_1.m4a,0,
word,0,1.11044,Wangari,en-uk_wangari.m4a,0.2,
word,1.11044,1.26985,was,en-uk_was.m4a,0.2,
word,1.26985,1.74167,born,en-uk_born.m4a,0.2,
word,1.74167,2.02564,in,en-uk_in.m4a,0.2,
word,2.02564,3.27195,1940.,en-uk_1940.m4a,0.2,
sentence,book_en_412_page_2_2.m4a,4.27195,
word,0,0.45619,She,en-uk_she.m4a,0.2,
word,0.45619,0.679227,grew,en-uk_grew.m4a,0.2,
word,0.679227,1.14744,up,en-uk_up.m4a,0.2,
word,1.14744,1.3003,on,en-uk_on.m4a,0.2,
word,1.3003,1.51645,a,en-uk_a.m4a,0.2,
word,1.51645,2.17875,farm.,en-uk_farm.m4a,0.2,
sentence,book_en_412_page_2_3.m4a,7.4507,
word,0,0.558841,She,en-uk_she.m4a,0.2,
word,0.558841,1.25082,loved,en-uk_loved.m4a,0.2,
word,1.25082,2.02621,plants,en-uk_plants.m4a,0.2,
word,2.02621,2.26934,and,en-uk_and.m4a,0.2,
word,2.26934,3.17812,animals.,en-uk_animals.m4a,0.2,
page,3,book_en_412_page_3,wordwrap,
paragraph
sentence,book_en_412_page_3_1.m4a,0,
word,0,1.25119,Wangari,en-uk_wangari.m4a,0.2,
word,1.25119,1.45021,went,en-uk_went.m4a,0.2,
word,1.45021,1.75141,to,en-uk_to.m4a,0.2,
word,1.75141,2.83419,university,en-uk_university.m4a,0.2,
word,2.83419,2.97768,in,en-uk_in.m4a,0.2,
word,2.97768,3.21898,the,en-uk_the.m4a,0.2,
word,3.21898,3.95337,United,en-uk_united.m4a,0.2,
word,3.95337,4.65671,States.,en-uk_states.m4a,0.2,
sentence,book_en_412_page_3_2.m4a,5.65671,
word,0,0.753404,Then,en-uk_then.m4a,0.2,
word,0.753404,1.29592,she,en-uk_she.m4a,0.2,
word,1.29592,1.52676,moved,en-uk_moved.m4a,0.2,
word,1.52676,2.1448,back,en-uk_back.m4a,0.2,
word,2.1448,2.35048,to,en-uk_to.m4a,0.2,
word,2.35048,2.57607,her,en-uk_her.m4a,0.2,
word,2.57607,2.87756,home,en-uk_home.m4a,0.2,
word,2.87756,3.83529,country,en-uk_country.m4a,0.2,
word,3.83529,4.01745,to,en-uk_to.m4a,0.2,
word,4.01745,4.5315,work,en-uk_work.m4a,0.2,
word,4.5315,4.71078,in,en-uk_in.m4a,0.2,
word,4.71078,4.85784,the,en-uk_the.m4a,0.2,
word,4.85784,5.62465,schools.,en-uk_schools.m4a,0.2,
page,4,book_en_412_page_4,wordwrap,
paragraph
sentence,book_en_412_page_4_1.m4a,0,
word,0,1.1118,Wangari,en-uk_wangari.m4a,0.2,
word,1.1118,1.80268,believed,en-uk_believed.m4a,0.2,
word,1.80268,2.36925,things,en-uk_things.m4a,0.2,
word,2.36925,2.68493,should,en-uk_should.m4a,0.2,
word,2.68493,2.90538,be,en-uk_be.m4a,0.2,
word,2.90538,3.53063,fair.,en-uk_fair.m4a,0.2,
sentence,book_en_412_page_4_2.m4a,4.53063,
word,0,0.459515,She,en-uk_she.m4a,0.2,
word,0.459515,1.10219,fought,en-uk_fought.m4a,0.2,
word,1.10219,1.26767,for,en-uk_for.m4a,0.2,
word,1.26767,1.44388,the,en-uk_the.m4a,0.2,
word,1.44388,1.85254,rights,en-uk_rights.m4a,0.2,
word,1.85254,1.968,of,en-uk_of.m4a,0.2,
word,1.968,2.10412,the,en-uk_the.m4a,0.2,
word,2.10412,2.58496,women,en-uk_women.m4a,0.2,
word,2.58496,2.71424,in,en-uk_in.m4a,0.2,
word,2.71424,2.90004,the,en-uk_the.m4a,0.2,
word,2.90004,3.70807,schools.,en-uk_schools.m4a,0.2,
page,5,book_en_412_page_5,wordwrap,
paragraph
sentence,book_en_412_page_5_1.m4a,0,
word,0,1.26892,Wangari,en-uk_wangari.m4a,0.2,
word,1.26892,1.79594,knew,en-uk_knew.m4a,0.2,
word,1.79594,1.98261,that,en-uk_that.m4a,0.2,
word,1.98261,2.58477,plants,en-uk_plants.m4a,0.2,
word,2.58477,2.82655,and,en-uk_and.m4a,0.2,
word,2.82655,3.61026,animals,en-uk_animals.m4a,0.2,
word,3.61026,3.8544,are,en-uk_are.m4a,0.2,
word,3.8544,4.51986,important,en-uk_important.m4a,0.2,
word,4.51986,4.75226,to,en-uk_to.m4a,0.2,
word,4.75226,5.00257,our,en-uk_our.m4a,0.2,
word,5.00257,5.61401,world.,en-uk_world.m4a,0.2,
sentence,book_en_412_page_5_2.m4a,6.61401,
word,0,0.398519,One,en-uk_one.m4a,0.2,
word,0.398519,1.12399,"day,",en-uk_day.m4a,0.2,
word,1.12399,2.17594,Wangari,en-uk_wangari.m4a,0.2,
word,2.17594,2.80135,realized,en-uk_realized.m4a,0.2,
word,2.80135,3.12125,that,en-uk_that.m4a,0.2,
word,3.12125,3.34956,the,en-uk_the.m4a,0.2,
word,3.34956,3.82511,plants,en-uk_plants.m4a,0.2,
word,3.82511,4.20019,and,en-uk_and.m4a,0.2,
word,4.20019,4.42236,the,en-uk_the.m4a,0.2,
word,4.42236,5.17778,animals,en-uk_animals.m4a,0.2,
word,5.17778,5.45473,could,en-uk_could.m4a,0.2,
word,5.45473,5.69897,not,en-uk_not.m4a,0.2,
word,5.69897,6.07173,fight,en-uk_fight.m4a,0.2,
word,6.07173,6.3887,for,en-uk_for.m4a,0.2,
word,6.3887,7.31528,themselves.,en-uk_themselves.m4a,0.2,
page,6,book_en_412_page_6,wordwrap,
paragraph
sentence,book_en_412_page_6_1.m4a,0,
word,0,0.598417,She,en-uk_she.m4a,0.2,
word,0.598417,1.37378,decided,en-uk_decided.m4a,0.2,
word,1.37378,1.54787,to,en-uk_to.m4a,0.2,
word,1.54787,1.98239,fight,en-uk_fight.m4a,0.2,
word,1.98239,2.39925,for,en-uk_for.m4a,0.2,
word,2.39925,2.79789,them.,en-uk_them.m4a,0.2,
sentence,book_en_412_page_6_2.m4a,3.79789,
word,0,1.11019,Wangari,en-uk_wangari.m4a,0.2,
word,1.11019,1.71869,believed,en-uk_believed.m4a,0.2,
word,1.71869,1.94187,in,en-uk_in.m4a,0.2,
word,1.94187,2.70263,protecting,en-uk_protecting.m4a,0.2,
word,2.70263,2.91827,the,en-uk_the.m4a,0.2,
word,2.91827,3.46836,plants,en-uk_plants.m4a,0.2,
word,3.46836,3.87108,and,en-uk_and.m4a,0.2,
word,3.87108,4.58803,animals.,en-uk_animals.m4a,0.2,
page,7,book_en_412_page_7,wordwrap,
paragraph
sentence,book_en_412_page_7_1.m4a,0,
word,0,1.09452,Wangari,en-uk_wangari.m4a,0.2,
word,1.09452,1.70925,began,en-uk_began.m4a,0.2,
word,1.70925,1.86184,the,en-uk_the.m4a,0.2,
word,1.86184,2.22539,Green,en-uk_green.m4a,0.2,
word,2.22539,2.58467,Belt,en-uk_belt.m4a,0.2,
word,2.58467,3.22955,movement.,en-uk_movement.m4a,0.2,
sentence,book_en_412_page_7_2.m4a,4.22955,
word,0,0.511038,She,en-uk_she.m4a,0.2,
word,0.511038,0.837695,led,en-uk_led.m4a,0.2,
word,0.837695,1.34498,people,en-uk_people.m4a,0.2,
word,1.34498,1.53379,to,en-uk_to.m4a,0.2,
word,1.53379,1.93641,plant,en-uk_plant.m4a,0.2,
word,1.93641,2.68482,trees,en-uk_trees.m4a,0.2,
word,2.68482,3.0862,all,en-uk_all.m4a,0.2,
word,3.0862,3.72937,across,en-uk_across.m4a,0.2,
word,3.72937,3.92554,the,en-uk_the.m4a,0.2,
word,3.92554,4.66329,country.,en-uk_country.m4a,0.2,
page,8,book_en_412_page_8,wordwrap,
paragraph
sentence,book_en_412_page_8_1.m4a,0,
word,0,0.30452,The,en-uk_the.m4a,0.2,
word,0.30452,0.747134,Green,en-uk_green.m4a,0.2,
word,0.747134,1.1947,Belt,en-uk_belt.m4a,0.2,
word,1.1947,1.8535,movement,en-uk_movement.m4a,0.2,
word,1.8535,2.4788,planted,en-uk_planted.m4a,0.2,
word,2.4788,2.9393,"many,",en-uk_many.m4a,0.2,
word,2.9393,3.8641,many,en-uk_many.m4a,0.2,
word,3.8641,4.49592,trees.,en-uk_trees.m4a,0.2,
sentence,book_en_412_page_8_2.m4a,5.49592,
word,0,0.428222,They,en-uk_they.m4a,0.2,
word,0.428222,0.770748,made,en-uk_made.m4a,0.2,
word,0.770748,0.908754,the,en-uk_the.m4a,0.2,
word,0.908754,1.61816,country,en-uk_country.m4a,0.2,
word,1.61816,1.87661,more,en-uk_more.m4a,0.2,
word,1.87661,2.60585,green.,en-uk_green.m4a,0.2,
sentence,book_en_412_page_8_3.m4a,9.10177,
word,0,0.408767,They,en-uk_they.m4a,0.2,
word,0.408767,0.833847,helped,en-uk_helped.m4a,0.2,
word,0.833847,1.21813,the,en-uk_the.m4a,0.2,
word,1.21813,1.85944,plants,en-uk_plants.m4a,0.2,
word,1.85944,2.2174,and,en-uk_and.m4a,0.2,
word,2.2174,2.43666,the,en-uk_the.m4a,0.2,
word,2.43666,3.22596,animals.,en-uk_animals.m4a,0.2,
page,9,book_en_412_page_9,wordwrap,
paragraph
sentence,book_en_412_page_9_1.m4a,0,
word,0,0.400848,When,en-uk_when.m4a,0.2,
word,0.400848,1.31093,Wangari,en-uk_wangari.m4a,0.2,
word,1.31093,1.48444,was,en-uk_was.m4a,0.2,
word,1.48444,1.68734,an,en-uk_an.m4a,0.2,
word,1.68734,1.98299,old,en-uk_old.m4a,0.2,
word,1.98299,2.86867,"woman,",en-uk_woman.m4a,0.2,
word,2.86867,3.09,she,en-uk_she.m4a,0.2,
word,3.09,3.32927,was,en-uk_was.m4a,0.2,
word,3.32927,3.93797,given,en-uk_given.m4a,0.2,
word,3.93797,4.11088,the,en-uk_the.m4a,0.2,
word,4.11088,4.74405,Nobel,en-uk_nobel.m4a,0.2,
word,4.74405,5.11105,Peace,en-uk_peace.m4a,0.2,
word,5.11105,5.79596,Prize.,en-uk_prize.m4a,0.2,
sentence,book_en_412_page_9_2.m4a,6.79596,
word,0,0.337314,It,en-uk_it.m4a,0.2,
word,0.337314,0.504456,is,en-uk_is.m4a,0.2,
word,0.504456,0.698741,an,en-uk_an.m4a,0.2,
word,0.698741,1.23098,award,en-uk_award.m4a,0.2,
word,1.23098,1.44641,for,en-uk_for.m4a,0.2,
word,1.44641,1.89726,making,en-uk_making.m4a,0.2,
word,1.89726,2.03795,the,en-uk_the.m4a,0.2,
word,2.03795,2.55638,world,en-uk_world.m4a,0.2,
word,2.55638,2.77203,a,en-uk_a.m4a,0.2,
word,2.77203,3.3137,better,en-uk_better.m4a,0.2,
word,3.3137,4.01918,place.,en-uk_place.m4a,0.2,
