title,To the Moon!,book_en_413_page_0_1.m4a,book_en_413_page_0,portrait,audio,
page,1,book_en_413_page_1,wordwrap,
paragraph
sentence,book_en_413_page_1_1.m4a,0,
word,0,0.859123,Once,en-uk_once.m4a,0.2,
word,0.859123,1.02643,there,en-uk_there.m4a,0.2,
word,1.02643,1.16851,was,en-uk_was.m4a,0.2,
word,1.16851,1.41011,a,en-uk_a.m4a,0.2,
word,1.41011,1.69051,boy,en-uk_boy.m4a,0.2,
word,1.69051,2.08458,named,en-uk_named.m4a,0.2,
word,2.08458,2.49823,Kartik,en-uk_john.m4a,0.2,
word,2.49823,3.11714,and,en-uk_and.m4a,0.2,
word,3.11714,3.31941,a,en-uk_a.m4a,0.2,
word,3.31941,3.83428,girl,en-uk_girl.m4a,0.2,
word,3.83428,4.31926,named,en-uk_named.m4a,0.2,
word,4.31926,4.99562,Rani.,en-uk_june.m4a,0.2,
sentence,book_en_413_page_1_2.m4a,5.99562,
word,0,0.475079,One,en-uk_one.m4a,0.2,
word,0.475079,1.2072,day,en-uk_day.m4a,0.2,
word,1.2072,1.77521,Kartik,en-uk_john.m4a,0.2,
word,1.77521,2.09337,and,en-uk_and.m4a,0.2,
word,2.09337,2.82636,Rani,en-uk_june.m4a,0.2,
word,2.82636,3.71101,decided,en-uk_decided.m4a,0.2,
word,3.71101,3.92507,to,en-uk_to.m4a,0.2,
word,3.92507,4.30247,go,en-uk_go.m4a,0.2,
word,4.30247,4.42136,to,en-uk_to.m4a,0.2,
word,4.42136,4.6085,the,en-uk_the.m4a,0.2,
word,4.6085,5.0712,moon.,en-uk_moon.m4a,0.2,
page,2,book_en_413_page_2,wordwrap,
paragraph
sentence,book_en_413_page_2_1.m4a,0,
word,0,0.549048,“What,en-uk_what.m4a,0.2,
word,0.549048,0.726546,should,en-uk_should.m4a,0.2,
word,0.726546,1.00105,we,en-uk_we.m4a,0.2,
word,1.00105,1.29541,bring,en-uk_bring.m4a,0.2,
word,1.29541,1.48168,with,en-uk_with.m4a,0.2,
word,1.48168,1.95254,us?”,en-uk_us.m4a,0.2,
sentence,book_en_413_page_2_2.m4a,2.95254,
word,0,0.656809,Kartik,en-uk_john.m4a,0.2,
word,0.656809,1.02044,asked,en-uk_asked.m4a,0.2,
word,1.02044,1.6173,Rani.,en-uk_june.m4a,0.2,
sentence,book_en_413_page_2_3.m4a,5.56984,
