title,Life in the Forest,book_en_415_page_0_1.m4a,book_en_415_page_0,portrait,audio,
page,1,book_en_415_page_1,wordwrap,
paragraph
sentence,book_en_415_page_1_1.m4a,0,
word,0,0.299512,The,en-uk_the.m4a,0.2,
word,0.299512,0.682948,forest,en-uk_forest.m4a,0.2,
word,0.682948,0.899841,is,en-uk_is.m4a,0.2,
word,0.899841,1.23314,full,en-uk_full.m4a,0.2,
word,1.23314,1.36661,of,en-uk_of.m4a,0.2,
word,1.36661,1.99977,life.,en-uk_life.m4a,0.2,
sentence,book_en_415_page_1_2.m4a,3.13551,
word,0,0.316057,There,en-uk_there.m4a,0.2,
word,0.316057,0.467048,are,en-uk_are.m4a,0.2,
word,0.467048,0.78543,many,en-uk_many.m4a,0.2,
word,0.78543,1.04997,living,en-uk_living.m4a,0.2,
word,1.04997,1.44996,things,en-uk_things.m4a,0.2,
word,1.44996,1.9842,here.,en-uk_here.m4a,0.2,
page,2,book_en_415_page_2,wordwrap,
paragraph
sentence,book_en_415_page_2_1.m4a,0,
word,0,0.316906,This,en-uk_this.m4a,0.2,
word,0.316906,0.76666,forest,en-uk_forest.m4a,0.2,
word,0.76666,0.966643,is,en-uk_is.m4a,0.2,
word,0.966643,1.13352,full,en-uk_full.m4a,0.2,
word,1.13352,1.40013,of,en-uk_of.m4a,0.2,
word,1.40013,2.0501,trees.,en-uk_trees.m4a,0.2,
sentence,book_en_415_page_2_2.m4a,3,
word,0,0.366811,Trees,en-uk_trees.m4a,0.2,
word,0.366811,0.733282,can,en-uk_can.m4a,0.2,
word,0.733282,0.98356,live,en-uk_live.m4a,0.2,
word,0.98356,1.16703,for,en-uk_for.m4a,0.2,
word,1.16703,1.56693,hundreds,en-uk_hundreds.m4a,0.2,
word,1.56693,1.68351,of,en-uk_of.m4a,0.2,
word,1.68351,2.33457,years.,en-uk_years.m4a,0.2,
page,3,book_en_415_page_3,wordwrap,
paragraph
sentence,book_en_415_page_3_1.m4a,0,
word,0,0.349752,This,en-uk_this.m4a,0.2,
word,0.349752,0.766541,forest,en-uk_forest.m4a,0.2,
word,0.766541,1.03511,is,en-uk_is.m4a,0.2,
word,1.03511,1.18309,full,en-uk_full.m4a,0.2,
word,1.18309,1.36094,of,en-uk_of.m4a,0.2,
word,1.36094,2.06655,birds.,en-uk_birds.m4a,0.2,
sentence,book_en_415_page_3_2.m4a,3.14934,
word,0,0.316998,Some,en-uk_some.m4a,0.2,
word,0.316998,0.683512,birds,en-uk_birds.m4a,0.2,
word,0.683512,1.01734,have,en-uk_have.m4a,0.2,
word,1.01734,1.40053,nests,en-uk_nests.m4a,0.2,
word,1.40053,1.56725,in,en-uk_in.m4a,0.2,
word,1.56725,2.3841,trees.,en-uk_trees.m4a,0.2,
page,4,book_en_415_page_4,wordwrap,
paragraph
sentence,book_en_415_page_4_1.m4a,0,
word,0,0.300634,This,en-uk_this.m4a,0.2,
word,0.300634,0.734124,forest,en-uk_forest.m4a,0.2,
word,0.734124,0.917449,is,en-uk_is.m4a,0.2,
word,0.917449,1.18387,full,en-uk_full.m4a,0.2,
word,1.18387,1.35081,of,en-uk_of.m4a,0.2,
word,1.35081,2.08501,frogs.,en-uk_frogs.m4a,0.2,
sentence,book_en_415_page_4_2.m4a,3.10989,
word,0,0.300003,There,en-uk_there.m4a,0.2,
word,0.300003,0.449202,are,en-uk_are.m4a,0.2,
word,0.449202,0.718562,many,en-uk_many.m4a,0.2,
word,0.718562,1.05278,kinds,en-uk_kinds.m4a,0.2,
word,1.05278,1.21679,of,en-uk_of.m4a,0.2,
word,1.21679,1.93336,frogs.,en-uk_frogs.m4a,0.2,
page,5,book_en_415_page_5,wordwrap,
paragraph
sentence,book_en_415_page_5_1.m4a,0,
word,0,0.349879,This,en-uk_this.m4a,0.2,
word,0.349879,0.749851,forest,en-uk_forest.m4a,0.2,
word,0.749851,0.932668,is,en-uk_is.m4a,0.2,
word,0.932668,1.0999,full,en-uk_full.m4a,0.2,
word,1.0999,1.35008,of,en-uk_of.m4a,0.2,
word,1.35008,2.08324,butterflies.,en-uk_butterflies.m4a,0.2,
sentence,book_en_415_page_5_2.m4a,3.23107,
word,0,0.416439,Some,en-uk_some.m4a,0.2,
word,0.416439,0.7832,birds,en-uk_birds.m4a,0.2,
word,0.7832,1.03317,eat,en-uk_eat.m4a,0.2,
word,1.03317,2.03292,butterflies.,en-uk_butterflies.m4a,0.2,
page,6,book_en_415_page_6,wordwrap,
paragraph
sentence,book_en_415_page_6_1.m4a,0,
word,0,0.283253,This,en-uk_this.m4a,0.2,
word,0.283253,0.587124,forest,en-uk_forest.m4a,0.2,
word,0.587124,0.849804,is,en-uk_is.m4a,0.2,
word,0.849804,1.01685,full,en-uk_full.m4a,0.2,
word,1.01685,1.1998,of,en-uk_of.m4a,0.2,
word,1.1998,1.99931,mushrooms.,en-uk_mushrooms.m4a,0.2,
sentence,book_en_415_page_6_2.m4a,3.10882,
word,0,0.332988,Many,en-uk_many.m4a,0.2,
word,0.332988,0.866324,mushrooms,en-uk_mushrooms.m4a,0.2,
word,0.866324,1.0665,are,en-uk_are.m4a,0.2,
word,1.0665,1.59993,dangerous,en-uk_dangerous.m4a,0.2,
word,1.59993,1.76639,to,en-uk_to.m4a,0.2,
word,1.76639,2.41726,eat.,en-uk_eat.m4a,0.2,
page,7,book_en_415_page_7,wordwrap,
paragraph
sentence,book_en_415_page_7_1.m4a,0,
word,0,0.333078,This,en-uk_this.m4a,0.2,
word,0.333078,0.601817,forest,en-uk_forest.m4a,0.2,
word,0.601817,0.81666,is,en-uk_is.m4a,0.2,
word,0.81666,1.05021,full,en-uk_full.m4a,0.2,
word,1.05021,1.35393,of,en-uk_of.m4a,0.2,
word,1.35393,2.0831,squirrels.,en-uk_squirrels.m4a,0.2,
sentence,book_en_415_page_7_2.m4a,3.06807,
word,0,0.300011,They,en-uk_they.m4a,0.2,
word,0.300011,0.499978,sit,en-uk_sit.m4a,0.2,
word,0.499978,0.833279,high,en-uk_high.m4a,0.2,
word,0.833279,1.0333,on,en-uk_on.m4a,0.2,
word,1.0333,1.40017,tree,en-uk_tree.m4a,0.2,
word,1.40017,2.14456,branches.,en-uk_branches.m4a,0.2,
page,8,book_en_415_page_8,wordwrap,
paragraph
sentence,book_en_415_page_8_1.m4a,0,
word,0,0.283416,This,en-uk_this.m4a,0.2,
word,0.283416,0.683386,forest,en-uk_forest.m4a,0.2,
word,0.683386,0.89988,is,en-uk_is.m4a,0.2,
word,0.89988,1.10012,full,en-uk_full.m4a,0.2,
word,1.10012,1.31588,of,en-uk_of.m4a,0.2,
word,1.31588,1.91639,moss.,en-uk_moss.m4a,0.2,
sentence,book_en_415_page_8_2.m4a,2.90506,
word,0,0.45002,Some,en-uk_some.m4a,0.2,
word,0.45002,0.761901,moss,en-uk_moss.m4a,0.2,
word,0.761901,1.07146,grows,en-uk_grows.m4a,0.2,
word,1.07146,1.24986,on,en-uk_on.m4a,0.2,
word,1.24986,1.9662,trees.,en-uk_trees.m4a,0.2,
page,9,book_en_415_page_9,wordwrap,
paragraph
sentence,book_en_415_page_9_1.m4a,0,
word,0,0.71657,"Animals,",en-uk_animals.m4a,0.2,
word,0.71657,1.15009,"plants,",en-uk_plants.m4a,0.2,
word,1.15009,1.96654,mushrooms,en-uk_mushrooms.m4a,0.2,
word,1.96654,2.21656,and,en-uk_and.m4a,0.2,
word,2.21656,2.63297,moss,en-uk_moss.m4a,0.2,
word,2.63297,2.89982,are,en-uk_are.m4a,0.2,
word,2.89982,3.51188,alive.,en-uk_alive.m4a,0.2,
sentence,book_en_415_page_9_2.m4a,4.51188,
word,0,0.316786,The,en-uk_the.m4a,0.2,
word,0.316786,0.666705,forest,en-uk_forest.m4a,0.2,
word,0.666705,0.935103,is,en-uk_is.m4a,0.2,
word,0.935103,1.10013,full,en-uk_full.m4a,0.2,
word,1.10013,1.29985,of,en-uk_of.m4a,0.2,
word,1.29985,1.96451,life.,en-uk_life.m4a,0.2,
