title,In the Coconut Tree,book_en_418_page_0_1.m4a,book_en_418_page_0,portrait,audio,
page,1,book_en_418_page_1,wordwrap,
paragraph
sentence,book_en_418_page_1_1.m4a,0,
word,0,0.2,There,en-uk_there.m4a,0.2,
word,0.2,0.3,is,en-uk_is.m4a,0.2,
word,0.3,0.4,a,en-uk_a.m4a,0.2,
word,0.4,0.8,coconut,en-uk_coconut.m4a,0.2,
word,0.8,1.1,tree,en-uk_tree.m4a,0.2,
word,1.1,1.4,at,en-uk_at.m4a,0.2,
word,1.4,1.6,my,en-uk_my.m4a,0.2,
word,1.6,1.9,house.,en-uk_house.m4a,0.2,
sentence,book_en_418_page_1_2.m4a,3.40909,
word,0,0.1,There,en-uk_there.m4a,0.2,
word,0.1,0.2,are,en-uk_are.m4a,0.2,
word,0.2,0.5,many,en-uk_many.m4a,0.2,
word,0.5,1.2,coconuts,en-uk_coconuts.m4a,0.2,
word,1.2,1.4,in,en-uk_in.m4a,0.2,
word,1.4,1.5,the,en-uk_the.m4a,0.2,
word,1.5,1.7,tree.,en-uk_tree.m4a,0.2,
page,2,book_en_418_page_2,wordwrap,
paragraph
sentence,book_en_418_page_2_1.m4a,0,
word,0,0.3,Getting,en-uk_getting.m4a,0.2,
word,0.3,0.4,a,en-uk_a.m4a,0.2,
word,0.4,1,coconut,en-uk_coconut.m4a,0.2,
word,1,1.1,to,en-uk_to.m4a,0.2,
word,1.1,1.4,eat,en-uk_eat.m4a,0.2,
word,1.4,1.5,is,en-uk_is.m4a,0.2,
word,1.5,1.8,not,en-uk_not.m4a,0.2,
word,1.8,2.3,easy.,en-uk_easy.m4a,0.2,
page,3,book_en_418_page_3,wordwrap,
paragraph
sentence,book_en_418_page_3_1.m4a,0,
word,0,0.2,Is,en-uk_is.m4a,0.2,
word,0.2,0.4,there,en-uk_there.m4a,0.2,
word,0.4,0.5,a,en-uk_a.m4a,0.2,
word,0.5,0.9,coconut,en-uk_coconut.m4a,0.2,
word,0.9,1.1,on,en-uk_on.m4a,0.2,
word,1.1,1.2,the,en-uk_the.m4a,0.2,
word,1.2,1.6,ground?,en-uk_ground.m4a,0.2,
sentence,book_en_418_page_3_2.m4a,2.81841,
word,0,0.283411,I,en-uk_i.m4a,0.2,
word,0.283411,0.606119,see,en-uk_see.m4a,0.2,
word,0.606119,0.866571,no,en-uk_no.m4a,0.2,
word,0.866571,1.38355,coconuts,en-uk_coconuts.m4a,0.2,
word,1.38355,1.6502,on,en-uk_on.m4a,0.2,
word,1.6502,1.83326,the,en-uk_the.m4a,0.2,
word,1.83326,2.23296,ground.,en-uk_ground.m4a,0.2,
page,4,book_en_418_page_4,wordwrap,
paragraph
sentence,book_en_418_page_4_1.m4a,0,
word,0,0.317343,I,en-uk_i.m4a,0.2,
word,0.317343,0.550625,need,en-uk_need.m4a,0.2,
word,0.550625,0.750481,to,en-uk_to.m4a,0.2,
word,0.750481,0.98393,climb,en-uk_climb.m4a,0.2,
word,0.98393,1.167,up,en-uk_up.m4a,0.2,
word,1.167,1.31713,the,en-uk_the.m4a,0.2,
word,1.31713,1.7173,coconut,en-uk_coconut.m4a,0.2,
word,1.7173,2.27109,tree.,en-uk_tree.m4a,0.2,
sentence,book_en_418_page_4_2.m4a,3.27109,
word,0,0.2,Our,en-uk_our.m4a,0.2,
word,0.2,0.5,tree,en-uk_tree.m4a,0.2,
word,0.5,0.8,has,en-uk_has.m4a,0.2,
word,0.8,1.2,steps,en-uk_steps.m4a,0.2,
word,1.2,1.5,cut,en-uk_cut.m4a,0.2,
word,1.5,1.7,in,en-uk_in.m4a,0.2,
word,1.7,1.9,it.,en-uk_it.m4a,0.2,
page,5,book_en_418_page_5,wordwrap,
paragraph
sentence,book_en_418_page_5_1.m4a,0,
word,0,0.350137,I,en-uk_i.m4a,0.2,
word,0.350137,0.673291,pick,en-uk_pick.m4a,0.2,
word,0.673291,0.933414,a,en-uk_a.m4a,0.2,
word,0.933414,1.48348,coconut.,en-uk_coconut.m4a,0.2,
sentence,book_en_418_page_5_2.m4a,2.58374,
word,0,0.400125,Now,en-uk_now.m4a,0.2,
word,0.400125,0.666645,I,en-uk_i.m4a,0.2,
word,0.666645,0.916489,need,en-uk_need.m4a,0.2,
word,0.916489,1.1331,to,en-uk_to.m4a,0.2,
word,1.1331,1.40018,open,en-uk_open.m4a,0.2,
word,1.40018,1.56683,the,en-uk_the.m4a,0.2,
word,1.56683,2.14978,coconut!,en-uk_coconut.m4a,0.2,
page,6,book_en_418_page_6,wordwrap,
paragraph
sentence,book_en_418_page_6_1.m4a,0,
word,0,0.316686,"First,",en-uk_first.m4a,0.2,
word,0.316686,0.583521,I,en-uk_i.m4a,0.2,
word,0.583521,0.866801,pull,en-uk_pull.m4a,0.2,
word,0.866801,1.13344,off,en-uk_off.m4a,0.2,
word,1.13344,1.31676,the,en-uk_the.m4a,0.2,
word,1.31676,1.53347,tough,en-uk_tough.m4a,0.2,
word,1.53347,1.91655,husk.,en-uk_husk.m4a,0.2,
sentence,book_en_418_page_6_2.m4a,3.14531,
word,0,0.2,The,en-uk_the.m4a,0.2,
word,0.2,0.4,hard,en-uk_hard.m4a,0.2,
word,0.4,0.6,shell,en-uk_shell.m4a,0.2,
word,0.6,0.9,is,en-uk_is.m4a,0.2,
word,0.9,1.5,inside.,en-uk_inside.m4a,0.2,
page,7,book_en_418_page_7,wordwrap,
paragraph
sentence,book_en_418_page_7_1.m4a,0,
word,0,0.416741,Mother,en-uk_mama.m4a,0.2,
word,0.416741,0.740802,helps,en-uk_helps.m4a,0.2,
word,0.740802,0.983645,to,en-uk_to.m4a,0.2,
word,0.983645,1.21654,cut,en-uk_cut.m4a,0.2,
word,1.21654,1.52424,open,en-uk_open.m4a,0.2,
word,1.52424,1.65061,the,en-uk_the.m4a,0.2,
word,1.65061,2.16661,shell.,en-uk_shell.m4a,0.2,
sentence,book_en_418_page_7_2.m4a,3.1,
word,0,0.2,She,en-uk_she.m4a,0.2,
word,0.2,0.5,cuts,en-uk_cuts.m4a,0.2,
word,0.5,0.6,the,en-uk_the.m4a,0.2,
word,0.6,0.8,top,en-uk_top.m4a,0.2,
word,0.8,1,off,en-uk_off.m4a,0.2,
word,1,1.3,with,en-uk_with.m4a,0.2,
word,1.3,1.4,a,en-uk_a.m4a,0.2,
word,1.4,1.7,knife.,en-uk_knife.m4a,0.2,
page,8,book_en_418_page_8,wordwrap,
paragraph
sentence,book_en_418_page_8_1.m4a,0,
word,0,0.5,Inside,en-uk_inside.m4a,0.2,
word,0.5,0.6,the,en-uk_the.m4a,0.2,
word,0.6,1,shell,en-uk_shell.m4a,0.2,
word,1,1.1,is,en-uk_is.m4a,0.2,
word,1.1,1.2,the,en-uk_the.m4a,0.2,
word,1.2,1.5,part,en-uk_part.m4a,0.2,
word,1.5,1.7,I,en-uk_i.m4a,0.2,
word,1.7,2.1,want.,en-uk_want.m4a,0.2,
sentence,book_en_418_page_8_2.m4a,3.35272,
word,0,0.3,Thank,en-uk_thank.m4a,0.2,
word,0.3,0.4,"you,",en-uk_you.m4a,0.2,
word,0.4,0.8,mother!,en-uk_mama.m4a,0.2,
page,9,book_en_418_page_9,wordwrap,
paragraph
sentence,book_en_418_page_9_1.m4a,0,
word,0,0.383034,I,en-uk_i.m4a,0.2,
word,0.383034,0.649719,drink,en-uk_drink.m4a,0.2,
word,0.649719,0.916218,the,en-uk_the.m4a,0.2,
word,0.916218,1.19994,sweet,en-uk_sweet.m4a,0.2,
word,1.19994,1.93306,water.,en-uk_water.m4a,0.2,
sentence,book_en_418_page_9_2.m4a,2.91626,
word,0,0.316656,I,en-uk_i.m4a,0.2,
word,0.316656,0.450027,eat,en-uk_eat.m4a,0.2,
word,0.450027,0.983434,the,en-uk_the.m4a,0.2,
word,0.983434,1.41677,delicious,en-uk_delicious.m4a,0.2,
