title,Edith and Her Book,book_en_419_page_0_1.m4a,book_en_419_page_0,portrait,audio,
page,1,book_en_419_page_1,wordwrap,
paragraph
sentence,book_en_419_page_1_1.m4a,0,
word,0,0.2,This,en-uk_this.m4a,0.2,
word,0.2,0.4,is,en-uk_is.m4a,0.2,
word,0.4,0.7,Edith.,en-uk_edith.m4a,0.2,
sentence,book_en_419_page_1_2.m4a,2.02227,
word,0,0.316957,She,en-uk_she.m4a,0.2,
word,0.316957,0.566759,likes,en-uk_likes.m4a,0.2,
word,0.566759,0.700053,to,en-uk_to.m4a,0.2,
word,0.700053,1.15193,read.,en-uk_read.m4a,0.2,
page,2,book_en_419_page_2,wordwrap,
paragraph
sentence,book_en_419_page_2_1.m4a,0,
word,0,0.3,Edith,en-uk_edith.m4a,0.2,
word,0.3,0.6,has,en-uk_has.m4a,0.2,
word,0.6,1,one,en-uk_one.m4a,0.2,
word,1,1.3,book,en-uk_book.m4a,0.2,
word,1.3,1.4,at,en-uk_at.m4a,0.2,
word,1.4,1.7,home.,en-uk_home.m4a,0.2,
sentence,book_en_419_page_2_2.m4a,3.01848,
word,0,0.1,It,en-uk_it.m4a,0.2,
word,0.1,0.2,is,en-uk_is.m4a,0.2,
word,0.2,0.3,her,en-uk_her.m4a,0.2,
word,0.3,0.9,favorite,en-uk_favorite.m4a,0.2,
word,0.9,1.1,book.,en-uk_book.m4a,0.2,
page,3,book_en_419_page_3,wordwrap,
paragraph
sentence,book_en_419_page_3_1.m4a,0,
word,0,0.233391,But,en-uk_but.m4a,0.2,
word,0.233391,0.466867,now,en-uk_now.m4a,0.2,
word,0.466867,0.716652,she,en-uk_she.m4a,0.2,
word,0.716652,0.916537,can’t,en-uk_can't.m4a,0.2,
word,0.916537,1.22925,find,en-uk_find.m4a,0.2,
word,1.22925,1.54992,it.,en-uk_it.m4a,0.2,
sentence,book_en_419_page_3_2.m4a,2.62209,
word,0,0.233309,She,en-uk_she.m4a,0.2,
word,0.233309,0.483325,is,en-uk_is.m4a,0.2,
word,0.483325,0.999997,worried.,en-uk_worried.m4a,0.2,
page,4,book_en_419_page_4,wordwrap,
paragraph
sentence,book_en_419_page_4_1.m4a,0,
word,0,0.2,“Where,en-uk_where.m4a,0.2,
word,0.2,0.3,is,en-uk_is.m4a,0.2,
word,0.3,0.5,my,en-uk_my.m4a,0.2,
word,0.5,0.9,book?”,en-uk_book.m4a,0.2,
sentence,book_en_419_page_4_2.m4a,2.17642,
word,0,0.2,she,en-uk_she.m4a,0.2,
word,0.2,0.8,asks.,en-uk_asks.m4a,0.2,
page,5,book_en_419_page_5,wordwrap,
paragraph
sentence,book_en_419_page_5_1.m4a,0,
word,0,0.29983,She,en-uk_she.m4a,0.2,
word,0.29983,0.568433,wants,en-uk_wants.m4a,0.2,
word,0.568433,0.799903,to,en-uk_to.m4a,0.2,
word,0.799903,1.06656,read,en-uk_read.m4a,0.2,
word,1.06656,1.26669,her,en-uk_her.m4a,0.2,
word,1.26669,1.63322,favorite,en-uk_favorite.m4a,0.2,
word,1.63322,1.93789,book,en-uk_book.m4a,0.2,
word,1.93789,2.38324,again.,en-uk_again.m4a,0.2,
page,6,book_en_419_page_6,wordwrap,
paragraph
sentence,book_en_419_page_6_1.m4a,0,
word,0,0.1,The,en-uk_the.m4a,0.2,
word,0.1,0.3,book,en-uk_book.m4a,0.2,
word,0.3,0.6,isn’t,en-uk_isn't.m4a,0.2,
word,0.6,0.9,on,en-uk_on.m4a,0.2,
word,0.9,1,her,en-uk_her.m4a,0.2,
word,1,1.4,chair.,en-uk_chair.m4a,0.2,
page,7,book_en_419_page_7,wordwrap,
paragraph
sentence,book_en_419_page_7_1.m4a,0,
word,0,0.1,The,en-uk_the.m4a,0.2,
word,0.1,0.4,book,en-uk_book.m4a,0.2,
word,0.4,0.6,isn’t,en-uk_isn't.m4a,0.2,
word,0.6,1,under,en-uk_under.m4a,0.2,
word,1,1.1,the,en-uk_the.m4a,0.2,
word,1.1,1.5,bed.,en-uk_bed.m4a,0.2,
page,8,book_en_419_page_8,wordwrap,
paragraph
sentence,book_en_419_page_8_1.m4a,0,
word,0,0.2,"“Hey,",en-uk_hey.m4a,0.2,
word,0.2,0.7,Edith!”,en-uk_edith.m4a,0.2,
sentence,book_en_419_page_8_2.m4a,2.00662,
word,0,0.3,yells,en-uk_yells.m4a,0.2,
word,0.3,0.6,Mother,en-uk_mama.m4a,0.2,
word,0.6,0.7,from,en-uk_from.m4a,0.2,
word,0.7,0.9,outside.,en-uk_outside.m4a,0.2,
page,9,book_en_419_page_9,wordwrap,
paragraph
sentence,book_en_419_page_9_1.m4a,0,
word,0,0.3,“Here,en-uk_here.m4a,0.2,
word,0.3,0.4,is,en-uk_is.m4a,0.2,
word,0.4,0.5,your,en-uk_your.m4a,0.2,
word,0.5,0.9,"book,”",en-uk_book.m4a,0.2,
sentence,book_en_419_page_9_2.m4a,2.19828,
word,0,0.4,Mother,en-uk_mama.m4a,0.2,
word,0.4,0.7,says.,en-uk_says.m4a,0.2,
page,10,book_en_419_page_10,wordwrap,
paragraph
sentence,book_en_419_page_10_1.m4a,0,
word,0,0.3,“Books,en-uk_books.m4a,0.2,
word,0.3,0.4,are,en-uk_are.m4a,0.2,
word,0.4,1,precious.,en-uk_precious.m4a,0.2,
sentence,book_en_419_page_10_2.m4a,2.31959,
word,0,0.3,Don’t,en-uk_don't.m4a,0.2,
word,0.3,0.7,lose,en-uk_lose.m4a,0.2,
word,0.7,0.9,them!”,en-uk_them.m4a,0.2,
