title,This is My Body,book_en_420_page_0_1.m4a,book_en_420_page_0,portrait,audio,
page,1,book_en_420_page_1,wordwrap,
paragraph
sentence,book_en_420_page_1_1.m4a,0,
word,0,0.366863,This,en-uk_this.m4a,0.2,
word,0.366863,0.583237,is,en-uk_is.m4a,0.2,
word,0.583237,0.749734,my,en-uk_my.m4a,0.2,
word,0.749734,1.30034,head.,en-uk_head.m4a,0.2,
sentence,book_en_420_page_1_2.m4a,2.24542,
word,0,0.316851,I,en-uk_i.m4a,0.2,
word,0.316851,0.516665,have,en-uk_have.m4a,0.2,
word,0.516665,0.783469,two,en-uk_two.m4a,0.2,
word,0.783469,1.31699,"eyes,",en-uk_eyes.m4a,0.2,
word,1.31699,1.63347,two,en-uk_two.m4a,0.2,
word,1.63347,2.16665,"ears,",en-uk_ears.m4a,0.2,
word,2.16665,2.4334,a,en-uk_a.m4a,0.2,
word,2.4334,2.66668,nose,en-uk_nose.m4a,0.2,
word,2.66668,3.18344,and,en-uk_and.m4a,0.2,
word,3.18344,3.36646,a,en-uk_a.m4a,0.2,
word,3.36646,3.86671,mouth.,en-uk_mouth.m4a,0.2,
page,2,book_en_420_page_2,wordwrap,
paragraph
sentence,book_en_420_page_2_1.m4a,0,
word,0,0.316726,This,en-uk_this.m4a,0.2,
word,0.316726,0.55027,is,en-uk_is.m4a,0.2,
word,0.55027,0.750106,my,en-uk_my.m4a,0.2,
word,0.750106,1.2856,hair.,en-uk_hair.m4a,0.2,
sentence,book_en_420_page_2_2.m4a,2.22673,
word,0,0.299947,I,en-uk_i.m4a,0.2,
word,0.299947,0.466677,have,en-uk_have.m4a,0.2,
word,0.466677,0.833123,long,en-uk_long.m4a,0.2,
word,0.833123,1.3499,hair.,en-uk_hair.m4a,0.2,
sentence,book_en_420_page_2_3.m4a,4.578,
word,0,0.283307,Is,en-uk_is.m4a,0.2,
word,0.283307,0.499354,your,en-uk_your.m4a,0.2,
word,0.499354,0.799555,hair,en-uk_hair.m4a,0.2,
word,0.799555,1.0662,long,en-uk_long.m4a,0.2,
word,1.0662,1.26628,or,en-uk_or.m4a,0.2,
word,1.26628,1.86618,short?,en-uk_short.m4a,0.2,
page,3,book_en_420_page_3,wordwrap,
paragraph
sentence,book_en_420_page_3_1.m4a,0,
word,0,0.316968,This,en-uk_this.m4a,0.2,
word,0.316968,0.499672,is,en-uk_is.m4a,0.2,
word,0.499672,0.683283,my,en-uk_my.m4a,0.2,
word,0.683283,1.28298,hand.,en-uk_hand.m4a,0.2,
sentence,book_en_420_page_3_2.m4a,2.22673,
word,0,0.266598,I,en-uk_i.m4a,0.2,
word,0.266598,0.467165,have,en-uk_have.m4a,0.2,
word,0.467165,0.733074,five,en-uk_five.m4a,0.2,
word,0.733074,1.24985,fingers,en-uk_fingers.m4a,0.2,
word,1.24985,1.38321,on,en-uk_on.m4a,0.2,
word,1.38321,1.51643,my,en-uk_my.m4a,0.2,
word,1.51643,1.99889,hand.,en-uk_hand.m4a,0.2,
page,4,book_en_420_page_4,wordwrap,
paragraph
sentence,book_en_420_page_4_1.m4a,0,
word,0,0.333265,This,en-uk_this.m4a,0.2,
word,0.333265,0.51666,is,en-uk_is.m4a,0.2,
word,0.51666,0.766804,my,en-uk_my.m4a,0.2,
word,0.766804,1.21683,foot.,en-uk_foot.m4a,0.2,
sentence,book_en_420_page_4_2.m4a,2.24508,
word,0,0.266631,I,en-uk_i.m4a,0.2,
word,0.266631,0.45022,have,en-uk_have.m4a,0.2,
word,0.45022,0.766572,five,en-uk_five.m4a,0.2,
word,0.766572,1.23298,toes,en-uk_toes.m4a,0.2,
word,1.23298,1.39999,on,en-uk_on.m4a,0.2,
word,1.39999,1.56681,my,en-uk_my.m4a,0.2,
word,1.56681,1.9802,foot.,en-uk_foot.m4a,0.2,
page,5,book_en_420_page_5,wordwrap,
paragraph
sentence,book_en_420_page_5_1.m4a,0,
word,0,0.316538,This,en-uk_this.m4a,0.2,
word,0.316538,0.516172,is,en-uk_is.m4a,0.2,
word,0.516172,0.833161,my,en-uk_my.m4a,0.2,
word,0.833161,1.33334,arm.,en-uk_arm.m4a,0.2,
sentence,book_en_420_page_5_2.m4a,2.32635,
word,0,0.250422,My,en-uk_my.m4a,0.2,
word,0.250422,0.5363,hand,en-uk_hand.m4a,0.2,
word,0.5363,0.766922,is,en-uk_is.m4a,0.2,
word,0.766922,0.933337,on,en-uk_on.m4a,0.2,
word,0.933337,1.11669,the,en-uk_the.m4a,0.2,
word,1.11669,1.36671,end,en-uk_end.m4a,0.2,
word,1.36671,1.48345,of,en-uk_of.m4a,0.2,
word,1.48345,1.59999,my,en-uk_my.m4a,0.2,
word,1.59999,2.11713,arm.,en-uk_arm.m4a,0.2,
page,6,book_en_420_page_6,wordwrap,
paragraph
sentence,book_en_420_page_6_1.m4a,0,
word,0,0.28368,This,en-uk_this.m4a,0.2,
word,0.28368,0.517022,is,en-uk_is.m4a,0.2,
word,0.517022,0.700335,my,en-uk_my.m4a,0.2,
word,0.700335,1.21796,leg.,en-uk_leg.m4a,0.2,
sentence,book_en_420_page_6_2.m4a,2.15823,
word,0,0.333259,My,en-uk_my.m4a,0.2,
word,0.333259,0.633055,foot,en-uk_foot.m4a,0.2,
word,0.633055,0.79982,is,en-uk_is.m4a,0.2,
word,0.79982,1.01701,on,en-uk_on.m4a,0.2,
word,1.01701,1.14989,the,en-uk_the.m4a,0.2,
word,1.14989,1.3668,end,en-uk_end.m4a,0.2,
word,1.3668,1.49954,of,en-uk_of.m4a,0.2,
word,1.49954,1.66672,my,en-uk_my.m4a,0.2,
word,1.66672,2.00512,leg.,en-uk_leg.m4a,0.2,
page,7,book_en_420_page_7,wordwrap,
paragraph
sentence,book_en_420_page_7_1.m4a,0,
word,0,0.282975,This,en-uk_this.m4a,0.2,
word,0.282975,0.500341,is,en-uk_is.m4a,0.2,
word,0.500341,0.666291,my,en-uk_my.m4a,0.2,
word,0.666291,1.25031,body!,en-uk_body.m4a,0.2,
sentence,book_en_420_page_7_2.m4a,2.35751,
word,0,0.283586,All,en-uk_all.m4a,0.2,
word,0.283586,0.616778,bodies,en-uk_bodies.m4a,0.2,
word,0.616778,0.850196,are,en-uk_are.m4a,0.2,
word,0.850196,1.36689,"different,",en-uk_different.m4a,0.2,
word,1.36689,1.91658,but,en-uk_but.m4a,0.2,
word,1.91658,2.06671,all,en-uk_all.m4a,0.2,
word,2.06671,2.23342,of,en-uk_of.m4a,0.2,
word,2.23342,2.43341,us,en-uk_us.m4a,0.2,
word,2.43341,2.69967,have,en-uk_have.m4a,0.2,
word,2.69967,3.21663,bodies!,en-uk_bodies.m4a,0.2,
