title,Market Day,book_en_421_page_0_1.m4a,book_en_421_page_0,portrait,audio,
page,1,book_en_421_page_1,wordwrap,
paragraph
sentence,book_en_421_page_1_1.m4a,0,
word,0,0.3,Today,en-uk_today.m4a,0.2,
word,0.3,0.7,is,en-uk_is.m4a,0.2,
word,0.7,1.1,market,en-uk_market.m4a,0.2,
word,1.1,1.3,day.,en-uk_day.m4a,0.2,
page,2,book_en_421_page_2,wordwrap,
paragraph
sentence,book_en_421_page_2_1.m4a,0,
word,0,0.7,Cecelia,en-uk_cecelia.m4a,0.2,
word,0.7,0.8,and,en-uk_and.m4a,0.2,
word,0.8,1,her,en-uk_her.m4a,0.2,
word,1,1.5,family,en-uk_family.m4a,0.2,
word,1.5,1.8,get,en-uk_get.m4a,0.2,
word,1.8,2,up,en-uk_up.m4a,0.2,
word,2,2.4,early.,en-uk_early.m4a,0.2,
sentence,book_en_421_page_2_2.m4a,3.77723,
word,0,0.1,They,en-uk_they.m4a,0.2,
word,0.1,0.4,will,en-uk_will.m4a,0.2,
word,0.4,0.5,bring,en-uk_bring.m4a,0.2,
word,0.5,0.7,the,en-uk_the.m4a,0.2,
word,0.7,1.2,vegetables,en-uk_vegetables.m4a,0.2,
word,1.2,1.4,they,en-uk_they.m4a,0.2,
word,1.4,1.7,grow,en-uk_grow.m4a,0.2,
word,1.7,2,to,en-uk_to.m4a,0.2,
word,2,2.4,sell,en-uk_sell.m4a,0.2,
word,2.4,2.6,at,en-uk_at.m4a,0.2,
word,2.6,2.7,the,en-uk_the.m4a,0.2,
word,2.7,3.1,market.,en-uk_market.m4a,0.2,
page,3,book_en_421_page_3,wordwrap,
paragraph
sentence,book_en_421_page_3_1.m4a,0,
word,0,0.1,They,en-uk_they.m4a,0.2,
word,0.1,0.5,pack,en-uk_pack.m4a,0.2,
word,0.5,0.6,their,en-uk_their.m4a,0.2,
word,0.6,1.3,vegetables,en-uk_vegetables.m4a,0.2,
word,1.3,1.7,into,en-uk_into.m4a,0.2,
word,1.7,1.8,their,en-uk_their.m4a,0.2,
word,1.8,2.6,baskets.,en-uk_baskets.m4a,0.2,
page,4,book_en_421_page_4,wordwrap,
paragraph
sentence,book_en_421_page_4_1.m4a,0,
word,0,0.283119,They,en-uk_they.m4a,0.2,
word,0.283119,0.5164,put,en-uk_put.m4a,0.2,
word,0.5164,0.716426,the,en-uk_the.m4a,0.2,
word,0.716426,1.06648,baskets,en-uk_baskets.m4a,0.2,
word,1.06648,1.24977,of,en-uk_of.m4a,0.2,
word,1.24977,1.89984,vegetables,en-uk_vegetables.m4a,0.2,
word,1.89984,2.09975,in,en-uk_in.m4a,0.2,
word,2.09975,2.26642,the,en-uk_the.m4a,0.2,
word,2.26642,2.44955,back,en-uk_back.m4a,0.2,
word,2.44955,2.59965,of,en-uk_of.m4a,0.2,
word,2.59965,2.70158,the,en-uk_the.m4a,0.2,
word,2.70158,3.03303,truck.,en-uk_truck.m4a,0.2,
page,5,book_en_421_page_5,wordwrap,
paragraph
sentence,book_en_421_page_5_1.m4a,0,
word,0,0.1,They,en-uk_they.m4a,0.2,
word,0.1,0.4,drive,en-uk_drive.m4a,0.2,
word,0.4,0.6,to,en-uk_to.m4a,0.2,
word,0.6,0.9,the,en-uk_the.m4a,0.2,
word,0.9,1.2,busy,en-uk_busy.m4a,0.2,
word,1.2,1.5,market,en-uk_market.m4a,0.2,
word,1.5,1.9,in,en-uk_in.m4a,0.2,
word,1.9,2.3,town.,en-uk_town.m4a,0.2,
page,6,book_en_421_page_6,wordwrap,
paragraph
sentence,book_en_421_page_6_1.m4a,0,
word,0,0.1,The,en-uk_the.m4a,0.2,
word,0.1,0.5,market,en-uk_market.m4a,0.2,
word,0.5,0.7,is,en-uk_is.m4a,0.2,
word,0.7,1,full,en-uk_full.m4a,0.2,
word,1,1.2,of,en-uk_of.m4a,0.2,
word,1.2,1.5,people.,en-uk_people.m4a,0.2,
sentence,book_en_421_page_6_2.m4a,3.09358,
word,0,0.7,Cecelia,en-uk_cecelia.m4a,0.2,
word,0.7,0.8,and,en-uk_and.m4a,0.2,
word,0.8,1.1,her,en-uk_her.m4a,0.2,
word,1.1,1.6,family,en-uk_family.m4a,0.2,
word,1.6,1.8,sell,en-uk_sell.m4a,0.2,
word,1.8,2.3,many,en-uk_many.m4a,0.2,
word,2.3,3.1,vegetables.,en-uk_vegetables.m4a,0.2,
page,7,book_en_421_page_7,wordwrap,
paragraph
sentence,book_en_421_page_7_1.m4a,0,
word,0,0.7,Cecelia,en-uk_cecelia.m4a,0.2,
word,0.7,1.1,likes,en-uk_likes.m4a,0.2,
word,1.1,1.5,market,en-uk_market.m4a,0.2,
word,1.5,1.8,day.,en-uk_day.m4a,0.2,
