title,Easy Addition,book_en_422_page_0_1.m4a,book_en_422_page_0,portrait,audio,
page,1,book_en_422_page_1,wordwrap,
paragraph
sentence,book_en_422_page_1_1.m4a,0,
word,0,0.2,Can,en-uk_can.m4a,0.2,
word,0.2,0.3,you,en-uk_you.m4a,0.2,
word,0.3,0.5,help,en-uk_help.m4a,0.2,
word,0.5,0.6,me,en-uk_me.m4a,0.2,
word,0.6,0.9,solve,en-uk_solve.m4a,0.2,
word,0.9,1.1,these,en-uk_these.m4a,0.2,
word,1.1,1.7,problems?,en-uk_problems.m4a,0.2,
page,2,book_en_422_page_2,wordwrap,
paragraph
sentence,book_en_422_page_2_1.m4a,0,
word,0,0.266805,I,en-uk_i.m4a,0.2,
word,0.266805,0.499927,have,en-uk_have.m4a,0.2,
word,0.499927,0.833338,1,en-uk_1.m4a,0.2,
word,0.833338,1.39989,mango.,en-uk_mango.m4a,0.2,
sentence,book_en_422_page_2_2.m4a,2.55621,
word,0,0.282925,My,en-uk_my.m4a,0.2,
word,0.282925,0.633555,friend,en-uk_friend.m4a,0.2,
word,0.633555,0.900028,has,en-uk_has.m4a,0.2,
word,0.900028,1.21131,1,en-uk_1.m4a,0.2,
word,1.21131,1.73313,mango.,en-uk_mango.m4a,0.2,
paragraph
sentence,book_en_422_page_2_3.m4a,5.40721,
word,0,0.233474,How,en-uk_how.m4a,0.2,
word,0.233474,0.451941,many,en-uk_many.m4a,0.2,
word,0.451941,0.76373,mangoes,en-uk_mangoes.m4a,0.2,
word,0.76373,0.9667,do,en-uk_do.m4a,0.2,
word,0.9667,1.11662,we,en-uk_we.m4a,0.2,
word,1.11662,1.38336,have,en-uk_have.m4a,0.2,
word,1.38336,1.83321,together?,en-uk_together.m4a,0.2,
paragraph
sentence,book_en_422_page_2_4.m4a,8.46862,
word,0,0.2,1,en-uk_1.m4a,0.2,
word,0.2,0.5,+,en-uk_plus.m4a,0.2,
word,0.5,0.8,1,en-uk_1.m4a,0.2,
word,0.8,0.9,=,en-uk_equal.m4a,0.2,
word,0.9,1.6,2,en-uk_2.m4a,0.2,
page,3,book_en_422_page_3,wordwrap,
paragraph
sentence,book_en_422_page_3_1.m4a,0,
word,0,0.233418,I,en-uk_i.m4a,0.2,
word,0.233418,0.483267,have,en-uk_have.m4a,0.2,
word,0.483267,0.850245,1,en-uk_1.m4a,0.2,
word,0.850245,1.46671,mango.,en-uk_mango.m4a,0.2,
sentence,book_en_422_page_3_2.m4a,2.61107,
word,0,0.2,My,en-uk_my.m4a,0.2,
word,0.2,0.7,sister,en-uk_sister.m4a,0.2,
word,0.7,1,has,en-uk_has.m4a,0.2,
word,1,1.2,2,en-uk_2.m4a,0.2,
word,1.2,1.8,mangoes.,en-uk_mangoes.m4a,0.2,
paragraph
sentence,book_en_422_page_3_3.m4a,5.80483,
word,0,0.2,How,en-uk_how.m4a,0.2,
word,0.2,0.5,many,en-uk_many.m4a,0.2,
word,0.5,0.9,mangoes,en-uk_mangoes.m4a,0.2,
word,0.9,1.1,do,en-uk_do.m4a,0.2,
word,1.1,1.2,we,en-uk_we.m4a,0.2,
