title,Be the Beat,book_en_423_page_0_1.m4a,book_en_423_page_0,portrait,audio,
page,1,book_en_423_page_1,wordwrap,
paragraph
sentence,book_en_423_page_1_1.m4a,0,
word,0,0.2,Can,en-uk_can.m4a,0.2,
word,0.2,0.4,you,en-uk_you.m4a,0.2,
word,0.4,0.5,make,en-uk_make.m4a,0.2,
word,0.5,0.7,music?,en-uk_music.m4a,0.2,
sentence,book_en_423_page_1_2.m4a,2.44551,
word,0,0.266567,I,en-uk_i.m4a,0.2,
word,0.266567,0.36659,can,en-uk_can.m4a,0.2,
word,0.36659,0.483541,play,en-uk_play.m4a,0.2,
word,0.483541,0.716925,the,en-uk_the.m4a,0.2,
word,0.716925,0.833921,drums.,en-uk_drums.m4a,0.2,
page,2,book_en_423_page_2,wordwrap,
paragraph
sentence,book_en_423_page_2_1.m4a,0,
word,0,0.14102,I,en-uk_i.m4a,0.2,
word,0.14102,0.583069,play,en-uk_play.m4a,0.2,
word,0.583069,0.749552,the,en-uk_the.m4a,0.2,
word,0.749552,1.09947,drums,en-uk_drums.m4a,0.2,
word,1.09947,1.43652,everywhere,en-uk_everywhere.m4a,0.2,
word,1.43652,1.69937,I,en-uk_i.m4a,0.2,
word,1.69937,2.27431,go.,en-uk_go.m4a,0.2,
page,3,book_en_423_page_3,wordwrap,
paragraph
sentence,book_en_423_page_3_1.m4a,0,
word,0,0.250023,I,en-uk_i.m4a,0.2,
word,0.250023,0.500243,drum,en-uk_drum.m4a,0.2,
word,0.500243,0.716882,out,en-uk_out.m4a,0.2,
word,0.716882,0.883664,a,en-uk_a.m4a,0.2,
word,0.883664,1.15034,beat,en-uk_beat.m4a,0.2,
word,1.15034,1.33384,on,en-uk_on.m4a,0.2,
word,1.33384,1.49612,my,en-uk_my.m4a,0.2,
word,1.49612,1.99311,desk.,en-uk_desk.m4a,0.2,
sentence,book_en_423_page_3_2.m4a,2.99311,
word,0,0.282885,I,en-uk_i.m4a,0.2,
word,0.282885,0.549729,use,en-uk_use.m4a,0.2,
word,0.549729,0.799578,my,en-uk_my.m4a,0.2,
word,0.799578,1.12833,pencil,en-uk_pencil.m4a,0.2,
word,1.12833,1.3658,to,en-uk_to.m4a,0.2,
word,1.3658,2.01646,drum.,en-uk_drum.m4a,0.2,
page,4,book_en_423_page_4,wordwrap,
paragraph
sentence,book_en_423_page_4_1.m4a,0,
word,0,0.300064,I,en-uk_i.m4a,0.2,
word,0.300064,0.40406,drum,en-uk_drum.m4a,0.2,
