title,Can You Picture That?,book_en_425_page_0_1.m4a,book_en_425_page_0,portrait,audio,
page,1,book_en_425_page_1,wordwrap,
paragraph
sentence,book_en_425_page_1_1.m4a,0,
word,0,0.2,My,en-uk_my.m4a,0.2,
word,0.2,0.5,book,en-uk_book.m4a,0.2,
word,0.5,0.7,has,en-uk_has.m4a,0.2,
word,0.7,0.9,no,en-uk_no.m4a,0.2,
word,0.9,1.1,pictures,en-uk_pictures.m4a,0.2,
word,1.1,1.6,in,en-uk_in.m4a,0.2,
word,1.6,1.8,it.,en-uk_it.m4a,0.2,
sentence,book_en_425_page_1_2.m4a,3.01279,
word,0,0.266305,I,en-uk_i.m4a,0.2,
word,0.266305,0.516072,see,en-uk_see.m4a,0.2,
word,0.516072,0.849789,pictures,en-uk_pictures.m4a,0.2,
word,0.849789,1.41565,anyway.,en-uk_anyway.m4a,0.2,
page,2,book_en_425_page_2,wordwrap,
paragraph
sentence,book_en_425_page_2_1.m4a,0,
word,0,0.1,The,en-uk_the.m4a,0.2,
word,0.1,0.5,pictures,en-uk_pictures.m4a,0.2,
word,0.5,0.8,are,en-uk_are.m4a,0.2,
word,0.8,0.9,in,en-uk_in.m4a,0.2,
word,0.9,1.1,my,en-uk_my.m4a,0.2,
word,1.1,1.4,head.,en-uk_head.m4a,0.2,
page,3,book_en_425_page_3,wordwrap,
paragraph
sentence,book_en_425_page_3_1.m4a,0,
word,0,0.267304,I,en-uk_i.m4a,0.2,
word,0.267304,0.600332,read,en-uk_read.m4a,0.2,
word,0.600332,0.887006,words,en-uk_words.m4a,0.2,
word,0.887006,1.28341,about,en-uk_about.m4a,0.2,
word,1.28341,1.53373,a,en-uk_a.m4a,0.2,
word,1.53373,1.9669,jungle.,en-uk_jungle.m4a,0.2,
sentence,book_en_425_page_3_2.m4a,3.15658,
word,0,0.149536,I,en-uk_i.m4a,0.2,
word,0.149536,0.633589,see,en-uk_see.m4a,0.2,
word,0.633589,0.899878,the,en-uk_the.m4a,0.2,
word,0.899878,1.26659,jungle,en-uk_jungle.m4a,0.2,
word,1.26659,1.48341,in,en-uk_in.m4a,0.2,
word,1.48341,1.63256,my,en-uk_my.m4a,0.2,
word,1.63256,2.01676,head.,en-uk_head.m4a,0.2,
page,4,book_en_425_page_4,wordwrap,
paragraph
sentence,book_en_425_page_4_1.m4a,0,
word,0,0.283341,I,en-uk_i.m4a,0.2,
word,0.283341,0.571443,read,en-uk_read.m4a,0.2,
word,0.571443,0.900134,about,en-uk_about.m4a,0.2,
word,0.900134,1.08334,a,en-uk_a.m4a,0.2,
word,1.08334,1.48329,mighty,en-uk_mighty.m4a,0.2,
word,1.48329,2.04989,lion.,en-uk_lion.m4a,0.2,
sentence,book_en_425_page_4_2.m4a,3.25415,
word,0,0.2,In,en-uk_in.m4a,0.2,
word,0.2,0.4,my,en-uk_my.m4a,0.2,
word,0.4,0.7,head,en-uk_head.m4a,0.2,
word,0.7,0.8,I,en-uk_i.m4a,0.2,
word,0.8,1.1,hear,en-uk_hear.m4a,0.2,
word,1.1,1.3,the,en-uk_the.m4a,0.2,
word,1.3,1.6,lion,en-uk_lion.m4a,0.2,
word,1.6,2.1,roar.,en-uk_roar.m4a,0.2,
page,5,book_en_425_page_5,wordwrap,
paragraph
sentence,book_en_425_page_5_1.m4a,0,
word,0,0.249908,I,en-uk_i.m4a,0.2,
word,0.249908,0.400062,read,en-uk_read.m4a,0.2,
word,0.400062,0.899921,about,en-uk_about.m4a,0.2,
word,0.899921,1.0503,a,en-uk_a.m4a,0.2,
word,1.0503,1.46686,gentle,en-uk_gentle.m4a,0.2,
word,1.46686,2.06679,river.,en-uk_river.m4a,0.2,
sentence,book_en_425_page_5_2.m4a,3.11268,
word,0,0.300059,In,en-uk_in.m4a,0.2,
word,0.300059,0.550082,my,en-uk_my.m4a,0.2,
word,0.550082,0.850063,head,en-uk_head.m4a,0.2,
word,0.850063,0.966489,I,en-uk_i.m4a,0.2,
word,0.966489,1.26621,see,en-uk_see.m4a,0.2,
word,1.26621,1.49988,the,en-uk_the.m4a,0.2,
word,1.49988,1.76621,lion,en-uk_lion.m4a,0.2,
word,1.76621,2.38315,drink.,en-uk_drink.m4a,0.2,
page,6,book_en_425_page_6,wordwrap,
paragraph
sentence,book_en_425_page_6_1.m4a,0,
word,0,0,I,en-uk_i.m4a,0.2,
word,0,0.5,read,en-uk_read.m4a,0.2,
word,0.5,0.7,about,en-uk_about.m4a,0.2,
word,0.7,1,the,en-uk_the.m4a,0.2,
word,1,1.6,crocodile.,en-uk_crocodile.m4a,0.2,
sentence,book_en_425_page_6_2.m4a,3.06576,
word,0,0.283151,I,en-uk_i.m4a,0.2,
word,0.283151,0.516059,see,en-uk_see.m4a,0.2,
word,0.516059,0.733033,it,en-uk_it.m4a,0.2,
word,0.733033,1.11633,swimming,en-uk_swimming.m4a,0.2,
word,1.11633,1.29945,in,en-uk_in.m4a,0.2,
word,1.29945,1.46699,the,en-uk_the.m4a,0.2,
word,1.46699,1.86641,river.,en-uk_river.m4a,0.2,
page,7,book_en_425_page_7,wordwrap,
paragraph
sentence,book_en_425_page_7_1.m4a,0,
word,0,0.2,My,en-uk_my.m4a,0.2,
word,0.2,0.5,book,en-uk_book.m4a,0.2,
word,0.5,0.6,is,en-uk_is.m4a,0.2,
word,0.6,1,over.,en-uk_over.m4a,0.2,
sentence,book_en_425_page_7_2.m4a,2.29143,
word,0,0.28319,I,en-uk_i.m4a,0.2,
word,0.28319,0.633045,still,en-uk_still.m4a,0.2,
word,0.633045,0.883235,see,en-uk_see.m4a,0.2,
word,0.883235,1.06658,the,en-uk_the.m4a,0.2,
word,1.06658,1.38302,jungle,en-uk_jungle.m4a,0.2,
word,1.38302,1.54979,in,en-uk_in.m4a,0.2,
word,1.54979,1.71646,my,en-uk_my.m4a,0.2,
word,1.71646,2.16632,head.,en-uk_head.m4a,0.2,
page,8,book_en_425_page_8,wordwrap,
paragraph
sentence,book_en_425_page_8_1.m4a,0,
word,0,0.3,This,en-uk_this.m4a,0.2,
word,0.3,0.6,book,en-uk_book.m4a,0.2,
word,0.6,0.8,is,en-uk_is.m4a,0.2,
word,0.8,1.2,over.,en-uk_over.m4a,0.2,
sentence,book_en_425_page_8_2.m4a,2.55005,
word,0,0.2,What,en-uk_what.m4a,0.2,
word,0.2,0.5,can,en-uk_can.m4a,0.2,
word,0.5,0.6,you,en-uk_you.m4a,0.2,
word,0.6,0.8,see,en-uk_see.m4a,0.2,
word,0.8,0.9,in,en-uk_in.m4a,0.2,
word,0.9,1.1,your,en-uk_your.m4a,0.2,
word,1.1,1.5,head?,en-uk_head.m4a,0.2,
