title,How Can I Get to School?,book_en_501_page_0_1.m4a,book_en_501_page_0,landscape,audio,
page,1,book_en_501_page_1,wordwrap,
paragraph
sentence,book_en_501_page_1_1.m4a,0,
word,0,0.843773,Cindy,en-uk_cindy.m4a,0.2,
word,0.843773,1.10219,was,en-uk_was.m4a,0.2,
word,1.10219,1.63433,late,en-uk_late.m4a,0.2,
word,1.63433,1.81776,for,en-uk_for.m4a,0.2,
word,1.81776,2.5239,school.,en-uk_school.m4a,0.2,
sentence,book_en_501_page_1_2.m4a,3.5239,
word,0,0.568766,She,en-uk_she.m4a,0.2,
word,0.568766,1.18308,ran,en-uk_ran.m4a,0.2,
word,1.18308,1.37502,to,en-uk_to.m4a,0.2,
word,1.37502,1.65008,catch,en-uk_catch.m4a,0.2,
word,1.65008,1.85123,the,en-uk_the.m4a,0.2,
word,1.85123,2.52646,"bus,",en-uk_bus.m4a,0.2,
word,2.52646,3.21877,but,en-uk_but.m4a,0.2,
word,3.21877,3.31854,it,en-uk_it.m4a,0.2,
word,3.31854,3.60291,had,en-uk_had.m4a,0.2,
word,3.60291,4.10966,already,en-uk_already.m4a,0.2,
word,4.10966,4.44313,passed,en-uk_passed.m4a,0.2,
word,4.44313,4.66933,her,en-uk_her.m4a,0.2,
word,4.66933,5.19118,street.,en-uk_street.m4a,0.2,
sentence,book_en_501_page_1_3.m4a,9.71508,
word,0,0.760413,Cindy,en-uk_cindy.m4a,0.2,
word,0.760413,1.412,yelled,en-uk_yelled.m4a,0.2,
word,1.412,1.55477,for,en-uk_for.m4a,0.2,
word,1.55477,1.72076,the,en-uk_the.m4a,0.2,
word,1.72076,2.05895,driver,en-uk_driver.m4a,0.2,
word,2.05895,2.24426,to,en-uk_to.m4a,0.2,
word,2.24426,2.9622,"stop,",en-uk_stop.m4a,0.2,
word,2.9622,3.52124,but,en-uk_but.m4a,0.2,
word,3.52124,3.75324,the,en-uk_the.m4a,0.2,
word,3.75324,4.30337,driver,en-uk_driver.m4a,0.2,
word,4.30337,4.58818,didn't,en-uk_didn1t.m4a,0.2,
word,4.58818,5.141,hear.,en-uk_hear.m4a,0.2,
page,2,book_en_501_page_2,wordwrap,
paragraph
sentence,book_en_501_page_2_1.m4a,0,
word,0,0.45913,“How,en-uk_how.m4a,0.2,
word,0.45913,0.608099,can,en-uk_can.m4a,0.2,
word,0.608099,0.809493,I,en-uk_i.m4a,0.2,
word,0.809493,1.04254,get,en-uk_get.m4a,0.2,
word,1.04254,1.24997,to,en-uk_to.m4a,0.2,
word,1.24997,2.07218,school?”,en-uk_school.m4a,0.2,
sentence,book_en_501_page_2_2.m4a,3.07218,
word,0,0.608604,Cindy,en-uk_cindy.m4a,0.2,
word,0.608604,1.00325,asked,en-uk_asked.m4a,0.2,
word,1.00325,1.67782,herself.,en-uk_herself.m4a,0.2,
page,3,book_en_501_page_3,wordwrap,
paragraph
sentence,book_en_501_page_3_1.m4a,0,
word,0,0.306952,A,en-uk_a.m4a,0.2,
word,0.306952,0.607197,boy,en-uk_boy.m4a,0.2,
word,0.607197,1.26689,rode,en-uk_rode.m4a,0.2,
word,1.26689,1.68284,past,en-uk_past.m4a,0.2,
word,1.68284,2.2346,Cindy,en-uk_cindy.m4a,0.2,
word,2.2346,2.41657,on,en-uk_on.m4a,0.2,
word,2.41657,2.58329,a,en-uk_a.m4a,0.2,
word,2.58329,3.3134,bicycle.,en-uk_bicycle.m4a,0.2,
sentence,book_en_501_page_3_2.m4a,4.3134,
word,0,0.382252,He,en-uk_he.m4a,0.2,
word,0.382252,0.607341,was,en-uk_was.m4a,0.2,
word,0.607341,0.998901,moving,en-uk_moving.m4a,0.2,
word,0.998901,1.99316,fast,en-uk_fast.m4a,0.2,
word,1.99316,2.13577,as,en-uk_as.m4a,0.2,
word,2.13577,2.33494,he,en-uk_he.m4a,0.2,
word,2.33494,2.77506,raced,en-uk_raced.m4a,0.2,
word,2.77506,3.08113,down,en-uk_down.m4a,0.2,
word,3.08113,3.25131,the,en-uk_the.m4a,0.2,
word,3.25131,3.70694,street.,en-uk_street.m4a,0.2,
page,4,book_en_501_page_4,wordwrap,
paragraph
sentence,book_en_501_page_4_1.m4a,0,
word,0,0.292563,“If,en-uk_if.m4a,0.2,
word,0.292563,1.1272,only,en-uk_only.m4a,0.2,
word,1.1272,1.2847,I,en-uk_i.m4a,0.2,
word,1.2847,1.52013,had,en-uk_had.m4a,0.2,
word,1.52013,1.70306,a,en-uk_a.m4a,0.2,
word,1.70306,2.44501,"bicycle,”",en-uk_bicycle.m4a,0.2,
sentence,book_en_501_page_4_2.m4a,3.44501,
word,0,0.676067,Cindy,en-uk_cindy.m4a,0.2,
word,0.676067,1.09703,thought.,en-uk_thought.m4a,0.2,
sentence,book_en_501_page_4_3.m4a,5.54204,
word,0,0.364293,“I,en-uk_i.m4a,0.2,
word,0.364293,0.586195,could,en-uk_could.m4a,0.2,
word,0.586195,0.897653,ride,en-uk_ride.m4a,0.2,
word,0.897653,1.10977,the,en-uk_the.m4a,0.2,
word,1.10977,1.70045,bicycle,en-uk_bicycle.m4a,0.2,
word,1.70045,1.90054,to,en-uk_to.m4a,0.2,
word,1.90054,2.51673,school.,en-uk_school.m4a,0.2,
sentence,book_en_501_page_4_4.m4a,9.05878,
word,0,0.299693,I,en-uk_i.m4a,0.2,
word,0.299693,0.506648,would,en-uk_would.m4a,0.2,
word,0.506648,0.758903,get,en-uk_get.m4a,0.2,
word,0.758903,1.0493,there,en-uk_there.m4a,0.2,
word,1.0493,1.37719,so,en-uk_so.m4a,0.2,
word,1.37719,2.02916,quickly.,en-uk_quickly.m4a,0.2,
sentence,book_en_501_page_4_5.m4a,12.0879,
word,0,0.317721,I,en-uk_i.m4a,0.2,
word,0.317721,0.585344,might,en-uk_might.m4a,0.2,
word,0.585344,0.873293,even,en-uk_even.m4a,0.2,
word,0.873293,1.10074,get,en-uk_get.m4a,0.2,
word,1.10074,1.36804,there,en-uk_there.m4a,0.2,
word,1.36804,1.72605,before,en-uk_before.m4a,0.2,
word,1.72605,1.95437,the,en-uk_the.m4a,0.2,
word,1.95437,2.53107,bus.”,en-uk_bus.m4a,0.2,
sentence,book_en_501_page_4_6.m4a,15.619,
word,0,0.378479,But,en-uk_but.m4a,0.2,
word,0.378479,1.08409,Cindy,en-uk_cindy.m4a,0.2,
word,1.08409,1.3342,didn't,en-uk_didn1t.m4a,0.2,
word,1.3342,1.75939,have,en-uk_have.m4a,0.2,
word,1.75939,1.95237,a,en-uk_a.m4a,0.2,
word,1.95237,2.60476,bicycle.,en-uk_bicycle.m4a,0.2,
page,5,book_en_501_page_5,wordwrap,
paragraph
sentence,book_en_501_page_5_1.m4a,0,
word,0,0.726609,"Then,",en-uk_then.m4a,0.2,
word,0.726609,1.22031,a,en-uk_a.m4a,0.2,
word,1.22031,1.64339,truck,en-uk_truck.m4a,0.2,
word,1.64339,2.14448,passed,en-uk_passed.m4a,0.2,
word,2.14448,2.79805,Cindy.,en-uk_cindy.m4a,0.2,
sentence,book_en_501_page_5_2.m4a,3.79805,
word,0,0.414249,“If,en-uk_if.m4a,0.2,
word,0.414249,1.23249,only,en-uk_only.m4a,0.2,
word,1.23249,1.40155,I,en-uk_i.m4a,0.2,
word,1.40155,1.61176,had,en-uk_had.m4a,0.2,
word,1.61176,1.79967,a,en-uk_a.m4a,0.2,
word,1.79967,2.33508,"truck,”",en-uk_truck.m4a,0.2,
sentence,book_en_501_page_5_3.m4a,7.13313,
word,0,0.560993,Cindy,en-uk_cindy.m4a,0.2,
word,0.560993,1.01576,thought.,en-uk_thought.m4a,0.2,
sentence,book_en_501_page_5_4.m4a,9.14889,
