title,Lucy’s Walk,book_en_502_page_0_1.m4a,book_en_502_page_0,landscape,audio,
page,1,book_en_502_page_1,wordwrap,
paragraph
sentence,book_en_502_page_1_1.m4a,0,
word,0,0.723231,Every,en-uk_every.m4a,0.2,
word,0.723231,1.48407,"morning,",en-uk_morning.m4a,0.2,
word,1.48407,2.26532,Lucy,en-uk_lucy.m4a,0.2,
word,2.26532,2.59199,thinks,en-uk_thinks.m4a,0.2,
word,2.59199,2.99932,about,en-uk_about.m4a,0.2,
word,2.99932,3.16589,the,en-uk_the.m4a,0.2,
word,3.16589,3.76632,plants,en-uk_plants.m4a,0.2,
word,3.76632,4.14152,she,en-uk_she.m4a,0.2,
word,4.14152,4.34998,will,en-uk_will.m4a,0.2,
word,4.34998,4.74278,see,en-uk_see.m4a,0.2,
word,4.74278,4.94323,on,en-uk_on.m4a,0.2,
word,4.94323,5.13493,the,en-uk_the.m4a,0.2,
word,5.13493,5.44174,walk,en-uk_walk.m4a,0.2,
word,5.44174,5.65969,to,en-uk_to.m4a,0.2,
word,5.65969,6.20948,school.,en-uk_school.m4a,0.2,
page,2,book_en_502_page_2,wordwrap,
paragraph
sentence,book_en_502_page_2_1.m4a,0,
word,0,0.473279,She,en-uk_she.m4a,0.2,
word,0.473279,1.09121,thinks,en-uk_thinks.m4a,0.2,
word,1.09121,1.35818,about,en-uk_about.m4a,0.2,
word,1.35818,1.58343,the,en-uk_the.m4a,0.2,
word,1.58343,1.89166,fruit,en-uk_fruit.m4a,0.2,
word,1.89166,2.35317,trees,en-uk_trees.m4a,0.2,
word,2.35317,2.53354,she,en-uk_she.m4a,0.2,
word,2.53354,2.71583,will,en-uk_will.m4a,0.2,
word,2.71583,3.1481,greet.,en-uk_greet.m4a,0.2,
sentence,book_en_502_page_2_2.m4a,4.1481,
word,0,0.850741,Maybe,en-uk_maybe.m4a,0.2,
word,0.850741,1.02683,she,en-uk_she.m4a,0.2,
word,1.02683,1.22453,will,en-uk_will.m4a,0.2,
word,1.22453,1.48286,get,en-uk_get.m4a,0.2,
word,1.48286,1.70032,to,en-uk_to.m4a,0.2,
word,1.70032,2.03423,eat,en-uk_eat.m4a,0.2,
word,2.03423,2.28277,some,en-uk_some.m4a,0.2,
word,2.28277,2.8341,fruit.,en-uk_fruit.m4a,0.2,
page,3,book_en_502_page_3,wordwrap,
paragraph
sentence,book_en_502_page_3_1.m4a,0,
word,0,0.316892,On,en-uk_on.m4a,0.2,
word,0.316892,0.534634,the,en-uk_the.m4a,0.2,
word,0.534634,0.821096,way,en-uk_way.m4a,0.2,
word,0.821096,1.04072,to,en-uk_to.m4a,0.2,
word,1.04072,2.03143,"school,",en-uk_school.m4a,0.2,
word,2.03143,2.68463,Lucy,en-uk_lucy.m4a,0.2,
word,2.68463,3.20375,walks,en-uk_walks.m4a,0.2,
word,3.20375,3.40154,through,en-uk_through.m4a,0.2,
word,3.40154,3.60191,a,en-uk_a.m4a,0.2,
word,3.60191,4.12783,field,en-uk_field.m4a,0.2,
word,4.12783,4.32701,of,en-uk_of.m4a,0.2,
word,4.32701,5.10417,flowers.,en-uk_flowers.m4a,0.2,
sentence,book_en_502_page_3_2.m4a,6.10417,
word,0,0.432316,She,en-uk_she.m4a,0.2,
word,0.432316,0.807112,picks,en-uk_picks.m4a,0.2,
word,0.807112,1.21601,a,en-uk_a.m4a,0.2,
word,1.21601,1.79391,pretty,en-uk_pretty.m4a,0.2,
word,1.79391,2.24017,pink,en-uk_pink.m4a,0.2,
word,2.24017,2.84968,flower.,en-uk_flower.m4a,0.2,
page,4,book_en_502_page_4,wordwrap,
paragraph
sentence,book_en_502_page_4_1.m4a,0,
word,0,0.903402,Lucy,en-uk_lucy.m4a,0.2,
word,0.903402,1.13685,takes,en-uk_takes.m4a,0.2,
word,1.13685,1.41198,a,en-uk_a.m4a,0.2,
word,1.41198,1.8479,deep,en-uk_deep.m4a,0.2,
word,1.8479,2.59586,breath,en-uk_breath.m4a,0.2,
word,2.59586,2.9377,through,en-uk_through.m4a,0.2,
word,2.9377,3.17946,her,en-uk_her.m4a,0.2,
word,3.17946,3.72776,nose.,en-uk_nose.m4a,0.2,
sentence,book_en_502_page_4_2.m4a,4.72776,
word,0,0.300198,The,en-uk_the.m4a,0.2,
word,0.300198,1.00911,flower,en-uk_flower.m4a,0.2,
word,1.00911,1.58655,smells,en-uk_smells.m4a,0.2,
word,1.58655,2.10882,sweet.,en-uk_sweet.m4a,0.2,
page,5,book_en_502_page_5,wordwrap,
paragraph
sentence,book_en_502_page_5_1.m4a,0,
word,0,0.867265,Lucy,en-uk_lucy.m4a,0.2,
word,0.867265,1.35999,sits,en-uk_sits.m4a,0.2,
word,1.35999,1.81534,down,en-uk_down.m4a,0.2,
word,1.81534,1.98263,in,en-uk_in.m4a,0.2,
word,1.98263,2.20101,the,en-uk_the.m4a,0.2,
word,2.20101,2.69342,field.,en-uk_field.m4a,0.2,
sentence,book_en_502_page_5_2.m4a,3.69342,
word,0,0.675549,Pretty,en-uk_pretty.m4a,0.2,
word,0.675549,1.40089,flowers,en-uk_flowers.m4a,0.2,
word,1.40089,1.76128,are,en-uk_are.m4a,0.2,
word,1.76128,2.32676,all,en-uk_all.m4a,0.2,
word,2.32676,2.91896,around,en-uk_around.m4a,0.2,
word,2.91896,3.40494,her.,en-uk_her.m4a,0.2,
sentence,book_en_502_page_5_3.m4a,8.09837,
word,0,0.551473,She,en-uk_she.m4a,0.2,
word,0.551473,1.05015,feels,en-uk_feels.m4a,0.2,
word,1.05015,1.81408,happy.,en-uk_happy.m4a,0.2,
page,6,book_en_502_page_6,wordwrap,
paragraph
sentence,book_en_502_page_6_1.m4a,0,
word,0,0.98752,Lucy,en-uk_lucy.m4a,0.2,
word,0.98752,1.57271,passes,en-uk_passes.m4a,0.2,
word,1.57271,1.79387,a,en-uk_a.m4a,0.2,
word,1.79387,2.21864,fruit,en-uk_fruit.m4a,0.2,
word,2.21864,2.70465,tree.,en-uk_tree.m4a,0.2,
sentence,book_en_502_page_6_2.m4a,3.70465,
word,0,0.357524,The,en-uk_the.m4a,0.2,
word,0.357524,1.02756,fruits,en-uk_fruits.m4a,0.2,
word,1.02756,1.24639,on,en-uk_on.m4a,0.2,
word,1.24639,1.45527,the,en-uk_the.m4a,0.2,
word,1.45527,1.99392,tree,en-uk_tree.m4a,0.2,
word,1.99392,2.27863,are,en-uk_are.m4a,0.2,
word,2.27863,3.25125,green.,en-uk_green.m4a,0.2,
sentence,book_en_502_page_6_3.m4a,7.9559,
word,0,0.336919,The,en-uk_the.m4a,0.2,
word,0.336919,0.984574,fruits,en-uk_fruits.m4a,0.2,
word,0.984574,1.38589,are,en-uk_are.m4a,0.2,
word,1.38589,1.69491,not,en-uk_not.m4a,0.2,
word,1.69491,2.16977,ripe,en-uk_ripe.m4a,0.2,
word,2.16977,2.5498,yet.,en-uk_yet.m4a,0.2,
page,7,book_en_502_page_7,wordwrap,
paragraph
sentence,book_en_502_page_7_1.m4a,0,
word,0,0.569106,“Get,en-uk_get.m4a,0.2,
word,0.569106,0.994675,ripe,en-uk_ripe.m4a,0.2,
word,0.994675,1.77764,"soon,”",en-uk_soon.m4a,0.2,
sentence,book_en_502_page_7_2.m4a,2.77764,
word,0,0.730721,Lucy,en-uk_lucy.m4a,0.2,
word,0.730721,1.00528,tells,en-uk_tells.m4a,0.2,
word,1.00528,1.25204,the,en-uk_the.m4a,0.2,
word,1.25204,1.7281,fruit.,en-uk_fruit.m4a,0.2,
sentence,book_en_502_page_7_3.m4a,5.50574,
word,0,0.504607,“I,en-uk_i.m4a,0.2,
word,0.504607,0.683477,am,en-uk_am.m4a,0.2,
word,0.683477,1.4549,hungry!”,en-uk_hungry.m4a,0.2,
page,8,book_en_502_page_8,wordwrap,
paragraph
sentence,book_en_502_page_8_1.m4a,0,
word,0,0.818981,Lucy,en-uk_lucy.m4a,0.2,
word,0.818981,1.32092,greets,en-uk_greets.m4a,0.2,
word,1.32092,1.60617,the,en-uk_the.m4a,0.2,
word,1.60617,1.95864,tree,en-uk_tree.m4a,0.2,
word,1.95864,2.18584,at,en-uk_at.m4a,0.2,
word,2.18584,2.83469,school.,en-uk_school.m4a,0.2,
sentence,book_en_502_page_8_2.m4a,3.83469,
word,0,0.544415,She,en-uk_she.m4a,0.2,
word,0.544415,0.796813,is,en-uk_is.m4a,0.2,
word,0.796813,1.63566,glad,en-uk_glad.m4a,0.2,
word,1.63566,1.89444,that,en-uk_that.m4a,0.2,
word,1.89444,2.668,sunshine,en-uk_sunshine.m4a,0.2,
word,2.668,2.86824,and,en-uk_and.m4a,0.2,
word,2.86824,3.41876,rain,en-uk_rain.m4a,0.2,
word,3.41876,3.73112,make,en-uk_make.m4a,0.2,
word,3.73112,3.9679,the,en-uk_the.m4a,0.2,
word,3.9679,4.6289,plants,en-uk_plants.m4a,0.2,
word,4.6289,5.28696,grow.,en-uk_grow.m4a,0.2,
sentence,book_en_502_page_8_3.m4a,10.1217,
word,0,0.401632,When,en-uk_when.m4a,0.2,
word,0.401632,1.07572,Lucy,en-uk_lucy.m4a,0.2,
word,1.07572,1.58447,eats,en-uk_eats.m4a,0.2,
word,1.58447,2.66166,"oranges,",en-uk_oranges.m4a,0.2,
word,2.66166,3.31079,she,en-uk_she.m4a,0.2,
word,3.31079,3.80211,"grows,",en-uk_grows.m4a,0.2,
word,3.80211,4.27975,too.,en-uk_too.m4a,0.2,
