title,"Don’t Get Mad, Maddie",book_en_503_page_0_1.m4a,book_en_503_page_0,portrait,audio,
page,1,book_en_503_page_1,wordwrap,
paragraph
sentence,book_en_503_page_1_1.m4a,0,
word,0,0.858497,School,en-uk_school.m4a,0.2,
word,0.858497,1.66625,ended,en-uk_ended.m4a,0.2,
word,1.66625,2.09204,and,en-uk_and.m4a,0.2,
word,2.09204,2.43373,all,en-uk_all.m4a,0.2,
word,2.43373,2.80022,the,en-uk_the.m4a,0.2,
word,2.80022,3.26703,boys,en-uk_boys.m4a,0.2,
word,3.26703,3.48392,and,en-uk_and.m4a,0.2,
word,3.48392,4.07492,girls,en-uk_girls.m4a,0.2,
word,4.07492,4.45159,ran,en-uk_ran.m4a,0.2,
word,4.45159,5.28342,outside.,en-uk_outside.m4a,0.2,
sentence,book_en_503_page_1_2.m4a,6.28342,
word,0,0.803264,Everyone,en-uk_everyone.m4a,0.2,
word,0.803264,1.48534,laughed,en-uk_laughed.m4a,0.2,
word,1.48534,1.66041,and,en-uk_and.m4a,0.2,
word,1.66041,2.30172,played,en-uk_played.m4a,0.2,
word,2.30172,3.05274,except,en-uk_except.m4a,0.2,
word,3.05274,3.38736,for,en-uk_for.m4a,0.2,
word,3.38736,3.86177,Maddie.,en-uk_maddie.m4a,0.2,
sentence,book_en_503_page_1_3.m4a,11.1452,
word,0,0.911821,Maddie,en-uk_maddie.m4a,0.2,
word,0.911821,1.2428,was,en-uk_was.m4a,0.2,
word,1.2428,1.92896,mad!,en-uk_mad.m4a,0.2,
page,2,book_en_503_page_2,wordwrap,
paragraph
sentence,book_en_503_page_2_1.m4a,0,
word,0,0.825681,Maddie's,en-uk_maddie1s.m4a,0.2,
word,0.825681,1.26535,father,en-uk_father.m4a,0.2,
word,1.26535,2.21681,smiled,en-uk_smiled.m4a,0.2,
word,2.21681,2.58474,as,en-uk_as.m4a,0.2,
word,2.58474,2.81708,he,en-uk_he.m4a,0.2,
word,2.81708,3.21664,took,en-uk_took.m4a,0.2,
word,3.21664,3.576,Maddie,en-uk_maddie.m4a,0.2,
word,3.576,4.26024,home,en-uk_home.m4a,0.2,
word,4.26024,4.42691,through,en-uk_through.m4a,0.2,
word,4.42691,4.60226,a,en-uk_a.m4a,0.2,
word,4.60226,5.01882,field,en-uk_field.m4a,0.2,
word,5.01882,5.20923,of,en-uk_of.m4a,0.2,
word,5.20923,6.0261,flowers,en-uk_flowers.m4a,0.2,
word,6.0261,6.21805,on,en-uk_on.m4a,0.2,
word,6.21805,6.41905,his,en-uk_his.m4a,0.2,
word,6.41905,7.14859,bicycle.,en-uk_bicycle.m4a,0.2,
sentence,book_en_503_page_2_2.m4a,8.14859,
word,0,0.384405,But,en-uk_but.m4a,0.2,
word,0.384405,1.10181,Maddie,en-uk_maddie.m4a,0.2,
word,1.10181,1.37553,didn't,en-uk_didn1t.m4a,0.2,
word,1.37553,2.14391,smile,en-uk_smile.m4a,0.2,
word,2.14391,2.29428,at,en-uk_at.m4a,0.2,
word,2.29428,2.46066,the,en-uk_the.m4a,0.2,
word,2.46066,2.78598,pretty,en-uk_pretty.m4a,0.2,
word,2.78598,3.48057,flowers.,en-uk_flowers.m4a,0.2,
sentence,book_en_503_page_2_3.m4a,12.6292,
word,0,0.792269,Maddie,en-uk_maddie.m4a,0.2,
word,0.792269,1.03549,was,en-uk_was.m4a,0.2,
word,1.03549,1.68621,so,en-uk_so.m4a,0.2,
word,1.68621,2.29061,mad!,en-uk_mad.m4a,0.2,
page,3,book_en_503_page_3,wordwrap,
paragraph
sentence,book_en_503_page_3_1.m4a,0,
word,0,0.334858,When,en-uk_when.m4a,0.2,
word,0.334858,0.532208,they,en-uk_they.m4a,0.2,
