title,Lion and Elephant,book_en_506_page_0_1.m4a,book_en_506_page_0,portrait,audio,
page,1,book_en_506_page_1,wordwrap,
paragraph
sentence,book_en_506_page_1_1.m4a,0,
word,0,0.740667,Lion,en-uk_lion.m4a,0.2,
word,0.740667,1.07493,was,en-uk_was.m4a,0.2,
word,1.07493,1.28411,the,en-uk_the.m4a,0.2,
word,1.28411,1.88391,king,en-uk_king.m4a,0.2,
word,1.88391,2.10076,of,en-uk_of.m4a,0.2,
word,2.10076,2.29244,the,en-uk_the.m4a,0.2,
word,2.29244,2.96742,savanna.,en-uk_savanna.m4a,0.2,
sentence,book_en_506_page_1_2.m4a,3.93939,
word,0,0.462137,He,en-uk_he.m4a,0.2,
word,0.462137,0.880042,kept,en-uk_kept.m4a,0.2,
word,0.880042,1.57951,order,en-uk_order.m4a,0.2,
word,1.57951,1.95455,amongst,en-uk_amongst.m4a,0.2,
word,1.95455,2.15504,the,en-uk_the.m4a,0.2,
word,2.15504,2.83023,animals.,en-uk_animals.m4a,0.2,
page,2,book_en_506_page_2,wordwrap,
paragraph
sentence,book_en_506_page_2_1.m4a,0,
word,0,0.371322,One,en-uk_one.m4a,0.2,
word,0.371322,1.14584,"day,",en-uk_day.m4a,0.2,
word,1.14584,1.47111,as,en-uk_as.m4a,0.2,
word,1.47111,1.68797,the,en-uk_the.m4a,0.2,
word,1.68797,2.45525,sun,en-uk_sun.m4a,0.2,
word,2.45525,2.73173,baked,en-uk_baked.m4a,0.2,
word,2.73173,2.96362,the,en-uk_the.m4a,0.2,
word,2.96362,3.75595,"earth,",en-uk_earth.m4a,0.2,
word,3.75595,3.88971,a,en-uk_a.m4a,0.2,
word,3.88971,4.65701,truck,en-uk_truck.m4a,0.2,
word,4.65701,5.24035,rumbled,en-uk_rumbled.m4a,0.2,
word,5.24035,5.72381,across,en-uk_across.m4a,0.2,
word,5.72381,5.92371,the,en-uk_the.m4a,0.2,
word,5.92371,6.48229,savanna.,en-uk_savanna.m4a,0.2,
sentence,book_en_506_page_2_2.m4a,7.48229,
word,0,0.507468,When,en-uk_when.m4a,0.2,
word,0.507468,0.674204,the,en-uk_the.m4a,0.2,
word,0.674204,1.12556,truck,en-uk_truck.m4a,0.2,
word,1.12556,2.11694,"stopped,",en-uk_stopped.m4a,0.2,
word,2.11694,2.5593,two,en-uk_two.m4a,0.2,
word,2.5593,3.23497,humans,en-uk_humans.m4a,0.2,
word,3.23497,3.70173,led,en-uk_led.m4a,0.2,
word,3.70173,4.52713,Elephant,en-uk_elephant.m4a,0.2,
word,4.52713,4.81055,out,en-uk_out.m4a,0.2,
word,4.81055,5.11853,of,en-uk_of.m4a,0.2,
word,5.11853,5.27791,the,en-uk_the.m4a,0.2,
word,5.27791,5.52841,truck.,en-uk_truck.m4a,0.2,
sentence,book_en_506_page_2_3.m4a,14.0107,
word,0,0.497875,They,en-uk_they.m4a,0.2,
word,0.497875,1.01434,left,en-uk_left.m4a,0.2,
word,1.01434,1.6488,Elephant,en-uk_elephant.m4a,0.2,
word,1.6488,1.96468,in,en-uk_in.m4a,0.2,
word,1.96468,2.15107,her,en-uk_her.m4a,0.2,
word,2.15107,2.68263,new,en-uk_new.m4a,0.2,
word,2.68263,3.1422,home.,en-uk_home.m4a,0.2,
page,3,book_en_506_page_3,wordwrap,
paragraph
sentence,book_en_506_page_3_1.m4a,0,
word,0,0.859751,“Welcome,en-uk_welcome.m4a,0.2,
word,0.859751,1.04376,to,en-uk_to.m4a,0.2,
word,1.04376,1.21642,the,en-uk_the.m4a,0.2,
word,1.21642,1.97324,"savanna,”",en-uk_savanna.m4a,0.2,
sentence,book_en_506_page_3_2.m4a,2.97324,
word,0,0.411314,said,en-uk_said.m4a,0.2,
word,0.411314,1.04264,Lion.,en-uk_lion.m4a,0.2,
