title,Tall Khali,book_en_507_page_0_1.m4a,book_en_507_page_0,portrait,audio,
page,1,book_en_507_page_1,wordwrap,
paragraph
sentence,book_en_507_page_1_1.m4a,0,
word,0,0.859828,Once,en-uk_once.m4a,0.2,
word,0.859828,1.08551,there,en-uk_there.m4a,0.2,
word,1.08551,1.2687,was,en-uk_was.m4a,0.2,
word,1.2687,1.43555,a,en-uk_a.m4a,0.2,
word,1.43555,1.81939,man,en-uk_man.m4a,0.2,
word,1.81939,2.20927,named,en-uk_named.m4a,0.2,
word,2.20927,3.31957,Khali,en-uk_tumo.m4a,0.2,
word,3.31957,3.76223,who,en-uk_who.m4a,0.2,
word,3.76223,4.06988,was,en-uk_was.m4a,0.2,
word,4.06988,4.61181,much,en-uk_much.m4a,0.2,
word,4.61181,5.07762,too,en-uk_too.m4a,0.2,
word,5.07762,5.58731,tall,en-uk_tall.m4a,0.2,
word,5.58731,5.72886,for,en-uk_for.m4a,0.2,
word,5.72886,5.92875,his,en-uk_his.m4a,0.2,
word,5.92875,6.32942,own,en-uk_own.m4a,0.2,
word,6.32942,6.76016,good.,en-uk_good.m4a,0.2,
sentence,book_en_507_page_1_2.m4a,7.76016,
word,0,0.800053,Khali's,en-uk_tumo1s.m4a,0.2,
word,0.800053,1.31886,height,en-uk_height.m4a,0.2,
word,1.31886,1.78558,made,en-uk_made.m4a,0.2,
word,1.78558,2.62781,everything,en-uk_everything.m4a,0.2,
word,2.62781,3.34782,difficult.,en-uk_difficult.m4a,0.2,
sentence,book_en_507_page_1_3.m4a,12.108,
word,0,0.367069,When,en-uk_when.m4a,0.2,
word,0.367069,0.582467,he,en-uk_he.m4a,0.2,
word,0.582467,1.03345,tried,en-uk_tried.m4a,0.2,
word,1.03345,1.20885,to,en-uk_to.m4a,0.2,
word,1.20885,1.60871,work,en-uk_work.m4a,0.2,
word,1.60871,1.75811,on,en-uk_on.m4a,0.2,
word,1.75811,1.96753,his,en-uk_his.m4a,0.2,
word,1.96753,2.8017,"farm,",en-uk_farm.m4a,0.2,
word,2.8017,4.06752,the,en-uk_the.m4a,0.2,
word,4.06752,4.52753,hoe,en-uk_hoe.m4a,0.2,
word,4.52753,4.82762,was,en-uk_was.m4a,0.2,
word,4.82762,5.43638,much,en-uk_much.m4a,0.2,
word,5.43638,5.78501,too,en-uk_too.m4a,0.2,
word,5.78501,6.33363,short.,en-uk_short.m4a,0.2,
sentence,book_en_507_page_1_4.m4a,19.4416,
word,0,0.385308,He,en-uk_he.m4a,0.2,
word,0.385308,0.852066,needed,en-uk_needed.m4a,0.2,
word,0.852066,1.05018,to,en-uk_to.m4a,0.2,
word,1.05018,1.81645,bend,en-uk_bend.m4a,0.2,
word,1.81645,2.07621,all,en-uk_all.m4a,0.2,
word,2.07621,2.40251,the,en-uk_the.m4a,0.2,
word,2.40251,2.8775,way,en-uk_way.m4a,0.2,
word,2.8775,3.90085,over,en-uk_over.m4a,0.2,
word,3.90085,4.30228,just,en-uk_just.m4a,0.2,
word,4.30228,4.61071,to,en-uk_to.m4a,0.2,
word,4.61071,5.0282,reach,en-uk_reach.m4a,0.2,
word,5.0282,5.3039,it,en-uk_it.m4a,0.2,
word,5.3039,5.5292,to,en-uk_to.m4a,0.2,
word,5.5292,5.74573,the,en-uk_the.m4a,0.2,
word,5.74573,6.42206,ground!,en-uk_ground.m4a,0.2,
sentence,book_en_507_page_1_5.m4a,26.8637,
word,0,0.40042,It,en-uk_it.m4a,0.2,
word,0.40042,0.752228,made,en-uk_made.m4a,0.2,
word,0.752228,0.977471,his,en-uk_his.m4a,0.2,
word,0.977471,1.52752,back,en-uk_back.m4a,0.2,
word,1.52752,1.84214,hurt,en-uk_hurt.m4a,0.2,
word,1.84214,2.00951,a,en-uk_a.m4a,0.2,
word,2.00951,2.26381,lot.,en-uk_lot.m4a,0.2,
page,2,book_en_507_page_2,wordwrap,
paragraph
sentence,book_en_507_page_2_1.m4a,0,
word,0,0.721547,Khali's,en-uk_tumo1s.m4a,0.2,
word,0.721547,1.6399,bicycle,en-uk_bicycle.m4a,0.2,
word,1.6399,2.0816,was,en-uk_was.m4a,0.2,
word,2.0816,2.68913,also,en-uk_also.m4a,0.2,
word,2.68913,3.23235,much,en-uk_much.m4a,0.2,
word,3.23235,3.46441,too,en-uk_too.m4a,0.2,
word,3.46441,3.85772,small,en-uk_small.m4a,0.2,
word,3.85772,4.10471,for,en-uk_for.m4a,0.2,
word,4.10471,4.46213,him.,en-uk_him.m4a,0.2,
sentence,book_en_507_page_2_2.m4a,5.46213,
word,0,0.441708,His,en-uk_his.m4a,0.2,
word,0.441708,1.0591,long,en-uk_long.m4a,0.2,
word,1.0591,1.63435,legs,en-uk_legs.m4a,0.2,
word,1.63435,1.919,couldn't,en-uk_couldn1t.m4a,0.2,
word,1.919,2.343,bend,en-uk_bend.m4a,0.2,
word,2.343,2.85184,enough,en-uk_enough.m4a,0.2,
word,2.85184,3.05167,to,en-uk_to.m4a,0.2,
word,3.05167,3.37788,reach,en-uk_reach.m4a,0.2,
word,3.37788,3.81968,both,en-uk_both.m4a,0.2,
word,3.81968,4.70135,"pedals,",en-uk_pedals.m4a,0.2,
word,4.70135,5.2527,so,en-uk_so.m4a,0.2,
word,5.2527,5.4111,he,en-uk_he.m4a,0.2,
word,5.4111,5.63717,had,en-uk_had.m4a,0.2,
word,5.63717,5.87926,to,en-uk_to.m4a,0.2,
word,5.87926,6.36157,ride,en-uk_ride.m4a,0.2,
word,6.36157,6.59641,with,en-uk_with.m4a,0.2,
word,6.59641,7.05452,one,en-uk_one.m4a,0.2,
word,7.05452,7.51359,leg,en-uk_leg.m4a,0.2,
word,7.51359,8.15406,sticking,en-uk_sticking.m4a,0.2,
word,8.15406,8.62101,straight,en-uk_straight.m4a,0.2,
word,8.62101,9.05805,out.,en-uk_out.m4a,0.2,
sentence,book_en_507_page_2_3.m4a,15.5202,
word,0,0.569609,From,en-uk_from.m4a,0.2,
word,0.569609,1.06142,far,en-uk_far.m4a,0.2,
word,1.06142,2.19656,"away,",en-uk_away.m4a,0.2,
word,2.19656,2.55478,people,en-uk_people.m4a,0.2,
word,2.55478,3.00426,thought,en-uk_thought.m4a,0.2,
word,3.00426,3.12215,he,en-uk_he.m4a,0.2,
word,3.12215,3.35508,was,en-uk_was.m4a,0.2,
word,3.35508,3.86295,waving,en-uk_waving.m4a,0.2,
word,3.86295,4.07977,to,en-uk_to.m4a,0.2,
word,4.07977,4.85645,"them,",en-uk_them.m4a,0.2,
word,4.85645,5.42202,so,en-uk_so.m4a,0.2,
word,5.42202,5.83667,they,en-uk_they.m4a,0.2,
word,5.83667,6.23912,waved,en-uk_waved.m4a,0.2,
